-- Logs begin at Fri 2023-06-09 16:44:16 UTC, end at Sat 2023-06-10 10:33:50 UTC. --
Jun 10 10:21:10 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 10 10:21:11 ubuntu dstat.sh[95306]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 10 10:21:11 ubuntu dstat.sh[95306]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 10 10:21:11 ubuntu dstat.sh[95306]: 10-06 10:21:11|                   |1010M 1039M  219M 5343M|           |           |           |           |1.28 0.86 0.62|2.0   0    |           |   0     0 |  8    6    0    8    0
Jun 10 10:21:12 ubuntu dstat.sh[95306]: 10-06 10:21:12| 14  18  66   1   0| 993M 1056M  219M 5343M| 104k 5092 |   0  4496k|   0  88.8 |2659  4142 |1.26 0.86 0.62|2.0   0 357|   0     0 |   0     0 |  8    6    0    8    0
Jun 10 10:21:13 ubuntu dstat.sh[95306]: 10-06 10:21:13| 24  20  52   0   0| 942M 1106M  219M 5345M| 150k 7686 |   0   288k|   0  49.4 |3100  5925 |1.25 0.86 0.62|3.0   0 368|   0     0 |   0     0 |  8    7    0    7    0
Jun 10 10:21:14 ubuntu dstat.sh[95306]: 10-06 10:21:14| 18  19  62   0   1| 911M 1137M  219M 5345M| 174k 6036 |   0    20k|   0  5.00 |3992  7746 |1.25 0.86 0.62|1.0   0 233|   0     0 |   0     0 |  8    6    0    7    0
Jun 10 10:21:15 ubuntu dstat.sh[95306]: 10-06 10:21:15| 15  11  72   0   0|1047M  999M  219M 5468M| 598k 9800 |   0     0 |   0     0 |3673  5374 |1.25 0.86 0.62|  0   0  71|   0     0 |   0     0 |  9    6    0    7    0
Jun 10 10:21:16 ubuntu dstat.sh[95306]: 10-06 10:21:16|  7   6  87   0   0|1054M  990M  219M 5470M|1562k   21k|   0     0 |   0     0 |1943  2069 |1.25 0.86 0.62|1.0   0  75|   0     0 |   0     0 |  9    8    0    7    0
Jun 10 10:21:17 ubuntu dstat.sh[95306]: 10-06 10:21:17| 39  10  50   0   0|1045M  998M  220M 5471M| 867k   12k|   0  2346k|   0  17.0 |2334  2362 |1.31 0.88 0.63|3.0   0 133|   0     0 |   0     0 |  9    6    0    7    0
Jun 10 10:21:18 ubuntu dstat.sh[95306]: 10-06 10:21:18| 42   9  49   0   0|1100M  943M  220M 5472M|  52k   15k|   0   252k|   0  15.0 |1879  2471 |1.31 0.88 0.63|1.0   0  84|   0     0 |   0     0 |  9    6    1    9    0
Jun 10 10:21:19 ubuntu dstat.sh[95306]: 10-06 10:21:19| 22   4  71   1   0|1103M  938M  220M 5472M| 169k 5400 |  44k  963k|6.00  21.0 |1464  1730 |1.31 0.88 0.63|1.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    0
Jun 10 10:21:20 ubuntu dstat.sh[95306]: 10-06 10:21:20| 23   2  69   5   0|1128M  912M  220M 5473M|  38k   15k|   0  3815k|   0   280 |2913  4720 |1.31 0.88 0.63|  0 1.0 7.0|   0     0 |   0     0 |  9    8    2    9    0
