-- Logs begin at Fri 2023-06-16 19:30:54 UTC, end at Tue 2023-06-20 11:12:33 UTC. --
Jun 20 10:48:06 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 20 10:48:07 ubuntu dstat.sh[106240]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 20 10:48:07 ubuntu dstat.sh[106240]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 20 10:48:07 ubuntu dstat.sh[106240]: 20-06 10:48:07|                   | 894M  969M  224M 5514M|           |           |           |           |1.00 0.86 0.63|1.0   0    |           |   0     0 |  8    4    0    8    2
Jun 20 10:48:08 ubuntu dstat.sh[106240]: 20-06 10:48:08| 11  20  68   1   0| 895M  969M  224M 5514M| 189k   10k|   0   839k|   0  26.0 |2802  4528 |1.00 0.86 0.63|1.0   0 388|   0     0 |   0     0 |  8    4    0    8    2
Jun 20 10:48:09 ubuntu dstat.sh[106240]: 20-06 10:48:09| 15  19  64   0   0| 903M  959M  224M 5515M| 157k 8746 |   0   564k|   0  21.0 |3076  4986 |1.00 0.86 0.63| 17   0 362|   0     0 |   0     0 |  8    4    0    8    2
Jun 20 10:48:10 ubuntu dstat.sh[106240]: 20-06 10:48:10| 20  17  62   1   0| 880M  981M  224M 5516M| 181k 9178 |   0    10M|   0  43.0 |4038  7964 |1.00 0.86 0.63|1.0   0 210|   0     0 |   0     0 |  8    4    0    8    2
Jun 20 10:48:11 ubuntu dstat.sh[106240]: 20-06 10:48:11| 22  12  63   0   0|1023M  837M  224M 5638M|  57k 7337 |   0   416k|   0  9.00 |5097    12k|1.00 0.86 0.63|  0   0 108|   0     0 |   0     0 |  9    4    0    8    2
Jun 20 10:48:12 ubuntu dstat.sh[106240]: 20-06 10:48:12| 14   7  78   1   0|1027M  833M  224M 5639M|  53k 6482 |   0   432k|   0  14.0 |1638  2168 |0.92 0.84 0.63|1.0   0 100|   0     0 |   0     0 |  9    6    0    8    2
Jun 20 10:48:13 ubuntu dstat.sh[106240]: 20-06 10:48:13| 16  12  71   1   0|1034M  826M  224M 5639M|  81k   18k|   0   569k|   0  25.0 |2193  3131 |0.92 0.84 0.63|1.0   0 186|   0     0 |   0     0 |  9    6    0    9    2
Jun 20 10:48:14 ubuntu dstat.sh[106240]: 20-06 10:48:14| 24   4  69   1   0|1069M  790M  224M 5639M|  73k 5300 |4088B  822k|1.00  19.0 |1261  1398 |0.92 0.84 0.63|  0 1.0   0|   0     0 |   0     0 |  9    6    0    9    2
Jun 20 10:48:15 ubuntu dstat.sh[106240]: 20-06 10:48:15| 27   3  66   4   0|1092M  766M  225M 5640M|  37k 5140 |  40k 1428k|5.00  16.0 |1291  1485 |0.92 0.84 0.63|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Jun 20 10:48:16 ubuntu dstat.sh[106240]: 20-06 10:48:16| 11   3  68  16   0|1111M  747M  225M 5641M|  72k   17k|   0  8559k|   0   641 |4361  8277 |0.92 0.84 0.63|  0 2.0  10|   0     0 |   0     0 |  9    8    0    9    2
Jun 20 10:48:17 ubuntu dstat.sh[106240]: 20-06 10:48:17|  8   2  66  21   0|1111M  743M  225M 5644M| 129k   13k|   0    10M|   0   801 |5646    10k|1.09 0.88 0.64|  0 2.0 3.0|   0     0 |   0     0 |  9    8    0    9    2
