-- Logs begin at Wed 2023-06-14 13:22:28 UTC, end at Wed 2023-06-14 16:38:01 UTC. --
Jun 14 16:25:38 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 14 16:25:38 ubuntu dstat.sh[95606]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 14 16:25:38 ubuntu dstat.sh[95606]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 14 16:25:38 ubuntu dstat.sh[95606]: 14-06 16:25:38|                   | 840M 1427M  197M 5158M|           |           |           |           |0.69 0.75 0.58|1.0   0    |           |   0     0 |  8    4    0    7    0
Jun 14 16:25:39 ubuntu dstat.sh[95606]: 14-06 16:25:39|  9  18  70   0   0| 841M 1426M  197M 5158M| 380k 8939 |   0   244k|   0  16.0 |2879  4080 |0.69 0.75 0.58|1.0   0 354|   0     0 |   0     0 |  8    4    0    6    0
Jun 14 16:25:40 ubuntu dstat.sh[95606]: 14-06 16:25:40| 10  19  69   0   0| 842M 1424M  197M 5158M| 275k 6966 |   0    28k|   0  11.5 |2701  3968 |0.69 0.75 0.58|1.0   0 349|   0     0 |   0     0 |  8    4    0    6    0
Jun 14 16:25:41 ubuntu dstat.sh[95606]: 14-06 16:25:41| 17  17  64   0   0| 825M 1441M  197M 5159M| 245k 6172 |   0    16k|   0  4.00 |3348  5344 |0.69 0.75 0.58|5.0   0 204|   0     0 |   0     0 |  8    4    0    6    0
Jun 14 16:25:42 ubuntu dstat.sh[95606]: 14-06 16:25:42| 19  14  66   0   0| 967M 1298M  197M 5281M| 283k 6495 |   0     0 |   0     0 |2909  7019 |0.69 0.75 0.58|  0   0 101|   0     0 |   0     0 |  9    4    0    6    0
Jun 14 16:25:43 ubuntu dstat.sh[95606]: 14-06 16:25:43| 17   8  75   0   0| 973M 1292M  198M 5281M| 181k 5902 |   0    24k|   0  6.00 |1690  2237 |0.72 0.75 0.58|1.0   0 106|   0     0 |   0     0 |  9    6    0    6    0
Jun 14 16:25:44 ubuntu dstat.sh[95606]: 14-06 16:25:44| 15  13  72   1   0| 978M 1286M  198M 5281M| 290k   18k|   0   328k|   0  20.0 |2276  3165 |0.72 0.75 0.58|1.0   0 181|   0     0 |   0     0 |  9    6    0    8    0
Jun 14 16:25:45 ubuntu dstat.sh[95606]: 14-06 16:25:45| 23   2  73   0   0|1034M 1230M  198M 5282M| 216k 6899 |   0   468k|   0  12.0 |1103  1447 |0.72 0.75 0.58|1.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Jun 14 16:25:46 ubuntu dstat.sh[95606]: 14-06 16:25:46| 24   3  72   1   0|1038M 1225M  198M 5283M| 206k 6507 |  44k 1029k|6.00  8.00 |1480  1693 |0.72 0.75 0.58|1.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Jun 14 16:25:47 ubuntu dstat.sh[95606]: 14-06 16:25:47| 14   2  70  11   0|1054M 1207M  198M 5284M| 252k   17k|4096B 3788k|1.00   368 |3561  6510 |0.72 0.75 0.58|1.0   0  12|   0     0 |   0     0 |  9    8    0    8    0
Jun 14 16:25:48 ubuntu dstat.sh[95606]: 14-06 16:25:48|  7   5  67  21   0|1055M 1202M  199M 5287M| 267k   12k|   0    11M|   0   878 |6165    11k|0.82 0.77 0.59|  0 1.0   0|   0     0 |   0     0 |  9    8    0    8    0
Jun 14 16:25:49 ubuntu dstat.sh[95606]: 14-06 16:25:49|  8   4  63  22   0|1061M 1195M  199M 5288M| 278k   12k|   0    14M|   0  1069 |7312    12k|0.82 0.77 0.59|  0 1.0  18|   0     0 |   0     0 |  9    8    0    8    0
Jun 14 16:25:50 ubuntu dstat.sh[95606]: 14-06 16:25:50| 10   5  62  23   0|1062M 1191M  199M 5290M| 362k   13k|   0    16M|   0  1180 |6721    13k|0.82 0.77 0.59|4.0   0  15|   0     0 |   0     0 |  9    8    0    8    0
Jun 14 16:25:51 ubuntu dstat.sh[95606]: 14-06 16:25:51|  6   3  53  35   0|1063M 1189M  200M 5291M| 326k   14k|   0    11M|   0   925 |5106  9121 |0.82 0.77 0.59|1.0   0  10|   0     0 |   0     0 |  9    8    0    8    0
Jun 14 16:25:52 ubuntu dstat.sh[95606]: 14-06 16:25:52|  5   4  67  21   0|1064M 1186M  200M 5293M| 250k   14k|   0    13M|   0  1040 |5651    12k|0.82 0.77 0.59|  0 1.0 3.0|   0     0 |   0     0 |  9    8    0    8    0
Jun 14 16:25:53 ubuntu dstat.sh[95606]: 14-06 16:25:53| 18   7  66   9   0| 983M 1266M  200M 5294M| 327k   13k|   0    10M|   0   755 |4413  8273 |0.92 0.79 0.60|1.0   0  88|   0     0 |   0     0 |  9    6    0    8    0
Jun 14 16:25:54 ubuntu dstat.sh[95606]: 14-06 16:25:54| 24   3  73   0   0|1041M 1207M  200M 5294M| 202k 5287 |   0   352k|   0  17.0 |1199  1568 |0.92 0.79 0.60|1.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Jun 14 16:25:55 ubuntu dstat.sh[95606]: 14-06 16:25:55| 24   2  72   0   0|1063M 1186M  200M 5294M| 237k 4853 |   0  3715k|   0   220 |1817  2691 |0.92 0.79 0.60|1.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Jun 14 16:25:56 ubuntu dstat.sh[95606]: 14-06 16:25:56| 24   3  73   0   1|1025M 1223M  200M 5294M| 204k 5954 |   0   132k|   0  10.0 |1249  1738 |0.92 0.79 0.60|1.0   0  11|   0     0 |   0     0 |  9    6    0    8    0
Jun 14 16:25:57 ubuntu dstat.sh[95606]: 14-06 16:25:57| 24   3  73   0   0|1062M 1187M  200M 5294M| 243k 7231 |   0  7997k|   0  19.0 |1263  1622 |0.92 0.79 0.60|1.0   0 2.0|   0     0 |   0     0 |  9    6    0    8    0
Jun 14 16:25:58 ubuntu dstat.sh[95606]: 14-06 16:25:58| 15  13  71   0   0| 976M 1272M  200M 5295M| 263k 7698 |   0  4099B|   0  1.00 |2499  3787 |0.92 0.79 0.60|1.0   0 275|   0     0 |   0     0 |  9    6    0    8    0
Jun 14 16:25:59 ubuntu dstat.sh[95606]: 14-06 16:25:59| 30  19  50   0   0| 977M 1270M  200M 5295M| 234k 6915 |   0    36k|   0  9.00 |3150  5823 |0.92 0.79 0.60|5.0   0 380|   0     0 |   0     0 |  9    6    0    8    0
Jun 14 16:26:00 ubuntu dstat.sh[95606]: 14-06 16:26:00| 59  27  12   0   0| 999M 1233M  201M 5308M|9188  1908 |   0  3932k|   0  15.0 |  11k   33k|0.92 0.79 0.60|4.0   0 239|   0     0 |   0     0 |  9    4    0    9    1
Jun 14 16:26:01 ubuntu dstat.sh[95606]: 14-06 16:26:01| 66  12  22   0   0|1140M 1092M  201M 5308M|  12k 2093 |   0   192k|   0  3.00 |1731  2335 |0.92 0.79 0.60|3.0   0 142|   0     0 |   0     0 |  9    5    0    9    0
Jun 14 16:26:02 ubuntu dstat.sh[95606]: 14-06 16:26:02| 71   4  24   0   0|1191M 1040M  201M 5309M|9120  1615 |   0   259k|   0  2.99 |1544  1458 |0.92 0.79 0.60|3.0   0 4.0|   0     0 |   0     0 |  9    5    0    9    0
Jun 14 16:26:03 ubuntu dstat.sh[95606]: 14-06 16:26:03| 47  12  39   0   1|1215M 1013M  201M 5311M|9658  2639 |   0     0 |   0     0 |3948  8468 |1.01 0.81 0.61|1.0   0 139|   0     0 |   0     0 |  9    5    0   10    0
