-- Logs begin at Fri 2023-06-16 00:04:55 UTC, end at Fri 2023-06-16 01:45:59 UTC. --
Jun 16 01:23:43 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 16 01:23:43 ubuntu dstat.sh[97195]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 16 01:23:43 ubuntu dstat.sh[97195]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 16 01:23:43 ubuntu dstat.sh[97195]: 16-06 01:23:43|                   | 929M 1269M  201M 5215M|           |           |           |           |0.64 0.42 0.31|5.0   0    |           |   0     0 |  8    6    0    8    2
Jun 16 01:23:44 ubuntu dstat.sh[97195]: 16-06 01:23:44| 17  20  62   0   0| 931M 1267M  201M 5215M| 850k   26k|   0   288k|   0  16.0 |3715  5220 |0.65 0.42 0.31|3.5   0 361|   0     0 |   0     0 |  8    6    0    8    2
Jun 16 01:23:45 ubuntu dstat.sh[97195]: 16-06 01:23:45| 14  20  67   0   0| 933M 1260M  201M 5220M|2111k   41k|   0    24k|   0  11.0 |3903  5038 |0.66 0.43 0.31|3.0   0 342|   0     0 |   0     0 |  8    6    0    8    2
Jun 16 01:23:46 ubuntu dstat.sh[97195]: 16-06 01:23:46| 18  18  63   0   0| 917M 1272M  201M 5224M|1842k   30k|   0  3967k|   0  19.0 |4021  6545 |0.66 0.43 0.31|1.0   0 226|   0     0 |   0     0 |  8    6    0    7    2
Jun 16 01:23:47 ubuntu dstat.sh[97195]: 16-06 01:23:47| 28  16  55   0   0| 864M 1320M  201M 5228M|2229k   39k|   0  3237k|   0  8.99 |5622  9038 |0.66 0.43 0.31|2.0   0  83|   0     0 |   0     0 |  8    4    0    7    2
Jun 16 01:23:48 ubuntu dstat.sh[97195]: 16-06 01:23:48| 20  12  66   1   0|1011M 1173M  201M 5350M| 114k 8310 |   0  5849k|   0   234 |2952  4693 |0.66 0.43 0.31|1.0   0 136|   0     0 |   0     0 |  9    6    0    7    2
Jun 16 01:23:49 ubuntu dstat.sh[97195]: 16-06 01:23:49| 18  11  69   2   0|1009M 1174M  201M 5351M| 262k   22k|   0   748k|   0  30.0 |2309  3157 |0.69 0.43 0.32|2.0   0 190|   0     0 |   0     0 |  9    6    0    9    2
Jun 16 01:23:50 ubuntu dstat.sh[97195]: 16-06 01:23:50| 24   3  71   0   0|1065M 1118M  201M 5351M| 160k 8364 |   0  1189k|   0  21.0 |1329  1532 |0.69 0.43 0.32|1.0   0 4.0|   0     0 |   0     0 |  9    6    0    9    2
Jun 16 01:23:51 ubuntu dstat.sh[97195]: 16-06 01:23:51| 26   3  70   1   0|1075M 1107M  202M 5352M| 179k 9711 |  44k 1463k|6.00  17.0 |1419  1597 |0.69 0.43 0.32|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Jun 16 01:23:52 ubuntu dstat.sh[97195]: 16-06 01:23:52| 14   4  64  17   0|1093M 1086M  202M 5354M|  75k   17k|   0  8226k|   0   623 |4804  8217 |0.69 0.43 0.32|1.0 1.0  10|   0     0 |   0     0 |  9    8    0    9    2
Jun 16 01:23:53 ubuntu dstat.sh[97195]: 16-06 01:23:53| 10   4  64  22   0|1093M 1083M  202M 5357M| 158k   14k|   0    22M|   0   932 |5873  9605 |0.69 0.43 0.32|4.0 1.0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Jun 16 01:23:54 ubuntu dstat.sh[97195]: 16-06 01:23:54| 10   4  62  23   0|1100M 1075M  202M 5359M|  79k   11k|   0    15M|   0  1088 |6910    12k|0.88 0.48 0.33|2.0 1.0  18|   0     0 |   0     0 |  9    8    0    9    2
Jun 16 01:23:55 ubuntu dstat.sh[97195]: 16-06 01:23:55|  9   5  62  23   0|1101M 1071M  203M 5360M|  55k   11k|   0    16M|   0  1205 |7129    12k|0.88 0.48 0.33|  0 1.0  20|   0     0 |   0     0 |  9    8    0    9    2
