-- Logs begin at Tue 2023-06-20 20:29:34 UTC, end at Wed 2023-06-21 04:21:10 UTC. --
Jun 21 03:58:02 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 21 03:58:02 ubuntu dstat.sh[104457]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 21 03:58:02 ubuntu dstat.sh[104457]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 21 03:58:02 ubuntu dstat.sh[104457]: 21-06 03:58:02|                   | 872M 1137M  220M 5379M|           |           |           |           |1.02 0.61 0.39|2.0   0    |           |   0     0 |  8    4    1    8    2
Jun 21 03:58:03 ubuntu dstat.sh[104457]: 21-06 03:58:03| 13  18  68   1   0| 873M 1135M  221M 5379M| 120k 6737 |   0   595k|   0  23.0 |2623  4239 |1.02 0.61 0.39|1.5   0 349|   0     0 |   0     0 |  8    4    1    8    2
Jun 21 03:58:04 ubuntu dstat.sh[104457]: 21-06 03:58:04| 12  19  67   0   0| 875M 1133M  221M 5380M| 179k 8106 |   0   568k|   0  19.0 |2588  4019 |1.02 0.61 0.39|3.0   0 342|   0     0 |   0     0 |  8    4    1    8    2
Jun 21 03:58:05 ubuntu dstat.sh[104457]: 21-06 03:58:05| 18  19  62   0   0| 856M 1151M  221M 5380M| 154k 7237 |   0    10M|   0  44.0 |3628  5792 |1.02 0.61 0.39|3.0   0 227|   0     0 |   0     0 |  8    4    1    7    2
Jun 21 03:58:06 ubuntu dstat.sh[104457]: 21-06 03:58:06| 23  17  58   1   0| 997M 1008M  221M 5503M| 166k 9016 |   0   567k|   0  8.99 |4527  9911 |1.01 0.62 0.40|  0   0 119|   0     0 |   0     0 |  9    4    1    7    2
Jun 21 03:58:07 ubuntu dstat.sh[104457]: 21-06 03:58:07|  6   2  92   1   0|1002M 1004M  221M 5504M|  58k 6433 |   0   368k|   0  9.01 |1000  1331 |1.01 0.62 0.40|2.0   0  20|   0     0 |   0     0 |  9    6    1    7    2
Jun 21 03:58:08 ubuntu dstat.sh[104457]: 21-06 03:58:08| 19   9  70   1   0|1006M  999M  221M 5504M|  49k 5334 |   0   459k|   0  17.0 |1675  2013 |1.01 0.62 0.40|1.0   0  96|   0     0 |   0     0 |  9    6    1    7    2
Jun 21 03:58:09 ubuntu dstat.sh[104457]: 21-06 03:58:09| 19  10  69   1   0|1029M  976M  221M 5504M|  80k   18k|   0   864k|   0  27.0 |2160  3129 |1.01 0.62 0.40|2.0   0 171|   0     0 |   0     0 |  9    6    1    9    2
Jun 21 03:58:10 ubuntu dstat.sh[104457]: 21-06 03:58:10| 23   3  64   9   0|1051M  953M  221M 5504M|  72k 6717 |  44k 6325k|6.00   260 |1894  1645 |1.01 0.62 0.40|1.0   0   0|   0     0 |   0     0 |  9    6    1    9    2
Jun 21 03:58:11 ubuntu dstat.sh[104457]: 21-06 03:58:11| 27   2  69   1   0|1078M  925M  221M 5505M|  75k 7989 |   0  1002k|   0  10.0 |1254  1380 |1.01 0.63 0.40|1.0   0 2.0|   0     0 |   0     0 |  9    8    1    9    2
Jun 21 03:58:12 ubuntu dstat.sh[104457]: 21-06 03:58:12|  9   3  67  19   0|1092M  909M  221M 5508M|  55k   17k|   0  9039k|   0   643 |5273  9163 |1.01 0.63 0.40|1.0   0  10|   0     0 |   0     0 |  9    8    1    9    2
Jun 21 03:58:13 ubuntu dstat.sh[104457]: 21-06 03:58:13| 10   4  64  20   0|1098M  900M  222M 5510M| 347k   18k|   0  9093k|   0   827 |5783    11k|1.01 0.63 0.40|  0 1.0 5.0|   0     0 |   0     0 |  9    8    1    9    2
Jun 21 03:58:14 ubuntu dstat.sh[104457]: 21-06 03:58:14| 12   5  59  23   0|1098M  896M  222M 5513M| 903k   28k|   0    18M|   0  1205 |7107    13k|1.01 0.63 0.40|1.0 1.0  16|   0     0 |   0     0 |  9    8    1    9    2
Jun 21 03:58:15 ubuntu dstat.sh[104457]: 21-06 03:58:15| 15   5  53  27   0|1102M  890M  222M 5515M| 604k   22k|   0    52M|   0  1347 |7208    11k|1.01 0.63 0.40|1.0 1.0  15|   0     0 |   0     0 |  9    8    1    9    2
