-- Logs begin at Sat 2023-07-29 15:27:11 UTC, end at Mon 2023-07-31 10:20:25 UTC. --
Jul 31 09:45:30 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 31 09:45:31 ubuntu dstat.sh[112881]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 31 09:45:31 ubuntu dstat.sh[112881]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 31 09:45:31 ubuntu dstat.sh[112881]: 31-07 09:45:31|                   | 866M  803M  222M 5701M|           |           |           |           |0.91 0.63 0.54|2.0   0    |           |   0     0 |  8    4    0    8    0
Jul 31 09:45:32 ubuntu dstat.sh[112881]: 31-07 09:45:32|  9  20  69   0   0| 867M  802M  222M 5701M|  99k 3262 |   0   383k|   0  17.0 |2589  3927 |0.91 0.63 0.54|2.5   0 355|   0     0 |   0     0 |  8    4    0    8    0
Jul 31 09:45:33 ubuntu dstat.sh[112881]: 31-07 09:45:33| 14  22  63   1   1| 876M  792M  222M 5703M| 125k 5478 |   0   457k|   0  15.0 |2647  4907 |0.91 0.63 0.54| 13   0 349|   0     0 |   0     0 |  8    4    0    8    0
Jul 31 09:45:34 ubuntu dstat.sh[112881]: 31-07 09:45:34| 41  17  42   0   0| 854M  813M  222M 5703M|9381  1618 |   0    16k|   0  4.00 |2228  5671 |0.99 0.66 0.55|2.0   0 206|   0     0 |   0     0 |  8    4    0    7    0
Jul 31 09:45:35 ubuntu dstat.sh[112881]: 31-07 09:45:35| 40  18  41   0   0| 954M  713M  222M 5824M|9257  2511 |   0    16k|   0  2.00 |2679  7271 |0.99 0.66 0.55|3.0   0 102|   0     0 |   0     0 |  9    4    0    7    2
Jul 31 09:45:36 ubuntu dstat.sh[112881]: 31-07 09:45:36| 34  16  48   0   0| 972M  695M  222M 5824M|9258  1835 |4094B  240k|1.00  12.0 |2144  3106 |0.99 0.66 0.55|2.0   0 271|   0     0 |   0     0 |  9    4    0    7    0
Jul 31 09:45:37 ubuntu dstat.sh[112881]: 31-07 09:45:37| 52  19  28   1   0|1059M  589M  223M 5841M|  21k   13k|   0   970k|   0  17.0 |3207  5286 |0.99 0.66 0.55|5.0   0 184|   0     0 |   0     0 |  9    4    0    9    0
Jul 31 09:45:38 ubuntu dstat.sh[112881]: 31-07 09:45:38| 87  13   0   0   0|1182M  452M  223M 5854M|9327  1619 | 260k 2050k|14.0  17.0 |1722  1415 |0.99 0.66 0.55|5.0   0 8.0|   0     0 |   0     0 |  9    4    0    9    0
Jul 31 09:45:39 ubuntu dstat.sh[112881]: 31-07 09:45:39| 86  11   4   0   0|1233M  397M  224M 5857M|  14k 6152 |  84k 1467k|7.99  8.99 |1790  1736 |1.31 0.73 0.57|4.0   0  12|   0     0 |   0     0 |  9    6    2    9    0
Jul 31 09:45:40 ubuntu dstat.sh[112881]: 31-07 09:45:40| 17   6  57  18   0|1236M  390M  224M 5860M|  27k   12k|   0    12M|   0   894 |6284    11k|1.31 0.73 0.57|1.0   0  14|   0     0 |   0     0 |  9   10    0    9    0
Jul 31 09:45:41 ubuntu dstat.sh[112881]: 31-07 09:45:41|  7   4  67  20   0|1241M  383M  224M 5861M|  61k   13k|   0  8791k|   0   787 |5868    10k|1.31 0.73 0.57|  0 1.0 9.0|   0     0 |   0     0 |  9   11    0    9    0
Jul 31 09:45:42 ubuntu dstat.sh[112881]: 31-07 09:45:42| 14   6  60  20   0|1209M  413M  225M 5863M| 178k   12k|   0    17M|   0  1223 |7251    12k|1.31 0.73 0.57|2.0 1.0  18|   0     0 |   0     0 |  9   12    0    9    0
Jul 31 09:45:43 ubuntu dstat.sh[112881]: 31-07 09:45:43| 24   5  49  21   0|1175M  445M  225M 5865M| 105k   13k|   0    17M|   0  1273 |6474    12k|1.31 0.73 0.57|2.0 1.0  16|   0     0 |   0     0 |  9   12    0    9    0
Jul 31 09:45:44 ubuntu dstat.sh[112881]: 31-07 09:45:44| 36   7  36  20   0|1203M  414M  225M 5867M| 386k   15k|   0    11M|   0   856 |5336    10k|1.37 0.75 0.58|1.0 1.0 5.0|   0     0 |   0     0 |  9   12    0    9    0
Jul 31 09:45:45 ubuntu dstat.sh[112881]: 31-07 09:45:45| 37   6  43  14   0|1216M  397M  225M 5871M|2172k   54k|   0    10M|   0   793 |6222  9415 |1.37 0.75 0.58|3.0   0  19|   0     0 |   0     0 |  9   12    0    9    0
