-- Logs begin at Tue 2023-07-25 16:37:58 UTC, end at Thu 2023-07-27 17:14:19 UTC. --
Jul 27 16:38:36 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 27 16:38:36 ubuntu dstat.sh[113396]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 27 16:38:36 ubuntu dstat.sh[113396]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 27 16:38:36 ubuntu dstat.sh[113396]: 27-07 16:38:36|                   | 928M  701M  225M 5735M|           |           |           |           |1.07 0.70 0.54|5.0   0    |           |   0     0 |  8    4    0    8    2
Jul 27 16:38:37 ubuntu dstat.sh[113396]: 27-07 16:38:37| 13  21  64   1   0| 930M  699M  225M 5735M| 453k   11k|   0  1168k|   0  22.0 |2849  3980 |1.07 0.70 0.54|4.5   0 370|   0     0 |   0     0 |  8    4    0    8    2
Jul 27 16:38:38 ubuntu dstat.sh[113396]: 27-07 16:38:38| 25  17  56   0   0| 933M  692M  225M 5738M|1183k   24k|   0   172k|   0  16.0 |3106  4650 |1.06 0.71 0.54|4.0   0 355|   0     0 |   0     0 |  8    5    1    8    2
Jul 27 16:38:39 ubuntu dstat.sh[113396]: 27-07 16:38:39| 19  18  62   0   0| 916M  704M  225M 5743M|2669k   20k|   0  3797k|   0  14.0 |4130  6825 |1.06 0.71 0.54|3.0   0 204|   0     0 |   0     0 |  8    6    0    8    2
Jul 27 16:38:40 ubuntu dstat.sh[113396]: 27-07 16:38:40| 20  16  62   1   0|1062M  554M  225M 5869M|1959k   11k|   0   124k|   0  3.00 |3748  7899 |1.06 0.71 0.54|  0   0 107|   0     0 |   0     0 |  9    6    0    7    2
Jul 27 16:38:41 ubuntu dstat.sh[113396]: 27-07 16:38:41| 24   8  67   2   0|1074M  540M  225M 5871M|1261k   29k|   0  2498k|   0  20.0 |2518  2369 |1.06 0.71 0.54|1.0   0 112|   0     0 |   0     0 |  9    8    0    7    2
Jul 27 16:38:42 ubuntu dstat.sh[113396]: 27-07 16:38:42| 31  12  54   2   0|1067M  544M  225M 5873M|1284k   42k|   0  3027k|   0  31.0 |3130  3219 |1.06 0.71 0.54|2.0   0 180|   0     0 |   0     0 |  9    6    0    9    2
Jul 27 16:38:43 ubuntu dstat.sh[113396]: 27-07 16:38:43| 43   4  46   6   0|1114M  497M  225M 5874M| 162k 5366 |  52k 1028k|5.00  22.0 |1481  1529 |1.14 0.73 0.55|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Jul 27 16:38:44 ubuntu dstat.sh[113396]: 27-07 16:38:44| 38   6  54   3   0|1126M  482M  225M 5875M| 186k 7627 | 144k 1664k|9.00  19.0 |1645  1699 |1.14 0.73 0.55|2.0   0 5.0|   0     0 |   0     0 |  9    7    0    9    2
Jul 27 16:38:45 ubuntu dstat.sh[113396]: 27-07 16:38:45| 17   3  67  12   0|1146M  461M  226M 5877M| 184k   17k|  12k 3679k|1.00   328 |3656  5764 |1.14 0.73 0.55|  0 1.0  11|   0     0 |   0     0 |  9    9    0    9    2
Jul 27 16:38:46 ubuntu dstat.sh[113396]: 27-07 16:38:46| 12   7  58  24   0|1146M  458M  226M 5880M|  77k   10k|   0    15M|   0   993 |6111    11k|1.14 0.73 0.55|1.0 2.0   0|   0     0 |   0     0 |  9   10    0    9    2
Jul 27 16:38:47 ubuntu dstat.sh[113396]: 27-07 16:38:47|  4   3  58  32   0|1147M  455M  226M 5881M|  54k 8737 |   0    17M|   0   595 |3499  5647 |1.14 0.73 0.55|4.0   0 2.0|   0     0 |   0     0 |  9   10    0    9    2
Jul 27 16:38:48 ubuntu dstat.sh[113396]: 27-07 16:38:48|  8   3  66  22   0|1152M  448M  226M 5882M| 595k   20k|   0  7767k|   0   608 |5044  8712 |1.21 0.75 0.56|3.0 2.0  18|   0     0 |   0     0 |  9   10    0    9    2
Jul 27 16:38:49 ubuntu dstat.sh[113396]: 27-07 16:38:49| 17   5  55  23   0|1103M  493M  227M 5887M|1660k   27k|   0    15M|   0   863 |6300  9761 |1.21 0.75 0.56|  0 1.0  12|   0     0 |   0     0 |  9    8    0    9    3
Jul 27 16:38:50 ubuntu dstat.sh[113396]: 27-07 16:38:50|  9   3  62  24   0|1103M  491M  227M 5888M|  75k   11k|   0    11M|   0   864 |6032    10k|1.21 0.75 0.56|1.0   0  16|   0     0 |   0     0 |  9    8    0    9    2
Jul 27 16:38:51 ubuntu dstat.sh[113396]: 27-07 16:38:51|  9   3  60  27   0|1103M  489M  227M 5890M| 105k   10k|   0    14M|   0   948 |5906    10k|1.21 0.75 0.56|  0 1.0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Jul 27 16:38:52 ubuntu dstat.sh[113396]: 27-07 16:38:52|  9   2  62  23   0|1106M  484M  227M 5892M| 692k   13k|   0    13M|   0   795 |4672  7299 |1.21 0.75 0.56|  0 1.0  13|   0     0 |   0     0 |  9    8    0    9    2
Jul 27 16:38:53 ubuntu dstat.sh[113396]: 27-07 16:38:53| 24   6  54  16   0|1039M  549M  227M 5894M|1041k   12k|   0  6327k|   0   377 |3657  5211 |1.27 0.77 0.57|2.0 1.0  80|   0     0 |   0     0 |  9    6    0    9    2
