-- Logs begin at Wed 2023-07-12 13:20:49 UTC, end at Wed 2023-07-12 14:55:43 UTC. --
Jul 12 14:19:47 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 12 14:19:48 ubuntu dstat.sh[81957]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 12 14:19:48 ubuntu dstat.sh[81957]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 12 14:19:48 ubuntu dstat.sh[81957]: 12-07 14:19:48|                   | 928M 1355M  198M 5128M|           |           |           |           |0.82 0.58 0.46|1.0   0    |           |   0     0 |  8    6    0    8    2
Jul 12 14:19:49 ubuntu dstat.sh[81957]: 12-07 14:19:49| 20  19  59   1   0| 929M 1351M  198M 5130M|1664k   34k|   0  1787k|   0  22.7 |3131  4039 |0.82 0.58 0.46|2.0   0 375|   0     0 |   0     0 |  8    6    0    8    2
Jul 12 14:19:50 ubuntu dstat.sh[81957]: 12-07 14:19:50| 20  18  59   0   0| 858M 1416M  198M 5138M|2978k   28k|   0    32k|   0  15.4 |3451  4828 |0.82 0.58 0.46|1.0   0 334|   0     0 |   0     0 |  8    4    0    8    2
Jul 12 14:19:51 ubuntu dstat.sh[81957]: 12-07 14:19:51| 18  17  64   0   0| 859M 1413M  198M 5140M|1113k 7993 |   0  3983k|   0  20.0 |3093  5677 |0.82 0.58 0.46|3.0   0 205|   0     0 |   0     0 |  8    4    0    8    2
Jul 12 14:19:52 ubuntu dstat.sh[81957]: 12-07 14:19:52| 14  12  72   1   0|1002M 1266M  198M 5264M|1209k 7127 |   0    11M|   0  86.2 |3608  6425 |0.82 0.58 0.46|1.0   0  72|   0     0 |   0     0 |  9    4    0    8    2
Jul 12 14:19:53 ubuntu dstat.sh[81957]: 12-07 14:19:53| 21   9  69   1   1|1005M 1263M  198M 5264M| 226k 7528 |   0   612k|   0  16.0 |1803  2326 |0.84 0.58 0.46|2.0   0 114|   0     0 |   0     0 |  9    6    0    8    2
Jul 12 14:19:54 ubuntu dstat.sh[81957]: 12-07 14:19:54| 17  11  70   1   0|1020M 1248M  198M 5265M| 129k   17k|   0   769k|   0  24.0 |2126  3136 |0.84 0.58 0.46|2.0   0 177|   0     0 |   0     0 |  9    6    0   10    2
Jul 12 14:19:55 ubuntu dstat.sh[81957]: 12-07 14:19:55| 25   3  70   2   0|1047M 1221M  198M 5265M| 177k 5574 |  52k 1273k|5.00  21.0 |1243  1475 |0.84 0.58 0.46|3.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 12 14:19:56 ubuntu dstat.sh[81957]: 12-07 14:19:56| 25   2  71   1   0|1072M 1194M  198M 5266M| 153k 5965 | 156k 1014k|9.98  14.0 |1310  1510 |0.84 0.58 0.46|4.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 12 14:19:57 ubuntu dstat.sh[81957]: 12-07 14:19:57|  9   4  65  20   0|1086M 1176M  199M 5270M|  60k   16k|   0    11M|   0   767 |5167  9884 |0.84 0.58 0.46|1.0 1.0  10|   0     0 |   0     0 |  9    8    0   10    2
Jul 12 14:19:58 ubuntu dstat.sh[81957]: 12-07 14:19:58|  9   3  65  21   1|1092M 1168M  199M 5272M| 150k   11k|   0  9590k|   0   833 |5723    11k|0.85 0.59 0.47|1.0 1.0 7.0|   0     0 |   0     0 |  9    8    0   10    2
Jul 12 14:19:59 ubuntu dstat.sh[81957]: 12-07 14:19:59| 10   5  59  24   0|1094M 1164M  200M 5273M|  51k 8949 |   0    19M|   0  1343 |6844    13k|0.85 0.59 0.47|1.0 1.0  21|   0     0 |   0     0 |  9    8    0   10    2
Jul 12 14:20:00 ubuntu dstat.sh[81957]: 12-07 14:20:00|  8   4  60  24   0|1094M 1161M  200M 5275M|  74k   11k|   0    17M|   0  1274 |6777    13k|0.85 0.59 0.47|5.0 1.0  16|   0     0 |   0     0 |  9    8    0   10    2
Jul 12 14:20:01 ubuntu dstat.sh[81957]: 12-07 14:20:01|  8   3  66  21   0|1095M 1158M  201M 5276M|  48k 9944 |   0    11M|   0   865 |5373    11k|0.85 0.59 0.47|1.0 2.0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Jul 12 14:20:02 ubuntu dstat.sh[81957]: 12-07 14:20:02| 17   5  57  20   0|1098M 1154M  201M 5277M|  77k   12k|   0    18M|   0  1256 |6109    12k|0.85 0.59 0.47|2.0   0  15|   0     0 |   0     0 |  9    8    0   10    2
Jul 12 14:20:03 ubuntu dstat.sh[81957]: 12-07 14:20:03| 23   6  70   1   0|1044M 1208M  201M 5277M|  77k 5273 |   0  2581k|   0   147 |1737  2632 |0.86 0.60 0.47|2.0   0  76|   0     0 |   0     0 |  9    6    0   10    2
Jul 12 14:20:04 ubuntu dstat.sh[81957]: 12-07 14:20:04| 26   3  72   0   0|1091M 1160M  201M 5277M|  43k 4523 |   0   868k|   0  29.0 |1107  1277 |0.86 0.60 0.47|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jul 12 14:20:05 ubuntu dstat.sh[81957]: 12-07 14:20:05| 27   3  68   1   0|1049M 1201M  201M 5279M| 715k 7651 |   0  5288k|   0   250 |2094  2551 |0.86 0.60 0.47|2.0   0  15|   0     0 |   0     0 |  9    6    0   10    2
Jul 12 14:20:06 ubuntu dstat.sh[81957]: 12-07 14:20:06| 27   1  71   0   0|1094M 1154M  201M 5280M| 909k 6591 |   0  1211k|   0  16.0 |1402  1272 |0.86 0.60 0.47|3.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 12 14:20:07 ubuntu dstat.sh[81957]: 12-07 14:20:07| 22  12  64   0   0|1017M 1231M  201M 5281M| 612k 7486 |   0    33M|   0   115 |2342  2826 |0.86 0.60 0.47|2.0   0 201|   0     0 |   0     0 |  9    6    0   10    2
Jul 12 14:20:08 ubuntu dstat.sh[81957]: 12-07 14:20:08| 15  21  64   1   0|1016M 1232M  201M 5282M|  99k 5576 |   0   516k|   0  17.0 |2640  4261 |0.87 0.60 0.47|3.0   0 360|   0     0 |   0     0 |  9    6    0   10    2
Jul 12 14:20:09 ubuntu dstat.sh[81957]: 12-07 14:20:09| 22  15  62   0   0|1018M 1229M  201M 5282M|  69k 4141 |   0   489k|   0  12.0 |3741  7629 |0.87 0.60 0.47|4.0   0 183|   0     0 |   0     0 |  9    6    0   10    2
Jul 12 14:20:10 ubuntu dstat.sh[81957]: 12-07 14:20:10| 45  12  40   2   0|1132M 1114M  201M 5283M|  42k 4936 | 324k  288k|4.00  6.00 |2368  3819 |0.87 0.60 0.47|3.0   0 149|   0     0 |   0     0 |  9    7    0   10    2
Jul 12 14:20:11 ubuntu dstat.sh[81957]: 12-07 14:20:11| 52   5  41   1   0|1215M 1028M  202M 5285M| 334k 5959 | 372k  748k|8.00  9.00 |1673  1671 |0.87 0.60 0.47|4.0   0 4.0|   0     0 |   0     0 |  9    7    0   10    2
Jul 12 14:20:12 ubuntu dstat.sh[81957]: 12-07 14:20:12| 53   4  41   1   0|1229M 1011M  202M 5288M| 774k 6007 |   0  9366k|   0   450 |2658  3735 |0.87 0.60 0.47|4.0   0 2.0|   0     0 |   0     0 |  9    7    0   10    2
Jul 12 14:20:13 ubuntu dstat.sh[81957]: 12-07 14:20:13| 39  12  47   1   0|1266M  968M  202M 5293M| 123k 4399 |   0  2857k|   0  44.0 |2834  4885 |0.96 0.63 0.48|2.0   0 148|   0     0 |   0     0 |  9    6    0   10    2
Jul 12 14:20:14 ubuntu dstat.sh[81957]: 12-07 14:20:14| 28   3  68   1   0|1323M  910M  202M 5294M| 430k 7057 |   0   959k|   0  21.0 |1344  1559 |0.96 0.63 0.48|3.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 12 14:20:15 ubuntu dstat.sh[81957]: 12-07 14:20:15| 27   1  69   2   0|1344M  887M  202M 5295M| 636k   35k|   0  1292k|   0  45.0 |1778  2342 |0.96 0.63 0.48|3.0   0 4.0|   0     0 |   0     0 |  9   12    0   10    2
