-- Logs begin at Mon 2023-08-07 20:56:24 UTC, end at Tue 2023-08-08 09:36:01 UTC. --
Aug 08 08:59:58 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 08 08:59:59 ubuntu dstat.sh[107991]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 08 08:59:59 ubuntu dstat.sh[107991]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 08 08:59:59 ubuntu dstat.sh[107991]: 08-08 08:59:59|                   | 971M  647M  223M 5748M|           |           |           |           |1.50 0.72 0.54|4.0   0    |           |   0     0 |  8    7    2   11    0
Aug 08 09:00:00 ubuntu dstat.sh[107991]: 08-08 09:00:00| 20  20  57   0   0| 967M  651M  223M 5748M| 346k 9129 |   0  2675k|   0  24.0 |3154  8073 |1.50 0.72 0.54|4.5   0 404|   0     0 |   0     0 |  8    7    2   10    0
Aug 08 09:00:01 ubuntu dstat.sh[107991]: 08-08 09:00:01| 17  19  62   0   0| 920M  697M  223M 5749M| 146k 7592 |   0   172k|   0  17.0 |3226  8820 |1.50 0.72 0.54|2.0   0 367|   0     0 |   0     0 |  8    8    1   11    1
Aug 08 09:00:02 ubuntu dstat.sh[107991]: 08-08 09:00:02| 36  19  45   0   0| 944M  672M  223M 5750M| 161k 7675 |   0   264k|   0  7.01 |3417  5127 |1.50 0.72 0.54|2.0   0 213|   0     0 |   0     0 |  8    6    1    9    2
Aug 08 09:00:03 ubuntu dstat.sh[107991]: 08-08 09:00:03| 37  14  48   1   0|1099M  517M  224M 5872M| 284k 7668 |   0  2532k|   0   205 |4969  7406 |1.50 0.72 0.54|2.0   0  73|   0     0 |   0     0 |  9    4    1    9    4
Aug 08 09:00:04 ubuntu dstat.sh[107991]: 08-08 09:00:04| 40  11  47   0   0|1097M  517M  224M 5873M| 388k   12k|   0   591k|   0  14.0 |1946  2353 |1.54 0.75 0.55|2.0   0 103|   0     0 |   0     0 |  9    7    1    9    2
Aug 08 09:00:05 ubuntu dstat.sh[107991]: 08-08 09:00:05| 41  13  45   0   0|1125M  488M  224M 5874M| 558k   27k|   0   692k|   0  25.0 |2264  3113 |1.54 0.75 0.55|1.0   0 191|   0     0 |   0     0 |  9    9    1   11    2
Aug 08 09:00:06 ubuntu dstat.sh[107991]: 08-08 09:00:06| 23   4  69   4   0|1166M  442M  224M 5880M|3048k   28k|  92k  488k|7.00  12.0 |1997  1483 |1.54 0.75 0.55|1.0   0   0|   0     0 |   0     0 |  9    9    1   11    2
Aug 08 09:00:07 ubuntu dstat.sh[107991]: 08-08 09:00:07| 31   5  62   2   0|1123M  479M  224M 5884M|1935k   17k| 116k 5133k|8.00  21.0 |1865  1720 |1.54 0.75 0.55|2.0   0 4.0|   0     0 |   0     0 |  9   10    1   11    2
Aug 08 09:00:08 ubuntu dstat.sh[107991]: 08-08 09:00:08| 10   5  64  21   1|1135M  460M  224M 5891M|2146k   37k|   0    13M|   0   775 |6216    10k|1.54 0.75 0.55|2.0 1.0  10|   0     0 |   0     0 |  9   10    1   11    2
Aug 08 09:00:09 ubuntu dstat.sh[107991]: 08-08 09:00:09| 23   5  49  21   0|1127M  465M  224M 5894M| 657k   19k|   0    11M|   0   822 |5799    10k|1.73 0.80 0.57|1.0 1.0  12|   0     0 |   0     0 |  9    8    1   11    2
Aug 08 09:00:10 ubuntu dstat.sh[107991]: 08-08 09:00:10| 31   5  44  20   0|1142M  447M  225M 5896M| 237k   12k|   0    17M|   0  1172 |6347    11k|1.73 0.80 0.57|6.0   0  26|   0     0 |   0     0 |  9    8    1   11    2
Aug 08 09:00:11 ubuntu dstat.sh[107991]: 08-08 09:00:11| 14   5  56  23   0|1143M  444M  225M 5898M| 178k   12k|   0    19M|   0  1367 |7576    13k|1.73 0.80 0.57|  0 2.0  15|   0     0 |   0     0 |  9    9    1   11    2
