-- Logs begin at Mon 2023-07-03 05:30:12 UTC, end at Thu 2023-07-06 23:44:47 UTC. --
Jul 06 23:09:08 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 06 23:09:08 ubuntu dstat.sh[100715]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 06 23:09:08 ubuntu dstat.sh[100715]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 06 23:09:08 ubuntu dstat.sh[100715]: 06-07 23:09:08|                   | 944M  869M  226M 5563M|           |           |           |           |1.11 0.78 0.61|1.0   0    |           |   0     0 |  8    8    1    8    0
Jul 06 23:09:09 ubuntu dstat.sh[100715]: 06-07 23:09:09| 16  20  63   0   0| 930M  881M  226M 5565M|2732k   50k|   0  2338k|   0  19.0 |3669  4574 |1.11 0.78 0.61|1.5   0 375|   0     0 |   0     0 |  8    6    2    8    1
Jul 06 23:09:10 ubuntu dstat.sh[100715]: 06-07 23:09:10| 37  21  40   0   0| 929M  879M  226M 5567M|  77k 6240 |   0   524k|   0  17.5 |3566  5214 |1.11 0.78 0.61|2.0   0 366|   0     0 |   0     0 |  8    5    2    8    1
Jul 06 23:09:11 ubuntu dstat.sh[100715]: 06-07 23:09:11| 35  18  47   0   0| 935M  873M  226M 5568M| 167k 4819 |   0    16k|   0  4.00 |2077  5455 |1.10 0.78 0.61|1.0   0 208|   0     0 |   0     0 |  8    6    2    8    1
Jul 06 23:09:12 ubuntu dstat.sh[100715]: 06-07 23:09:12| 17  15  69   0   0|1055M  753M  226M 5690M| 106k 4546 |   0  4093B|   0  1.00 |2696  6892 |1.10 0.78 0.61|  0   0  70|   0     0 |   0     0 |  9    5    1    7    2
Jul 06 23:09:13 ubuntu dstat.sh[100715]: 06-07 23:09:13| 18   7  72   1   0|1064M  743M  226M 5690M| 234k 9439 |   0   985k|   0  16.0 |1814  2376 |1.10 0.78 0.61|1.0   0  97|   0     0 |   0     0 |  9    8    1    7    2
Jul 06 23:09:14 ubuntu dstat.sh[100715]: 06-07 23:09:14| 19  10  69   1   0|1063M  743M  226M 5691M| 378k   22k|   0   700k|   0  27.0 |2259  3157 |1.10 0.78 0.61|2.0   0 166|   0     0 |   0     0 |  9    8    1    9    2
Jul 06 23:09:15 ubuntu dstat.sh[100715]: 06-07 23:09:15| 34   5  60   0   0|1127M  678M  226M 5691M| 271k 7031 |   0   755k|   0  15.0 |1318  1720 |1.10 0.78 0.61|2.0   0  26|   0     0 |   0     0 |  9    8    1    9    2
Jul 06 23:09:16 ubuntu dstat.sh[100715]: 06-07 23:09:16| 31   4  63   1   0|1081M  718M  226M 5697M|2746k   55k|  44k 2247k|6.01  13.0 |3590  2979 |1.17 0.80 0.62|2.0   0 1.0|   0     0 |   0     0 |  9    8    1    9    3
Jul 06 23:09:17 ubuntu dstat.sh[100715]: 06-07 23:09:17|  9   5  63  22   0|1093M  699M  226M 5704M|2151k   57k|   0    15M|   0   870 |8052    12k|1.17 0.80 0.62|  0 1.0  10|   0     0 |   0     0 |  9    8    1    9    2
Jul 06 23:09:18 ubuntu dstat.sh[100715]: 06-07 23:09:18|  8   4  63  23   0|1101M  685M  226M 5709M|1997k   43k|   0    10M|   0   714 |6941    11k|1.17 0.80 0.62|1.0 1.0 4.0|   0     0 |   0     0 |  9    8    1    9    2
Jul 06 23:09:19 ubuntu dstat.sh[100715]: 06-07 23:09:19| 10   4  60  25   0|1102M  682M  227M 5710M| 118k   11k|   0    17M|   0  1236 |6459    12k|1.17 0.80 0.62|  0 2.0  24|   0     0 |   0     0 |  9    8    1    9    2
Jul 06 23:09:20 ubuntu dstat.sh[100715]: 06-07 23:09:20|  8   4  64  22   0|1103M  680M  227M 5712M| 253k   14k|   0    14M|   0  1136 |6438    12k|1.17 0.80 0.62|  0 1.0  20|   0     0 |   0     0 |  9    8    1    9    2
Jul 06 23:09:21 ubuntu dstat.sh[100715]: 06-07 23:09:21|  8   4  63  24   0|1103M  677M  227M 5714M| 164k   12k|   0    16M|   0  1095 |6075    12k|1.32 0.84 0.63|2.0 1.0 5.0|   0     0 |   0     0 |  9    8    1    9    2
Jul 06 23:09:22 ubuntu dstat.sh[100715]: 06-07 23:09:22| 17   2  63  16   0|1106M  673M  228M 5715M| 190k   17k|   0    19M|   0   788 |4719  9537 |1.32 0.84 0.63|1.0   0  16|   0     0 |   0     0 |  9    8    1    9    2
Jul 06 23:09:23 ubuntu dstat.sh[100715]: 06-07 23:09:23| 23   7  67   3   0|1060M  718M  228M 5716M| 167k 7240 |   0  8921k|   0   515 |2725  4558 |1.32 0.84 0.63|1.0   0  77|   0     0 |   0     0 |  9    6    1    9    2
Jul 06 23:09:24 ubuntu dstat.sh[100715]: 06-07 23:09:24| 27   2  70   0   0|1101M  676M  228M 5716M|  54k 4626 |   0   831k|   0  24.0 |1129  1317 |1.32 0.84 0.63|1.0   0   0|   0     0 |   0     0 |  9    6    1    9    2
Jul 06 23:09:25 ubuntu dstat.sh[100715]: 06-07 23:09:25| 25   3  71   1   0|1057M  720M  228M 5716M|  48k 4522 |   0  4091k|   0   225 |1735  2505 |1.32 0.84 0.63|1.0   0  11|   0     0 |   0     0 |  9    6    1    9    2
Jul 06 23:09:26 ubuntu dstat.sh[100715]: 06-07 23:09:26| 25   2  72   0   0|1103M  674M  228M 5717M|  63k 5181 |   0   476k|   0  19.0 |1078  1250 |1.29 0.84 0.64|1.0   0   0|   0     0 |   0     0 |  9    6    1    9    2
Jul 06 23:09:27 ubuntu dstat.sh[100715]: 06-07 23:09:27| 20  14  65   0   0|1022M  754M  228M 5717M|  82k 4211 |   0   616k|   0  13.0 |2172  3372 |1.29 0.84 0.64|2.0   0 255|   0     0 |   0     0 |  9    6    1    9    2
Jul 06 23:09:28 ubuntu dstat.sh[100715]: 06-07 23:09:28| 13  20  66   0   0|1023M  753M  228M 5717M|  33k 4278 |   0   364k|   0  15.0 |2745  4236 |1.29 0.84 0.64|1.0   0 333|   0     0 |   0     0 |  9    6    1    9    2
Jul 06 23:09:29 ubuntu dstat.sh[100715]: 06-07 23:09:29| 21  14  62   0   0|1026M  750M  228M 5717M|  58k 4808 |   0   460k|   0  11.0 |3550  7874 |1.29 0.84 0.64|1.0   0 156|   0     0 |   0     0 |  9    6    1    9    2
Jul 06 23:09:30 ubuntu dstat.sh[100715]: 06-07 23:09:30| 50  11  38   1   0|1158M  618M  228M 5718M| 135k 6398 |   0   479k|   0  8.99 |2369  3411 |1.29 0.84 0.64|2.0   0 155|   0     0 |   0     0 |  9    7    1    9    2
Jul 06 23:09:31 ubuntu dstat.sh[100715]: 06-07 23:09:31| 51   3  45   0   0|1219M  554M  228M 5720M|1247k   31k|   0  1125k|   0  9.00 |2278  2141 |1.35 0.86 0.64|2.0   0 2.0|   0     0 |   0     0 |  9    7    1    9    2
Jul 06 23:09:32 ubuntu dstat.sh[100715]: 06-07 23:09:32| 56   7  36   0   0|1246M  524M  228M 5723M| 619k   16k|   0    31M|   0   120 |3262  5510 |1.35 0.86 0.64|3.0   0 1.0|   0     0 |   0     0 |  9    7    1    9    2
Jul 06 23:09:33 ubuntu dstat.sh[100715]: 06-07 23:09:33| 30  12  56   1   0|1283M  485M  228M 5724M| 392k   13k|   0  1696k|   0  35.0 |2998  4947 |1.35 0.86 0.64|2.0   0 141|   0     0 |   0     0 |  9    6    1    9    2
Jul 06 23:09:34 ubuntu dstat.sh[100715]: 06-07 23:09:34| 27   3  70   1   0|1334M  434M  228M 5724M|  62k 5687 |   0   368k|   0  9.00 |1070  1220 |1.35 0.86 0.64|1.0   0   0|   0     0 |   0     0 |  9    6    1    9    2
Jul 06 23:09:35 ubuntu dstat.sh[100715]: 06-07 23:09:35| 24   3  69   2   0|1354M  413M  229M 5725M| 359k   73k|   0  1819k|   0   171 |2913  4909 |1.35 0.86 0.64|1.0   0 2.0|   0     0 |   0     0 |  9   12    1    9    2
Jul 06 23:09:36 ubuntu dstat.sh[100715]: 06-07 23:09:36| 34   6  58   2   0|1295M  470M  229M 5727M|  78k 5330 |   0  7300k|   0   362 |2426  3231 |1.32 0.87 0.65|1.0   0  48|   0     0 |   0     0 |  9    6    1   11    2
Jul 06 23:09:37 ubuntu dstat.sh[100715]: 06-07 23:09:37| 29   7  56   6   0|1314M  443M  229M 5733M| 966k   99k|  24k   18M|6.00   588 |3782  3512 |1.32 0.87 0.65|2.0 1.0 6.0|   0     0 |   0     0 |  9   18    1   12    2
Jul 06 23:09:38 ubuntu dstat.sh[100715]: 06-07 23:09:38|  9   2  65  22   0|1304M  453M  229M 5733M| 118k 6285 | 108k 2106k|27.0  31.0 |1393  1642 |1.32 0.87 0.65|1.0 1.0   0|   0     0 |   0     0 |  9   18    1   10    2
Jul 06 23:09:39 ubuntu dstat.sh[100715]: 06-07 23:09:39| 19   2  64  15   1|1313M  443M  229M 5734M| 470k   56k| 108k  948k|27.0  13.0 |1672  1932 |1.32 0.87 0.65|3.0   0 6.0|   0     0 |   0     0 |  9   33    1   10    2
Jul 06 23:09:40 ubuntu dstat.sh[100715]: 06-07 23:09:40| 24   5  70   0   0|1293M  462M  229M 5735M| 550k   16k|   0   824k|   0  9.00 |1753  1918 |1.32 0.87 0.65|1.0   0  46|   0     0 |   0     0 |  9   32    1   11    2
Jul 06 23:09:41 ubuntu dstat.sh[100715]: 06-07 23:09:41| 24   7  69   1   0|1257M  498M  229M 5735M| 174k   65k|   0   549k|   0  13.0 |1691  2266 |1.21 0.85 0.64|2.0   0  67|   0     0 |   0     0 |  9   32    1   11    2
Jul 06 23:09:42 ubuntu dstat.sh[100715]: 06-07 23:09:42| 45   9  44   1   0|1345M  409M  229M 5735M| 128k 6616 |   0   428k|   0  11.0 |1775  2030 |1.21 0.85 0.64|4.0   0  93|   0     0 |   0     0 |  9   32    1   11    2
Jul 06 23:09:43 ubuntu dstat.sh[100715]: 06-07 23:09:43| 54   6  38   1   0|1389M  365M  229M 5736M| 587k  485k|   0  6085k|   0  97.0 |3608  6752 |1.21 0.85 0.64|2.0   0 2.0|   0     0 |   0     0 |  9   38    1   12    2
Jul 06 23:09:44 ubuntu dstat.sh[100715]: 06-07 23:09:44| 59  18  22   0   0|1378M  375M  229M 5736M| 440k  223k|   0   937k|   0  50.0 |4006  7578 |1.21 0.85 0.64|5.0   0 442|   0     0 |   0     0 |  9   36    1   12    2
Jul 06 23:09:45 ubuntu dstat.sh[100715]: 06-07 23:09:45| 86  13   0   0   0|1528M  225M  230M 5736M| 135k  106k|   0   544k|   0  18.0 |2465  3292 |1.21 0.85 0.64|7.0   0 129|   0     0 |   0     0 |  9   37    1   12    2
Jul 06 23:09:46 ubuntu dstat.sh[100715]: 06-07 23:09:46| 87  12   1   1   1|1564M  189M  230M 5737M| 739k  656k|   0  1365k|   0  99.1 |5172  9288 |1.68 0.95 0.68|6.0   0  41|   0     0 |   0     0 |  9   39    1   12    2
Jul 06 23:09:47 ubuntu dstat.sh[100715]: 06-07 23:09:47| 67  13  19   1   0|1358M  394M  230M 5737M| 449k  424k|   0   975k|   0  53.9 |4329  8506 |1.68 0.95 0.68|2.0   0 235|   0     0 |   0     0 |  9   37    1   12    2
Jul 06 23:09:48 ubuntu dstat.sh[100715]: 06-07 23:09:48| 42   9  47   1   0|1332M  416M  230M 5740M| 121k  112k|   0  7317k|   0  58.0 |3326  5407 |1.68 0.95 0.68|2.0   0  66|   0     0 |   0     0 |  9   36    1   12    2
Jul 06 23:09:49 ubuntu dstat.sh[100715]: 06-07 23:09:49| 46   6  48   0   0|1347M  396M  230M 5744M| 158k  145k|   0  1316k|   0  37.0 |2061  2865 |1.68 0.95 0.68|1.0 1.0 2.0|   0     0 |   0     0 |  9   37    1   12    2
