-- Logs begin at Sun 2023-07-23 19:34:07 UTC, end at Mon 2023-07-24 07:26:44 UTC. --
Jul 24 06:52:01 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 24 06:52:01 ubuntu dstat.sh[94536]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 24 06:52:01 ubuntu dstat.sh[94536]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 24 06:52:01 ubuntu dstat.sh[94536]: 24-07 06:52:01|                   | 968M  989M  216M 5427M|           |           |           |           |2.23 0.97 0.66|5.0   0    |           |   0     0 |  8    7    1    8    0
Jul 24 06:52:02 ubuntu dstat.sh[94536]: 24-07 06:52:02| 32  20  48   0   0| 975M  982M  216M 5428M| 291k 9482 |   0    11M|   0  75.9 |2888  4137 |2.23 0.97 0.66|3.5   0 394|   0     0 |   0     0 |  8    8    0    8    0
Jul 24 06:52:03 ubuntu dstat.sh[94536]: 24-07 06:52:03| 27  22  50   0   0| 993M  960M  216M 5431M|1773k   34k|   0   180k|   0  43.0 |3146  4896 |2.23 0.97 0.66| 10   0 368|   0     0 |   0     0 |  8    8    0    8    1
Jul 24 06:52:04 ubuntu dstat.sh[94536]: 24-07 06:52:04| 24  19  56   1   1| 922M 1030M  216M 5432M|1212k   32k|   0  2514k|   0  18.0 |3598  6537 |2.23 0.97 0.66|3.0   0 206|   0     0 |   0     0 |  8    7    0    8    1
Jul 24 06:52:05 ubuntu dstat.sh[94536]: 24-07 06:52:05| 20  15  64   0   0|1006M  946M  216M 5554M| 139k 5823 |   0   148k|   0  4.00 |3271  6155 |2.23 0.97 0.66|1.0   0 102|   0     0 |   0     0 |  9    8    0    7    1
Jul 24 06:52:06 ubuntu dstat.sh[94536]: 24-07 06:52:06| 37  11  50   0   0|1037M  914M  216M 5555M| 169k 6090 |   0   324k|   0  11.0 |1823  1947 |2.13 0.97 0.66|3.0   0 100|   0     0 |   0     0 |  9    6    0    7    2
Jul 24 06:52:07 ubuntu dstat.sh[94536]: 24-07 06:52:07| 33  15  50   1   0|1076M  874M  216M 5555M| 225k   20k|  20k 1007k|2.00  34.0 |2428  3303 |2.13 0.97 0.66|1.0   0 163|   0     0 |   0     0 |  9    6    1    9    2
Jul 24 06:52:08 ubuntu dstat.sh[94536]: 24-07 06:52:08| 24   3  70   2   0|1124M  824M  216M 5557M| 470k   12k| 176k 1116k|12.0  12.0 |1513  1565 |2.13 0.97 0.66|1.0   0 1.0|   0     0 |   0     0 |  9    7    0    9    2
Jul 24 06:52:09 ubuntu dstat.sh[94536]: 24-07 06:52:09| 29   3  58  10   0|1133M  813M  217M 5559M| 546k   24k|  12k 4349k|1.00   340 |3511  5709 |2.13 0.97 0.66|  0 1.0  11|   0     0 |   0     0 |  9   10    0    9    2
Jul 24 06:52:10 ubuntu dstat.sh[94536]: 24-07 06:52:10|  8   4  63  23   0|1133M  804M  217M 5567M|3010k   34k|   0    16M|   0  1101 |6744    12k|2.13 0.97 0.66|1.0   0   0|   0     0 |   0     0 |  9   10    0    9    2
