-- Logs begin at Fri 2023-07-28 03:58:36 UTC, end at Fri 2023-07-28 06:47:57 UTC. --
Jul 28 06:12:12 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 28 06:12:12 ubuntu dstat.sh[104296]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 28 06:12:12 ubuntu dstat.sh[104296]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 28 06:12:12 ubuntu dstat.sh[104296]: 28-07 06:12:12|                   |1018M  940M  197M 5446M|           |           |           |           |0.90 0.69 0.57|2.0   0    |           |   0     0 |  8    6    0    8    0
Jul 28 06:12:13 ubuntu dstat.sh[104296]: 28-07 06:12:13|  9  20  70   1   0|1018M  939M  197M 5446M| 129k 7146 |   0   277k|   0  10.0 |2683  3942 |0.90 0.69 0.57|2.0   0 358|   0     0 |   0     0 |  8    6    0    8    0
Jul 28 06:12:14 ubuntu dstat.sh[104296]: 28-07 06:12:14| 25  19  55   0   0| 950M 1005M  197M 5448M| 117k 7710 |   0   451k|   0  11.5 |3080  5016 |0.99 0.72 0.58|5.0   0 350|   0     0 |   0     0 |  8    7    1    8    0
Jul 28 06:12:15 ubuntu dstat.sh[104296]: 28-07 06:12:15| 36  18  45   0   0| 953M 1003M  197M 5448M| 167k 7117 |   0   180k|   0  7.01 |3232  5183 |0.99 0.72 0.58|8.0   0 232|   0     0 |   0     0 |  8    7    0    7    0
Jul 28 06:12:16 ubuntu dstat.sh[104296]: 28-07 06:12:16| 38  16  45   0   0|1107M  847M  197M 5571M|1049k   22k|   0     0 |   0     0 |4360  6551 |0.99 0.72 0.58|2.0   0  74|   0     0 |   0     0 |  9    8    0    7    0
Jul 28 06:12:17 ubuntu dstat.sh[104296]: 28-07 06:12:17| 30   9  60   0   0|1066M  884M  197M 5574M|2110k   33k|   0  2387k|   0  8.99 |2261  1933 |0.99 0.72 0.58|2.0   0  75|   0     0 |   0     0 |  9    7    2    7    0
Jul 28 06:12:18 ubuntu dstat.sh[104296]: 28-07 06:12:18| 23   7  70   1   0|1066M  884M  197M 5574M|  69k 5865 |   0   376k|   0  15.0 |1556  1785 |0.99 0.72 0.58|2.0   0  70|   0     0 |   0     0 |  9    9    0    7    1
Jul 28 06:12:19 ubuntu dstat.sh[104296]: 28-07 06:12:19| 24  13  61   1   0|1055M  894M  197M 5574M| 212k   20k|   0   484k|   0  26.0 |2303  2924 |0.99 0.72 0.58|3.0   0 147|   0     0 |   0     0 |  9    7    0    9    1
Jul 28 06:12:20 ubuntu dstat.sh[104296]: 28-07 06:12:20| 46   5  47   1   0|1101M  846M  197M 5576M| 111k 4364 | 196k 1208k|14.0  5.00 |1519  1383 |0.99 0.72 0.58|2.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Jul 28 06:12:21 ubuntu dstat.sh[104296]: 28-07 06:12:21| 31   4  58   6   0|1128M  818M  198M 5577M| 245k   16k|  12k 2878k|1.00   213 |2763  4132 |0.99 0.72 0.58|  0 1.0 9.0|   0     0 |   0     0 |  9    9    0    9    2
Jul 28 06:12:22 ubuntu dstat.sh[104296]: 28-07 06:12:22|  9   4  62  24   0|1132M  810M  198M 5580M| 475k   17k|   0    20M|   0  1252 |5735    10k|0.99 0.72 0.58|1.0 1.0 7.0|   0     0 |   0     0 |  9    9    0    9    2
