-- Logs begin at Mon 2023-07-17 12:55:09 UTC, end at Tue 2023-07-18 12:08:38 UTC. --
Jul 18 11:33:18 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 18 11:33:19 ubuntu dstat.sh[101636]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 18 11:33:19 ubuntu dstat.sh[101636]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 18 11:33:19 ubuntu dstat.sh[101636]: 18-07 11:33:19|                   | 899M 1047M  219M 5433M|           |           |           |           |1.14 0.69 0.53|2.0   0    |           |   0     0 |  8    6    0    8    1
Jul 18 11:33:20 ubuntu dstat.sh[101636]: 18-07 11:33:20| 22  20  58   0   0| 911M 1035M  219M 5433M| 144k 5385 |   0   236k|   0  16.0 |2879  4365 |1.14 0.69 0.53|2.0   0 405|   0     0 |   0     0 |  8    6    0    8    1
Jul 18 11:33:21 ubuntu dstat.sh[101636]: 18-07 11:33:21| 35  19  40   3   0| 916M 1028M  219M 5434M| 105k 5078 |   0    13M|   0   127 |3168  4659 |1.29 0.73 0.54|2.0   0 356|   0     0 |   0     0 |  8    4    0    8    2
Jul 18 11:33:22 ubuntu dstat.sh[101636]: 18-07 11:33:22| 31  18  51   1   0| 921M 1024M  219M 5435M| 376k 9445 |   0   513k|   0  10.0 |2384  7409 |1.29 0.73 0.54|1.0   0 211|   0     0 |   0     0 |  8    5    0    8    2
Jul 18 11:33:23 ubuntu dstat.sh[101636]: 18-07 11:33:23| 20  12  65   0   0|1067M  877M  219M 5557M| 306k 8829 |   0   695k|   0  5.99 |3482  9820 |1.29 0.73 0.54|1.0   0  75|   0     0 |   0     0 |  9    5    0    8    2
Jul 18 11:33:24 ubuntu dstat.sh[101636]: 18-07 11:33:24| 27   8  65   0   0|1071M  870M  219M 5560M|1263k   27k|   0   132k|   0  10.0 |2280  2296 |1.29 0.73 0.54|2.0   0 108|   0     0 |   0     0 |  9    8    0    8    2
Jul 18 11:33:25 ubuntu dstat.sh[101636]: 18-07 11:33:25| 17  12  68   1   0|1085M  851M  219M 5564M|2607k   28k|   0  4015k|   0  23.0 |2773  3270 |1.29 0.73 0.54|2.0   0 180|   0     0 |   0     0 |  9    8    0    9    2
Jul 18 11:33:26 ubuntu dstat.sh[101636]: 18-07 11:33:26| 24   4  69   1   0|1139M  792M  219M 5569M|2507k   21k|  92k 2987k|7.00  20.0 |1872  1496 |1.27 0.73 0.55|2.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Jul 18 11:33:27 ubuntu dstat.sh[101636]: 18-07 11:33:27| 30   3  64   2   0|1094M  833M  219M 5573M|1809k   31k| 116k 3816k|8.01  71.1 |2435  2506 |1.27 0.73 0.55|2.0   0 3.0|   0     0 |   0     0 |  9    8    0    9    2
Jul 18 11:33:28 ubuntu dstat.sh[101636]: 18-07 11:33:28|  8   3  62  24   0|1101M  821M  220M 5577M| 125k   12k|   0    13M|   0   914 |6041    11k|1.27 0.73 0.55|  0   0  10|   0     0 |   0     0 |  9    8    0    9    2
Jul 18 11:33:29 ubuntu dstat.sh[101636]: 18-07 11:33:29|  9   4  65  22   0|1105M  815M  220M 5579M| 216k   12k|   0  9084k|   0   759 |5527  9793 |1.27 0.73 0.55|2.0 1.0 7.0|   0     0 |   0     0 |  9    8    0    9    2
Jul 18 11:33:30 ubuntu dstat.sh[101636]: 18-07 11:33:30| 11   6  58  23   0|1107M  810M  221M 5581M| 170k   11k|   0    16M|   0  1174 |7184    12k|1.27 0.73 0.55|2.0   0  22|   0     0 |   0     0 |  9    8    0    9    2
Jul 18 11:33:31 ubuntu dstat.sh[101636]: 18-07 11:33:31|  8   5  59  25   0|1109M  807M  221M 5582M| 159k   10k|   0    26M|   0  1228 |6703    12k|1.25 0.74 0.55|1.0 1.0  16|   0     0 |   0     0 |  9    8    0    9    2
Jul 18 11:33:32 ubuntu dstat.sh[101636]: 18-07 11:33:32| 10   4  63  22   0|1110M  804M  221M 5584M|  53k   10k|   0  9438k|   0   734 |4813  9473 |1.25 0.74 0.55|  0 1.0 4.0|   0     0 |   0     0 |  9    8    0    9    2
Jul 18 11:33:33 ubuntu dstat.sh[101636]: 18-07 11:33:33| 11   4  61  22   0|1112M  800M  222M 5585M|  80k   14k|   0    14M|   0  1139 |6256    12k|1.25 0.74 0.55|  0 1.0  17|   0     0 |   0     0 |  9    8    0    9    2
Jul 18 11:33:34 ubuntu dstat.sh[101636]: 18-07 11:33:34| 23   7  65   5   1|1060M  852M  222M 5585M|  70k 7012 |   0  8280k|   0   508 |3242  4941 |1.25 0.74 0.55|1.0   0  76|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 11:33:35 ubuntu dstat.sh[101636]: 18-07 11:33:35| 29   3  66   1   0|1107M  804M  222M 5585M|  58k 4789 |   0   499k|   0  8.99 |1151  1262 |1.25 0.74 0.55|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 11:33:36 ubuntu dstat.sh[101636]: 18-07 11:33:36| 26   4  69   2   0|1052M  859M  222M 5585M|  76k 6000 |   0    10M|   0   533 |2379  2456 |1.31 0.76 0.56|1.0   0  11|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 11:33:37 ubuntu dstat.sh[101636]: 18-07 11:33:37| 28   3  68   1   0|1109M  801M  222M 5587M| 717k 8218 |   0  1100k|   0  20.0 |1311  1341 |1.31 0.76 0.56|1.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 11:33:38 ubuntu dstat.sh[101636]: 18-07 11:33:38| 21   9  69   1   0|1029M  879M  222M 5588M|1025k 9054 |   0  1081k|   0  7.01 |1997  2666 |1.31 0.76 0.56|2.0   0 169|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 11:33:39 ubuntu dstat.sh[101636]: 18-07 11:33:39| 17  20  60   0   0|1032M  874M  222M 5590M| 508k 6374 |   0   999k|   0  16.0 |2763  4346 |1.31 0.76 0.56|1.0   0 356|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 11:33:40 ubuntu dstat.sh[101636]: 18-07 11:33:40| 21  18  59   0   0|1032M  874M  222M 5590M|  94k 5661 |   0   480k|   0  13.0 |3391  8227 |1.31 0.76 0.56|1.0   0 219|   0     0 |   0     0 |  9    6    0    9    2
Jul 18 11:33:41 ubuntu dstat.sh[101636]: 18-07 11:33:41| 40  13  44   2   0|1126M  779M  222M 5591M|  89k 5769 | 324k  544k|4.00  12.0 |2232  3619 |1.28 0.76 0.56|3.0   0 144|   0     0 |   0     0 |  9    7    0    9    2
Jul 18 11:33:42 ubuntu dstat.sh[101636]: 18-07 11:33:42| 49   7  43   0   0|1220M  683M  222M 5593M| 341k 6103 | 373k   34M|8.02   124 |1702  1552 |1.28 0.76 0.56|4.0   0 3.0|   0     0 |   0     0 |  9    7    0    9    2
Jul 18 11:33:43 ubuntu dstat.sh[101636]: 18-07 11:33:43| 56   7  37   0   0|1240M  659M  222M 5596M| 781k 7039 |   0   927k|   0  11.0 |3010  4881 |1.28 0.76 0.56|5.0   0 5.0|   0     0 |   0     0 |  9    7    0    9    2
Jul 18 11:33:44 ubuntu dstat.sh[101636]: 18-07 11:33:44| 36  12  51   1   0|1285M  607M  223M 5602M| 114k 4335 |   0  2542k|   0  39.0 |2730  5457 |1.28 0.76 0.56|1.0   0 149|   0     0 |   0     0 |  9    6    0   10    2
Jul 18 11:33:45 ubuntu dstat.sh[101636]: 18-07 11:33:45| 27   2  70   0   0|1336M  555M  223M 5602M| 431k 7245 |   0   683k|   0  8.99 |1183  1361 |1.28 0.76 0.56|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 18 11:33:46 ubuntu dstat.sh[101636]: 18-07 11:33:46| 28   3  67   2   0|1355M  535M  223M 5604M| 683k   71k|   0  2143k|   0   181 |3131  4851 |1.26 0.77 0.56|1.0   0 2.0|   0     0 |   0     0 |  9   12    0   10    2
Jul 18 11:33:47 ubuntu dstat.sh[101636]: 18-07 11:33:47| 25   4  70   1   0|1298M  591M  223M 5604M|  76k 5980 |   0    12M|   0   391 |2348  3200 |1.26 0.77 0.56|1.0   0  44|   0     0 |   0     0 |  9    6    0   12    2
Jul 18 11:33:48 ubuntu dstat.sh[101636]: 18-07 11:33:48| 25   5  67   2   0|1311M  577M  223M 5605M| 559k   68k|  88k 1931k|12.0  32.0 |1962  2654 |1.26 0.77 0.56|3.0   0 5.0|   0     0 |   0     0 |  9   15    0   12    2
Jul 18 11:33:49 ubuntu dstat.sh[101636]: 18-07 11:33:49| 23   2  68   6   0|1322M  566M  223M 5605M|  86k   67k| 216k 1198k|53.9  20.0 |1728  2397 |1.26 0.77 0.56|2.0   0 3.0|   0     0 |   0     0 |  9   32    0   12    2
Jul 18 11:33:50 ubuntu dstat.sh[101636]: 18-07 11:33:50| 29   5  64   1   0|1311M  576M  223M 5606M| 186k 5913 |   0   396k|   0  6.00 |1422  1665 |1.26 0.77 0.56|2.0   0  46|   0     0 |   0     0 |  9   32    0   12    2
