-- Logs begin at Fri 2023-07-14 21:51:32 UTC, end at Mon 2023-07-17 11:53:30 UTC. --
Jul 17 11:17:25 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 17 11:17:26 ubuntu dstat.sh[96853]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 17 11:17:26 ubuntu dstat.sh[96853]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 17 11:17:26 ubuntu dstat.sh[96853]: 17-07 11:17:26|                   | 910M 1049M  220M 5420M|           |           |           |           |1.02 0.70 0.49|5.0   0    |           |   0     0 |  8    2    1    8    0
Jul 17 11:17:27 ubuntu dstat.sh[96853]: 17-07 11:17:27| 85  15   0   0   0| 962M  991M  220M 5426M|  16k 1664 |  56k   14M|4.00   288 |2092  2242 |1.02 0.70 0.49|5.0   0 128|   0     0 |   0     0 |  8    2    1    8    0
Jul 17 11:17:28 ubuntu dstat.sh[96853]: 17-07 11:17:28| 55  20  24   0   0|1033M  912M  220M 5432M|  24k 2714 |   0  4093B|2.00   145 |2268  3388 |1.02 0.70 0.49|3.0   0 286|   0     0 |   0     0 |  8    6    1    8    0
Jul 17 11:17:29 ubuntu dstat.sh[96853]: 17-07 11:17:29| 17  19  63   0   0|1016M  928M  220M 5433M|  43k 6253 |   0   671k|   0  11.0 |3060  6077 |1.02 0.70 0.49|1.0   0 264|   0     0 |   0     0 |  8    6    2    8    0
Jul 17 11:17:30 ubuntu dstat.sh[96853]: 17-07 11:17:30| 24  17  59   0   0| 981M  963M  220M 5433M| 121k 7239 |  80k  300k|3.00  10.0 |2686  5589 |1.02 0.70 0.49|1.0   0 212|   0     0 |   0     0 |  8    7    2    7    0
Jul 17 11:17:31 ubuntu dstat.sh[96853]: 17-07 11:17:31| 20  14  65   0   0|1090M  852M  220M 5556M| 140k 8982 |   0   260k|   0  3.00 |3700  5690 |1.02 0.70 0.49|2.0   0 119|   0     0 |   0     0 |  9   10    1    7    0
Jul 17 11:17:32 ubuntu dstat.sh[96853]: 17-07 11:17:32| 32   9  58   0   0|1076M  866M  220M 5556M| 199k 6591 |   0   200k|   0  13.0 |1830  2047 |1.02 0.70 0.49|2.0   0  99|   0     0 |   0     0 |  9   10    1    7    0
Jul 17 11:17:33 ubuntu dstat.sh[96853]: 17-07 11:17:33| 19   9  70   1   0|1109M  831M  220M 5558M|1637k   37k|   0   572k|   0  26.0 |2645  2939 |1.02 0.70 0.49|1.0   0 136|   0     0 |   0     0 |  9   10    1    9    0
Jul 17 11:17:34 ubuntu dstat.sh[96853]: 17-07 11:17:34| 47   7  45   2   0|1131M  806M  220M 5561M|1489k   28k| 196k 3380k|14.0  18.0 |2263  1704 |1.18 0.74 0.50|2.0   0 2.0|   0     0 |   0     0 |  9    7    1    9    1
Jul 17 11:17:35 ubuntu dstat.sh[96853]: 17-07 11:17:35| 39   5  49   6   0|1162M  773M  220M 5562M| 111k   14k|  12k 3178k|1.00   243 |3021  4405 |1.18 0.74 0.50|  0 1.0 8.0|   0     0 |   0     0 |  9   10    2    9    1
Jul 17 11:17:36 ubuntu dstat.sh[96853]: 17-07 11:17:36| 17   4  53  24   0|1181M  751M  221M 5565M| 177k   12k|   0    15M|   0  1169 |6551    12k|1.18 0.74 0.50|1.0 1.0 9.0|   0     0 |   0     0 |  9   10    1    9    1
Jul 17 11:17:37 ubuntu dstat.sh[96853]: 17-07 11:17:37| 38   4  42  18   0|1210M  719M  221M 5567M| 195k   13k|   0    10M|   0   854 |5815    10k|1.18 0.74 0.50|1.0 1.0  21|   0     0 |   0     0 |  9    9    2    9    2
Jul 17 11:17:38 ubuntu dstat.sh[96853]: 17-07 11:17:38| 15   4  55  24   0|1208M  719M  222M 5569M| 438k   19k|   0    17M|   0  1219 |7348    12k|1.18 0.74 0.50|1.0 2.0  21|   0     0 |   0     0 |  9   11    1    9    2
Jul 17 11:17:39 ubuntu dstat.sh[96853]: 17-07 11:17:39| 19   3  56  22   0|1215M  710M  222M 5571M| 231k   14k|   0    16M|   0  1153 |6600    12k|1.24 0.76 0.51|1.0 1.0  10|   0     0 |   0     0 |  9   11    1    9    2
Jul 17 11:17:40 ubuntu dstat.sh[96853]: 17-07 11:17:40| 13   3  57  21   0|1159M  756M  222M 5580M|3854k   63k|   0    11M|   0   804 |7074    11k|1.24 0.76 0.51|1.0   0  15|   0     0 |   0     0 |  9   10    1    9    4
Jul 17 11:17:41 ubuntu dstat.sh[96853]: 17-07 11:17:41| 21   7  61   9   0|1086M  826M  222M 5583M|1876k   24k|   0    15M|   0   787 |4578  7519 |1.24 0.76 0.51|1.0   0  80|   0     0 |   0     0 |  9    8    1    9    2
Jul 17 11:17:42 ubuntu dstat.sh[96853]: 17-07 11:17:42| 26   3  69   1   0|1149M  759M  223M 5587M|1873k   22k|   0  2341k|   0  9.99 |1809  1347 |1.24 0.76 0.51|1.0   0 1.0|   0     0 |   0     0 |  9    8    1    9    2
Jul 17 11:17:43 ubuntu dstat.sh[96853]: 17-07 11:17:43| 34   3  60   1   0|1031M  873M  223M 5590M|1671k   24k|   0  6327k|   0   224 |2543  2586 |1.24 0.76 0.51|2.0   0  12|   0     0 |   0     0 |  9    6    1    9    2
Jul 17 11:17:44 ubuntu dstat.sh[96853]: 17-07 11:17:44| 25   3  71   0   0|1095M  809M  223M 5590M| 229k 6979 |   0   720k|   0  22.0 |1200  1311 |1.22 0.76 0.52|3.0   0 2.0|   0     0 |   0     0 |  9    6    1    9    2
Jul 17 11:17:45 ubuntu dstat.sh[96853]: 17-07 11:17:45| 24   5  70   1   0|1022M  882M  223M 5590M| 178k 7136 |   0   456k|   0  9.01 |1474  1860 |1.22 0.76 0.52|1.0   0  86|   0     0 |   0     0 |  9    6    1    9    2
