-- Logs begin at Tue 2023-07-25 15:22:16 UTC, end at Tue 2023-07-25 20:17:59 UTC. --
Jul 25 20:05:12 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 25 20:05:12 ubuntu dstat.sh[95092]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 25 20:05:12 ubuntu dstat.sh[95092]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 25 20:05:12 ubuntu dstat.sh[95092]: 25-07 20:05:12|                   | 922M 1328M  197M 5161M|           |           |           |           |1.44 0.79 0.58|3.0   0    |           |   0     0 |  8    5    0    8    2
Jul 25 20:05:13 ubuntu dstat.sh[95092]: 25-07 20:05:13| 21  18  60   0   0| 924M 1324M  197M 5161M| 541k   15k|   0   688k|   0  21.1 |2831  4388 |1.44 0.79 0.58|2.5   0 388|   0     0 |   0     0 |  8    6    0    8    2
Jul 25 20:05:14 ubuntu dstat.sh[95092]: 25-07 20:05:14| 17  18  64   0   0| 914M 1328M  197M 5168M|3292k   33k|   0    24k|   0  13.6 |3594  5005 |1.44 0.79 0.58|3.0   0 320|   0     0 |   0     0 |  8    6    0    8    2
Jul 25 20:05:15 ubuntu dstat.sh[95092]: 25-07 20:05:15| 19  17  64   0   0| 912M 1326M  197M 5171M|1713k   24k|   0  4158k|   0  18.1 |4429  6617 |1.44 0.79 0.58|2.0   0 206|   0     0 |   0     0 |  8    6    0    7    2
Jul 25 20:05:16 ubuntu dstat.sh[95092]: 25-07 20:05:16| 15  10  72   1   0|1058M 1176M  197M 5297M|2222k   32k|   0  2322k|   0  9.99 |4006  5131 |1.41 0.80 0.58|3.0   0  75|   0     0 |   0     0 |  9    6    0    7    2
Jul 25 20:05:17 ubuntu dstat.sh[95092]: 25-07 20:05:17| 34   8  56   1   0|1055M 1177M  197M 5299M| 584k   15k|   0  2879k|   0  19.0 |2056  2310 |1.41 0.80 0.58|3.0   0  96|   0     0 |   0     0 |  9    6    0    7    2
Jul 25 20:05:18 ubuntu dstat.sh[95092]: 25-07 20:05:18| 38  13  49   1   0|1063M 1169M  197M 5299M| 169k   19k|   0   703k|   0  29.0 |2341  3121 |1.41 0.80 0.58|2.0   0 202|   0     0 |   0     0 |  9    6    1    9    2
Jul 25 20:05:19 ubuntu dstat.sh[95092]: 25-07 20:05:19| 24   4  70   1   0|1098M 1133M  197M 5300M| 186k 8321 |  52k 1453k|5.00  24.0 |1292  1499 |1.41 0.80 0.58|2.0   0 2.0|   0     0 |   0     0 |  9    7    0    9    2
Jul 25 20:05:20 ubuntu dstat.sh[95092]: 25-07 20:05:20| 27   3  69   1   0|1124M 1105M  197M 5302M| 172k 8489 | 156k 1364k|10.0  22.0 |1372  1520 |1.41 0.80 0.58|1.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Jul 25 20:05:21 ubuntu dstat.sh[95092]: 25-07 20:05:21| 11   4  63  21   0|1142M 1084M  197M 5304M|  70k   17k|   0    21M|   0   894 |5561  9106 |1.37 0.80 0.59|1.0 1.0  10|   0     0 |   0     0 |  9   10    0    9    2
