-- Logs begin at Sat 2023-07-22 14:55:27 UTC, end at Sun 2023-07-23 18:43:17 UTC. --
Jul 23 18:06:59 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 23 18:06:59 ubuntu dstat.sh[95488]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 23 18:06:59 ubuntu dstat.sh[95488]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 23 18:06:59 ubuntu dstat.sh[95488]: 23-07 18:06:59|                   | 970M  972M  222M 5434M|           |           |           |           |1.47 0.88 0.60|5.0   0    |           |   0     0 |  8    6    0    8    2
Jul 23 18:07:00 ubuntu dstat.sh[95488]: 23-07 18:07:00| 13  19  66   0   0| 954M  989M  222M 5434M|  57k 7357 |   0   499k|   0  20.0 |2553  3950 |1.47 0.88 0.60|3.0   0 359|   0     0 |   0     0 |  8    6    0    8    2
Jul 23 18:07:01 ubuntu dstat.sh[95488]: 23-07 18:07:01| 20  21  58   0   0| 898M 1044M  222M 5434M| 219k 7152 |   0   282k|   0  16.9 |2876  4444 |1.47 0.88 0.60| 13   0 350|   0     0 |   0     0 |  8    5    0    8    1
Jul 23 18:07:02 ubuntu dstat.sh[95488]: 23-07 18:07:02| 51  21  26   0   0| 907M 1035M  222M 5434M|  39k 3330 |   0    16k|   0  4.03 |3605  6355 |2.56 1.11 0.67|3.0   0 284|   0     0 |   0     0 |  8    4    0    8    2
Jul 23 18:07:03 ubuntu dstat.sh[95488]: 23-07 18:07:03| 43  23  33   0   0|1044M  897M  222M 5557M| 191k 7373 |   0   428k|   0  6.00 |4554  8905 |2.56 1.11 0.67|1.0   0 143|   0     0 |   0     0 |  9    6    1    8    2
Jul 23 18:07:04 ubuntu dstat.sh[95488]: 23-07 18:07:04| 23   6  70   0   0|1045M  895M  222M 5558M| 345k   11k|   0   892k|   0  21.0 |1721  1833 |2.56 1.11 0.67|1.0   0  76|   0     0 |   0     0 |  9    7    0    8    2
Jul 23 18:07:05 ubuntu dstat.sh[95488]: 23-07 18:07:05| 31   9  60   0   0|1081M  859M  222M 5558M| 248k   19k|   0   908k|   0  34.0 |2180  2966 |2.56 1.11 0.67|1.0   0 150|   0     0 |   0     0 |  9    8    0    9    2
Jul 23 18:07:06 ubuntu dstat.sh[95488]: 23-07 18:07:06| 22   4  70   5   0|1117M  816M  222M 5564M|2767k   32k| 196k  628k|14.0  8.00 |2057  1527 |2.56 1.11 0.67|1.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Jul 23 18:07:07 ubuntu dstat.sh[95488]: 23-07 18:07:07| 26   4  68   4   0|1127M  801M  223M 5568M|1975k   19k|  12k 5764k|1.00  91.1 |2181  2515 |2.51 1.13 0.68|  0 2.0 2.0|   0     0 |   0     0 |  9   10    0    9    2
Jul 23 18:07:08 ubuntu dstat.sh[95488]: 23-07 18:07:08| 10   6  60  25   0|1140M  781M  223M 5576M|2856k   33k|   0    16M|   0   992 |6719    11k|2.51 1.13 0.68|1.0   0  11|   0     0 |   0     0 |  9   10    0    9    2
Jul 23 18:07:09 ubuntu dstat.sh[95488]: 23-07 18:07:09| 29   6  45  20   0|1137M  780M  223M 5579M| 593k   18k|   0    17M|   0  1064 |5797  9429 |2.51 1.13 0.68|1.0 1.0  13|   0     0 |   0     0 |  9    8    0    9    2
Jul 23 18:07:10 ubuntu dstat.sh[95488]: 23-07 18:07:10| 30   7  40  21   0|1146M  769M  224M 5580M| 124k   11k|   0    14M|   0  1091 |6715    12k|2.51 1.13 0.68|  0 2.0  26|   0     0 |   0     0 |  9    8    1    9    2
Jul 23 18:07:11 ubuntu dstat.sh[95488]: 23-07 18:07:11| 12   4  59  24   1|1147M  766M  224M 5582M| 217k   13k|   0    16M|   0  1181 |6466    12k|2.51 1.13 0.68|4.0   0  14|   0     0 |   0     0 |  9    9    0    9    2
Jul 23 18:07:12 ubuntu dstat.sh[95488]: 23-07 18:07:12| 12   4  60  23   0|1148M  762M  225M 5585M| 176k   13k|   0    13M|   0   949 |5360    10k|2.63 1.17 0.70|2.0   0 4.0|   0     0 |   0     0 |  9   10    0    9    2
Jul 23 18:07:13 ubuntu dstat.sh[95488]: 23-07 18:07:13| 19   4  58  19   0|1150M  759M  225M 5586M| 157k   15k|   0    16M|   0  1228 |6849    12k|2.63 1.17 0.70|1.0   0  16|   0     0 |   0     0 |  9   10    0    9    2
Jul 23 18:07:14 ubuntu dstat.sh[95488]: 23-07 18:07:14| 24   7  69   1   0|1108M  800M  225M 5586M| 207k 9251 |   0    12M|   0   203 |1869  1942 |2.63 1.17 0.70|2.0   0  76|   0     0 |   0     0 |  9    8    0    9    2
Jul 23 18:07:15 ubuntu dstat.sh[95488]: 23-07 18:07:15| 27   2  71   0   0|1147M  758M  225M 5589M|1806k   26k|   0   452k|   0  9.00 |1676  1291 |2.63 1.17 0.70|3.0   0   0|   0     0 |   0     0 |  9    8    0    9    2
Jul 23 18:07:16 ubuntu dstat.sh[95488]: 23-07 18:07:16| 34   5  60   1   0|1049M  854M  225M 5590M| 324k   10k|   0  6249k|   0   225 |2098  2412 |2.63 1.17 0.70|3.0   0  11|   0     0 |   0     0 |  9    6    0    9    2
Jul 23 18:07:17 ubuntu dstat.sh[95488]: 23-07 18:07:17| 28   3  69   1   0|1094M  809M  225M 5590M|  67k 5846 |   0   496k|   0  19.0 |1171  1296 |2.58 1.19 0.71|2.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Jul 23 18:07:18 ubuntu dstat.sh[95488]: 23-07 18:07:18| 19  11  70   1   0|1012M  891M  225M 5590M|  43k 4777 |   0   332k|   0  9.01 |1978  3001 |2.58 1.19 0.71|2.0   0 209|   0     0 |   0     0 |  9    6    0    9    2
Jul 23 18:07:19 ubuntu dstat.sh[95488]: 23-07 18:07:19| 17  19  63   1   0|1014M  888M  225M 5592M| 756k   11k|   0  1269k|   0  23.0 |2960  4244 |2.58 1.19 0.71|4.0   0 356|   0     0 |   0     0 |  9    6    0    9    2
Jul 23 18:07:20 ubuntu dstat.sh[95488]: 23-07 18:07:20| 24  19  57   0   0|1018M  882M  225M 5594M|1034k   12k|   0  1256k|   0  10.0 |3804  7991 |2.58 1.19 0.71|2.0   0 181|   0     0 |   0     0 |  9    6    0    9    2
Jul 23 18:07:21 ubuntu dstat.sh[95488]: 23-07 18:07:21| 45  14  42   0   0|1130M  769M  225M 5595M| 527k   11k| 322k  847k|3.98  8.95 |2831  4420 |2.58 1.19 0.71|3.0   0 150|   0     0 |   0     0 |  9    7    0    9    2
Jul 23 18:07:22 ubuntu dstat.sh[95488]: 23-07 18:07:22| 48   5  45   3   0|1200M  697M  225M 5596M|  77k 6488 | 374k  687k|8.04  33.2 |1725  1726 |2.62 1.22 0.72|2.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
Jul 23 18:07:23 ubuntu dstat.sh[95488]: 23-07 18:07:23| 50   4  45   0   0|1224M  672M  225M 5597M|  56k 4841 |   0   936k|   0  45.0 |1736  1835 |2.62 1.22 0.72|2.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
Jul 23 18:07:24 ubuntu dstat.sh[95488]: 23-07 18:07:24| 40  14  46   0   0|1264M  628M  226M 5600M| 330k 6874 |   0    35M|   0   158 |4318  8419 |2.62 1.22 0.72|2.0   0 150|   0     0 |   0     0 |  9    6    0    9    2
Jul 23 18:07:25 ubuntu dstat.sh[95488]: 23-07 18:07:25| 29   5  66   1   0|1321M  564M  226M 5606M| 880k 7300 |   0  1275k|   0  6.04 |1371  1283 |2.62 1.22 0.72|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Jul 23 18:07:26 ubuntu dstat.sh[95488]: 23-07 18:07:26| 34   4  61   1   0|1340M  545M  226M 5606M|  77k   32k|   0  1073k|   0  34.0 |1624  2112 |2.62 1.22 0.72|1.0   0 3.0|   0     0 |   0     0 |  9   12    0    9    2
Jul 23 18:07:27 ubuntu dstat.sh[95488]: 23-07 18:07:27| 27   6  65   4   0|1267M  616M  226M 5607M| 515k   45k|   0  8589k|   0   497 |3790  5900 |2.49 1.21 0.72|1.0   0  45|   0     0 |   0     0 |  9    6    0   11    2
Jul 23 18:07:28 ubuntu dstat.sh[95488]: 23-07 18:07:28| 22   5  71   2   0|1285M  597M  226M 5609M| 542k 6716 |  88k 1481k|12.0  23.0 |1501  1772 |2.49 1.21 0.72|1.0   0 4.0|   0     0 |   0     0 |  9    6    0   11    2
