-- Logs begin at Tue 2023-07-25 20:19:50 UTC, end at Wed 2023-07-26 15:54:32 UTC. --
Jul 26 15:41:49 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 26 15:41:49 ubuntu dstat.sh[102098]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 26 15:41:49 ubuntu dstat.sh[102098]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 26 15:41:49 ubuntu dstat.sh[102098]: 26-07 15:41:49|                   | 921M 1020M  217M 5440M|           |           |           |           |1.44 0.79 0.56|1.0   0    |           |   0     0 |  8    5    0    8    2
Jul 26 15:41:50 ubuntu dstat.sh[102098]: 26-07 15:41:50| 12  19  68   0   0| 922M 1018M  217M 5441M| 468k   14k|   0   674k|   0  21.9 |2782  3945 |1.44 0.79 0.56|1.0   0 343|   0     0 |   0     0 |  8    5    0    8    2
Jul 26 15:41:51 ubuntu dstat.sh[102098]: 26-07 15:41:51| 28  20  52   1   0| 911M 1028M  217M 5442M| 542k   17k|   0   528k|   0  17.5 |3218  4858 |1.44 0.79 0.56|2.0   0 316|   0     0 |   0     0 |  8    6    0    8    2
Jul 26 15:41:52 ubuntu dstat.sh[102098]: 26-07 15:41:52| 19  17  62   0   0| 910M 1022M  217M 5448M|3043k   29k|   0    16k|   0  4.00 |4091  5646 |1.32 0.78 0.56|3.0   0 206|   0     0 |   0     0 |  8    6    0    8    2
Jul 26 15:41:53 ubuntu dstat.sh[102098]: 26-07 15:41:53| 15  11  72   0   0|1055M  875M  217M 5573M|1331k   11k|   0  3960k|   0  16.0 |3648  5751 |1.32 0.78 0.56|  0   0  78|   0     0 |   0     0 |  9    6    0    8    2
Jul 26 15:41:54 ubuntu dstat.sh[102098]: 26-07 15:41:54| 22   8  69   1   0|1063M  861M  217M 5578M|3162k   32k|   0  4490k|   0  20.0 |2752  2364 |1.32 0.78 0.56|2.0   0 104|   0     0 |   0     0 |  9    6    0    8    4
Jul 26 15:41:55 ubuntu dstat.sh[102098]: 26-07 15:41:55| 44  12  42   2   0|1077M  846M  217M 5579M| 213k   18k|   0   816k|   0  27.0 |2331  3268 |1.32 0.78 0.56|2.0   0 186|   0     0 |   0     0 |  9    6    0    9    2
Jul 26 15:41:56 ubuntu dstat.sh[102098]: 26-07 15:41:56| 38   7  53   2   0|1134M  787M  218M 5580M| 224k 6430 | 196k 1466k|14.0  21.0 |1588  1504 |1.32 0.78 0.56|2.0   0 6.0|   0     0 |   0     0 |  9    6    1    9    2
Jul 26 15:41:57 ubuntu dstat.sh[102098]: 26-07 15:41:57| 26   3  67   3   0|1131M  789M  218M 5581M| 100k   14k|  12k 2336k|1.00   130 |2230  3242 |1.30 0.78 0.56|3.0   0 1.0|   0     0 |   0     0 |  9    9    0    9    2
Jul 26 15:41:58 ubuntu dstat.sh[102098]: 26-07 15:41:58| 10   5  64  20   0|1140M  776M  218M 5585M| 172k   12k|   0    12M|   0   883 |5864    10k|1.30 0.78 0.56|1.0 1.0  10|   0     0 |   0     0 |  9   10    0    9    2
