-- Logs begin at Thu 2023-07-27 18:18:06 UTC, end at Fri 2023-07-28 00:57:40 UTC. --
Jul 28 00:21:02 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 28 00:21:02 ubuntu dstat.sh[110792]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 28 00:21:02 ubuntu dstat.sh[110792]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 28 00:21:02 ubuntu dstat.sh[110792]: 28-07 00:21:02|                   | 945M 1007M  200M 5447M|           |           |           |           |0.78 0.54 0.49|1.0   0    |           |   0     0 |  8    8    0    8    0
Jul 28 00:21:03 ubuntu dstat.sh[110792]: 28-07 00:21:03| 34  22  43   0   0| 958M  995M  200M 5448M| 181k 5007 |   0    15M|   0   224 |2872  4431 |0.78 0.54 0.49|1.5   0 431|   0     0 |   0     0 |  8    8    0    8    0
Jul 28 00:21:04 ubuntu dstat.sh[110792]: 28-07 00:21:04| 36  21  42   0   0| 972M  978M  200M 5449M|1402k   27k|   0    28k|   0   116 |3078  5053 |0.88 0.56 0.50|3.0   0 362|   0     0 |   0     0 |  8    7    0    8    0
Jul 28 00:21:05 ubuntu dstat.sh[110792]: 28-07 00:21:05| 29  18  51   1   0| 917M 1030M  200M 5453M|1741k   44k|   0  2547k|   0  16.0 |4477  5217 |0.88 0.56 0.50|1.0   0 212|   0     0 |   0     0 |  8    6    0    8    1
Jul 28 00:21:06 ubuntu dstat.sh[110792]: 28-07 00:21:06| 16  12  70   1   0|1084M  862M  200M 5575M|  68k 6217 |   0   300k|   0  6.00 |3259  7586 |0.88 0.56 0.50|1.0   0  99|   0     0 |   0     0 |  9    7    0    8    1
Jul 28 00:21:07 ubuntu dstat.sh[110792]: 28-07 00:21:07| 27  11  62   0   0|1032M  914M  200M 5575M| 183k 7505 |   0    24k|   0  6.01 |2158  7622 |0.88 0.56 0.50|3.0   0 107|   0     0 |   0     0 |  9    7    0    8    1
Jul 28 00:21:08 ubuntu dstat.sh[110792]: 28-07 00:21:08| 39  13  46   1   0|1059M  886M  200M 5575M| 119k   17k|   0   839k|   0  29.0 |2260  3105 |0.88 0.56 0.50|3.0   0 186|   0     0 |   0     0 |  9    6    0   10    2
Jul 28 00:21:09 ubuntu dstat.sh[110792]: 28-07 00:21:09| 35   6  58   2   0|1114M  830M  200M 5577M| 446k   15k| 152k 1672k|8.00  21.0 |1602  1464 |0.97 0.59 0.50|2.0   0 6.0|   0     0 |   0     0 |  9    7    0    9    2
Jul 28 00:21:10 ubuntu dstat.sh[110792]: 28-07 00:21:10| 30   4  64   2   0|1126M  817M  200M 5577M| 249k   14k|  56k 1523k|7.01  56.1 |1729  2103 |0.97 0.59 0.50|4.0   0 1.0|   0     0 |   0     0 |  9    9    0    9    2
Jul 28 00:21:11 ubuntu dstat.sh[110792]: 28-07 00:21:11| 12   3  62  21   0|1133M  802M  200M 5584M|2028k   35k|   0    13M|   0   891 |6891    10k|0.97 0.59 0.50|  0 1.0  12|   0     0 |   0     0 |  9   10    0    9    2
Jul 28 00:21:12 ubuntu dstat.sh[110792]: 28-07 00:21:12| 10   5  65  19   1|1140M  790M  201M 5589M|1847k   16k|   0    13M|   0   797 |6619    11k|0.97 0.59 0.50|4.0   0  11|   0     0 |   0     0 |  9   10    0    9    2
Jul 28 00:21:13 ubuntu dstat.sh[110792]: 28-07 00:21:13| 10   3  60  24   0|1145M  780M  201M 5594M|2099k   16k|   0    18M|   0  1173 |6799    12k|0.97 0.59 0.50|1.0 2.0  19|   0     0 |   0     0 |  9   10    0    9    2
Jul 28 00:21:14 ubuntu dstat.sh[110792]: 28-07 00:21:14| 11   4  61  22   0|1145M  773M  202M 5599M|1988k   46k|   0    17M|   0  1205 |7420    12k|1.05 0.61 0.51|  0 2.0  17|   0     0 |   0     0 |  9   10    0    9    2
Jul 28 00:21:15 ubuntu dstat.sh[110792]: 28-07 00:21:15| 29   6  42  21   0|1140M  776M  202M 5601M| 375k   14k|   0    12M|   0   811 |5566    10k|1.05 0.61 0.51|1.0 1.0 7.0|   0     0 |   0     0 |  9    8    0    9    2
Jul 28 00:21:16 ubuntu dstat.sh[110792]: 28-07 00:21:16| 35   4  41  19   0|1148M  766M  203M 5603M| 227k   17k|   0    19M|   0  1364 |7268    12k|1.05 0.61 0.51|2.0   0  20|   0     0 |   0     0 |  9    8    1    9    2
Jul 28 00:21:17 ubuntu dstat.sh[110792]: 28-07 00:21:17| 25   6  69   1   0|1098M  815M  203M 5604M| 170k 7488 |   0   817k|   0  26.0 |1590  2064 |1.05 0.61 0.51|1.0   0  77|   0     0 |   0     0 |  9    7    0    9    2
Jul 28 00:21:18 ubuntu dstat.sh[110792]: 28-07 00:21:18| 29   3  67   2   1|1142M  770M  203M 5604M| 152k 7013 |   0    13M|   0   212 |1425  1335 |1.05 0.61 0.51|2.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Jul 28 00:21:19 ubuntu dstat.sh[110792]: 28-07 00:21:19| 27   2  68   1   0|1107M  805M  203M 5604M|  68k 7517 |   0  3949k|   0   222 |1731  2307 |1.05 0.62 0.52|1.0   0  11|   0     0 |   0     0 |  9    8    0    9    2
Jul 28 00:21:20 ubuntu dstat.sh[110792]: 28-07 00:21:20| 26   1  71   0   0|1146M  766M  203M 5604M| 202k 7609 |   0   628k|   0  22.0 |1137  1250 |1.05 0.62 0.52|3.0   0   0|   0     0 |   0     0 |  9    8    0    9    2
Jul 28 00:21:21 ubuntu dstat.sh[110792]: 28-07 00:21:21| 18  17  64   0   0|1063M  845M  203M 5608M|1814k   30k|   0   428k|   0  12.0 |3195  4282 |1.05 0.62 0.52|2.0   0 351|   0     0 |   0     0 |  9    8    0    9    2
Jul 28 00:21:22 ubuntu dstat.sh[110792]: 28-07 00:21:22| 20  20  58   0   0|1014M  893M  203M 5609M| 308k   10k|   0  2685k|   0  22.9 |2875  5695 |1.05 0.62 0.52| 11   0 340|   0     0 |   0     0 |  9    6    0    9    2
Jul 28 00:21:23 ubuntu dstat.sh[110792]: 28-07 00:21:23| 32  18  48   1   0|1064M  843M  203M 5609M|  46k 4825 | 197k  431k|3.02  11.1 |3374  5778 |1.05 0.62 0.52|5.0   0 186|   0     0 |   0     0 |  9    6    0    9    2
Jul 28 00:21:24 ubuntu dstat.sh[110792]: 28-07 00:21:24| 51   6  42   1   0|1161M  744M  203M 5611M| 720k   11k| 128k 1004k|1.00  9.00 |1817  1776 |1.12 0.64 0.52|2.0   0  20|   0     0 |   0     0 |  9    7    0    9    2
Jul 28 00:21:25 ubuntu dstat.sh[110792]: 28-07 00:21:25| 53   3  43   2   0|1209M  692M  203M 5614M|1061k   14k| 372k 1622k|8.01  10.0 |1970  1705 |1.12 0.64 0.52|3.0   0 1.0|   0     0 |   0     0 |  9    7    0    9    2
Jul 28 00:21:26 ubuntu dstat.sh[110792]: 28-07 00:21:26| 47  10  42   0   0|1240M  659M  203M 5616M| 528k 9967 |   0  1370k|   0  17.0 |3774  7269 |1.12 0.64 0.52|3.0   0 110|   0     0 |   0     0 |  9    6    0    9    2
Jul 28 00:21:27 ubuntu dstat.sh[110792]: 28-07 00:21:27| 27   6  65   1   0|1294M  604M  204M 5617M|  76k 6060 |   0  1024k|   0  41.0 |2036  2847 |1.12 0.64 0.52|1.0   0  32|   0     0 |   0     0 |  9    6    0    9    2
Jul 28 00:21:28 ubuntu dstat.sh[110792]: 28-07 00:21:28| 27   3  69   1   0|1321M  576M  204M 5617M|  55k 4778 |   0    33M|   0   132 |1243  1212 |1.12 0.64 0.52|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Jul 28 00:21:29 ubuntu dstat.sh[110792]: 28-07 00:21:29| 31   3  62   3   0|1351M  544M  204M 5619M| 392k   70k|   0  3099k|   0   198 |3162  4793 |1.11 0.65 0.53|2.0   0 5.0|   0     0 |   0     0 |  9   12    0    9    2
Jul 28 00:21:30 ubuntu dstat.sh[110792]: 28-07 00:21:30| 28   7  64   1   0|1262M  630M  204M 5621M| 879k 9803 |4096B 5808k|1.00   260 |2488  2962 |1.11 0.65 0.53|4.0 1.0  47|   0     0 |   0     0 |  9    6    0   11    2
Jul 28 00:21:31 ubuntu dstat.sh[110792]: 28-07 00:21:31| 30   7  59   4   0|1288M  599M  204M 5625M|  79k   62k| 116k 1244k|19.0  9.00 |1651  2074 |1.11 0.65 0.53|1.0   0 4.0|   0     0 |   0     0 |  9   15    0   11    2
Jul 28 00:21:32 ubuntu dstat.sh[110792]: 28-07 00:21:32| 20   3  67   9   0|1242M  644M  204M 5626M| 504k   72k| 216k 4437k|54.0   158 |2305  3136 |1.11 0.65 0.53|1.0   0  21|   0     0 |   0     0 |  9   32    0   11    2
Jul 28 00:21:33 ubuntu dstat.sh[110792]: 28-07 00:21:33| 25   4  68   1   0|1292M  593M  204M 5627M| 614k   11k|   0  5329k|   0   122 |1754  1898 |1.11 0.65 0.53|1.0 1.0  31|   0     0 |   0     0 |  9   32    0    9    2
Jul 28 00:21:34 ubuntu dstat.sh[110792]: 28-07 00:21:34| 24  10  64   2   0|1255M  630M  204M 5628M| 153k   66k|   0  9026k|   0   361 |2494  3314 |1.10 0.65 0.53|2.0   0 157|   0     0 |   0     0 |  9   32    0   10    2
Jul 28 00:21:35 ubuntu dstat.sh[110792]: 28-07 00:21:35| 48   6  45   0   0|1353M  531M  205M 5628M| 154k 6211 |   0   572k|   0  19.0 |1540  1456 |1.10 0.65 0.53|2.0   0 3.0|   0     0 |   0     0 |  9   32    0   10    2
Jul 28 00:21:36 ubuntu dstat.sh[110792]: 28-07 00:21:36| 50   7  42   0   0|1377M  506M  205M 5629M| 935k  568k|  28k 1087k|2.00  36.0 |4184  8573 |1.10 0.65 0.53|4.0   0 3.0|   0     0 |   0     0 |  9   38    0   11    2
Jul 28 00:21:37 ubuntu dstat.sh[110792]: 28-07 00:21:37| 57  21  22   0   0|1351M  532M  205M 5629M| 325k  141k|   0   845k|   0  44.1 |3218  6061 |1.10 0.65 0.53|7.0   0 404|   0     0 |   0     0 |  9   36    0   11    2
Jul 28 00:21:38 ubuntu dstat.sh[110792]: 28-07 00:21:38| 85  15   1   0   0|1500M  382M  205M 5630M| 326k  189k|   0   800k|   0  30.0 |2996  4925 |1.10 0.65 0.53|7.0   0 173|   0     0 |   0     0 |  9   38    0   11    2
Jul 28 00:21:39 ubuntu dstat.sh[110792]: 28-07 00:21:39| 89  10   1   0   0|1469M  413M  205M 5630M| 749k  728k|   0  4686k|   0   116 |4648    11k|1.66 0.78 0.57|6.0   0  36|   0     0 |   0     0 |  9   37    0   12    2
Jul 28 00:21:40 ubuntu dstat.sh[110792]: 28-07 00:21:40| 57  12  31   0   0|1393M  488M  205M 5630M| 404k  316k|   0   860k|   0  58.0 |3159  6707 |1.66 0.78 0.57|2.0   0 181|   0     0 |   0     0 |  9   37    0   13    2
Jul 28 00:21:41 ubuntu dstat.sh[110792]: 28-07 00:21:41| 41  10  49   0   0|1316M  564M  205M 5631M|  82k   59k|   0   544k|   0  34.0 |2338  3444 |1.66 0.78 0.57|2.0   0 117|   0     0 |   0     0 |  9   36    0   13    2
Jul 28 00:21:42 ubuntu dstat.sh[110792]: 28-07 00:21:42| 45   6  48   0   0|1331M  546M  205M 5633M| 134k  126k|   0   937k|   0  24.0 |2347  4126 |1.66 0.78 0.57|3.0   0 4.0|   0     0 |   0     0 |  9   36    0   14    2
Jul 28 00:21:43 ubuntu dstat.sh[110792]: 28-07 00:21:43| 40  10  48   2   0|1307M  550M  206M 5650M|  98k   81k|   0  2953k|   0   139 |2515  3930 |1.66 0.78 0.57|3.0   0  70|   0     0 |   0     0 |  9   36    0   14    2
Jul 28 00:21:44 ubuntu dstat.sh[110792]: 28-07 00:21:44| 39   8  49   3   0|1341M  505M  207M 5659M| 139k  131k|   0  9010k|   0  92.2 |1769  2945 |1.68 0.80 0.58|2.0   0   0|   0     0 |   0     0 |  9   37    0   14    2
Jul 28 00:21:45 ubuntu dstat.sh[110792]: 28-07 00:21:45| 33  18  46   1   0|1277M  552M  208M 5672M|  85k   75k|   0  4411k|   0   178 |3137  5565 |1.68 0.80 0.58|2.0   0 317|   0     0 |   0     0 |  9   36    0   14    2
Jul 28 00:21:46 ubuntu dstat.sh[110792]: 28-07 00:21:46| 45  25  27   2   0|1337M  469M  208M 5693M|  10k 1621 |   0  1813k|   0  64.0 |2727  5087 |1.68 0.80 0.58|6.0   0 577|   0     0 |   0     0 |  9   36    0   14    2
Jul 28 00:21:47 ubuntu dstat.sh[110792]: 28-07 00:21:47| 85  14   0   0   0|1512M  289M  209M 5697M| 113k  104k|   0  1608k|   0  55.0 |2334  3707 |1.68 0.80 0.58|6.0   0 150|   0     0 |   0     0 |  9   37    0   14    2
Jul 28 00:21:48 ubuntu dstat.sh[110792]: 28-07 00:21:48| 86  11   3   0   0|1526M  275M  209M 5697M|1208k 1196k|   0   527k|   0  62.9 |5198    14k|1.68 0.80 0.58|8.0   0 8.0|   0     0 |   0     0 |  9   39    0   13    2
Jul 28 00:21:49 ubuntu dstat.sh[110792]: 28-07 00:21:49| 85  14   1   0   0|1374M  447M  209M 5678M| 599k  591k|   0  5234k|   0  89.2 |5161    11k|2.19 0.92 0.62|8.0   0 128|   0     0 |   0     0 |  9   34    0   13    0
Jul 28 00:21:50 ubuntu dstat.sh[110792]: 28-07 00:21:50| 83  16   0   0   1|1473M  347M  209M 5678M| 193k  182k|   0   516k|   0  19.0 |3181  4967 |2.19 0.92 0.62|8.0   0 188|   0     0 |   0     0 |  9   35    0   13    0
Jul 28 00:21:51 ubuntu dstat.sh[110792]: 28-07 00:21:51| 84  15   1   0   0|1588M  232M  209M 5678M| 844k  834k|   0  1501k|   0  37.9 |  12k   23k|2.19 0.92 0.62|7.0   0  19|   0     0 |   0     0 |  9   37    0   13    0
Jul 28 00:21:52 ubuntu dstat.sh[110792]: 28-07 00:21:52| 89   8   3   0   0|1553M  266M  209M 5679M| 868k  859k|   0  1526k|   0  29.0 |5357    11k|2.19 0.92 0.62| 11   0  27|   0     0 |   0     0 |  9   37    0   13    0
Jul 28 00:21:53 ubuntu dstat.sh[110792]: 28-07 00:21:53| 78  16   5   0   0|1347M  472M  209M 5679M|1019k 1007k|   0  1020k|   0  67.0 |  11k   28k|2.19 0.92 0.62|6.0   0 231|   0     0 |   0     0 |  9   34    0   13    0
Jul 28 00:21:54 ubuntu dstat.sh[110792]: 28-07 00:21:54| 68  11  19   0   0|1362M  457M  209M 5679M|  65k   53k|   0  3803k|   0   199 |2306  2881 |2.26 0.95 0.63|4.0   0  61|   0     0 |   0     0 |  9   34    0   13    0
Jul 28 00:21:55 ubuntu dstat.sh[110792]: 28-07 00:21:55| 63  17  20   0   0|1289M  530M  209M 5679M| 650k  641k|   0   720k|   0  58.0 |5081    11k|2.26 0.95 0.63|6.0   0 284|   0     0 |   0     0 |  9   35    0   14    0
Jul 28 00:21:56 ubuntu dstat.sh[110792]: 28-07 00:21:56| 87  12   1   0   0|1379M  440M  209M 5679M| 129k  118k|   0   320k|   0  12.0 |2367  3515 |2.26 0.95 0.63|5.0   0 114|   0     0 |   0     0 |  9   35    0   14    0
Jul 28 00:21:57 ubuntu dstat.sh[110792]: 28-07 00:21:57| 80   9   9   0   0|1331M  487M  209M 5680M| 971k  963k|   0   845k|   0  64.8 |6090    13k|2.26 0.95 0.63|5.0   0  82|   0     0 |   0     0 |  9   35    0   16    0
Jul 28 00:21:58 ubuntu dstat.sh[110792]: 28-07 00:21:58| 76  16   8   0   0|1368M  449M  209M 5680M|  83k   74k|   0   365k|   0  30.1 |2565  4210 |2.26 0.95 0.63|5.0   0 235|   0     0 |   0     0 |  9   35    0   13    0
Jul 28 00:21:59 ubuntu dstat.sh[110792]: 28-07 00:21:59| 82   9   9   0   0|1386M  432M  209M 5681M|1068k 1059k|   0  2688k|   0   132 |3514    13k|2.32 0.98 0.64|7.0   0 7.0|   0     0 |   0     0 |  9   37    0   13    0
Jul 28 00:22:00 ubuntu dstat.sh[110792]: 28-07 00:22:00| 61  19  20   0   0|1280M  537M  209M 5681M| 691k  683k|   0   818k|   0  70.2 |4589    12k|2.32 0.98 0.64|4.0   0 323|   0     0 |   0     0 |  9   34    0   14    0
Jul 28 00:22:01 ubuntu dstat.sh[110792]: 28-07 00:22:01| 65  10  25   0   0|1384M  434M  209M 5681M| 280k  270k|   0   320k|   0  23.0 |2849  4718 |2.32 0.98 0.64|4.0   0   0|   0     0 |   0     0 |  9   36    0   15    0
Jul 28 00:22:02 ubuntu dstat.sh[110792]: 28-07 00:22:02| 60  14  24   0   0|1243M  574M  209M 5681M| 933k  917k|   0   780k|   0  75.0 |6387    14k|2.32 0.98 0.64|5.0   0 259|   0     0 |   0     0 |  9   34    0   18    0
Jul 28 00:22:03 ubuntu dstat.sh[110792]: 28-07 00:22:03| 65  11  23   0   0|1381M  436M  209M 5681M| 108k   96k|   0   216k|   0  9.99 |1878  2595 |2.32 0.98 0.64|4.0   0  48|   0     0 |   0     0 |  9   35    0   18    0
Jul 28 00:22:04 ubuntu dstat.sh[110792]: 28-07 00:22:04| 62  13  24   1   0|1280M  536M  209M 5681M| 984k  975k|   0    11M|   0   292 |6051    14k|2.29 1.00 0.65|5.0   0 238|   0     0 |   0     0 |  9   35    0   21    0
Jul 28 00:22:05 ubuntu dstat.sh[110792]: 28-07 00:22:05| 72  10  18   0   0|1363M  454M  209M 5681M|  61k   49k|   0   265k|   0  13.0 |1724  2382 |2.29 1.00 0.65|4.0   0  53|   0     0 |   0     0 |  9   34    0   21    0
Jul 28 00:22:06 ubuntu dstat.sh[110792]: 28-07 00:22:06| 61   8  29   0   0|1325M  491M  209M 5681M| 850k  843k|   0   508k|   0  52.0 |6247    12k|2.29 1.00 0.65|3.0 1.0  65|   0     0 |   0     0 |  9   36    0   22    0
Jul 28 00:22:07 ubuntu dstat.sh[110792]: 28-07 00:22:07| 70  11  18   0   0|1331M  485M  209M 5682M|  53k   45k|   0   332k|   0  31.0 |2263  7605 |2.29 1.00 0.65|3.0   0  86|   0     0 |   0     0 |  9   34    0   23    0
Jul 28 00:22:08 ubuntu dstat.sh[110792]: 28-07 00:22:08| 62  11  26   0   0|1328M  489M  209M 5682M| 525k  514k|   0   488k|   0  50.0 |4103  8218 |2.29 1.00 0.65|5.0   0 111|   0     0 |   0     0 |  9   36    0   20    0
Jul 28 00:22:09 ubuntu dstat.sh[110792]: 28-07 00:22:09| 79  18   3   0   0|1357M  459M  209M 5682M| 391k  382k|   0   676k|   0  52.0 |4014  8051 |2.51 1.07 0.67|7.0   0 293|   0     0 |   0     0 |  9   34    0   20    0
Jul 28 00:22:10 ubuntu dstat.sh[110792]: 28-07 00:22:10| 81  17   1   0   0|1367M  448M  209M 5682M| 385k  375k|   0   656k|   0  56.0 |4515  8235 |2.51 1.07 0.67|9.0   0 225|   0     0 |   0     0 |  9   35    0   20    0
Jul 28 00:22:11 ubuntu dstat.sh[110792]: 28-07 00:22:11| 84  15   0   0   0|1396M  419M  209M 5682M| 397k  387k|   0  2944k|   0   200 |5181  9416 |2.51 1.07 0.67|8.0   0 167|   0     0 |   0     0 |  9   34    0   20    0
Jul 28 00:22:12 ubuntu dstat.sh[110792]: 28-07 00:22:12| 83  16   1   0   0|1465M  350M  209M 5682M| 554k  545k|   0   648k|   0  52.0 |5289    11k|2.51 1.07 0.67|9.0   0 201|   0     0 |   0     0 |  9   36    0   20    0
Jul 28 00:22:13 ubuntu dstat.sh[110792]: 28-07 00:22:13| 83  15   2   0   0|1428M  387M  209M 5683M|1214k 1197k|   0   592k|   0  39.0 |5332    16k|2.51 1.07 0.67|9.0   0 229|   0     0 |   0     0 |  9   36    0   21    0
Jul 28 00:22:14 ubuntu dstat.sh[110792]: 28-07 00:22:14| 59  23  17   0   0|1325M  490M  209M 5683M| 870k  858k|   0    26M|   0   114 |5863    14k|2.63 1.12 0.69|5.0   0 567|   0     0 |   0     0 |  9   36    0   22    0
Jul 28 00:22:15 ubuntu dstat.sh[110792]: 28-07 00:22:15| 36  22  40   0   0|1196M  618M  209M 5683M| 456k  448k|   0   851k|   0  15.0 |4012  8682 |2.63 1.12 0.69|2.0   0 583|   0     0 |   0     0 |  9   34    0   23    0
Jul 28 00:22:16 ubuntu dstat.sh[110792]: 28-07 00:22:16| 15  24  61   0   1|1210M  604M  209M 5683M|  12k 1621 |   0   112k|   0  10.0 |2775  4463 |2.63 1.12 0.69|4.0   0 494|   0     0 |   0     0 |  9   34    0   23    0
Jul 28 00:22:17 ubuntu dstat.sh[110792]: 28-07 00:22:17| 71  25   4   0   0|1364M  450M  209M 5683M|  22k 2117 |   0    36k|   0  9.01 |2171  5598 |2.63 1.12 0.69|7.0   0 683|   0     0 |   0     0 |  9   35    0   23    0
Jul 28 00:22:18 ubuntu dstat.sh[110792]: 28-07 00:22:18| 85  13   2   0   0|1424M  390M  209M 5683M| 743k  727k|   0   384k|   0  36.0 |4341  9831 |2.63 1.12 0.69|6.0   0 149|   0     0 |   0     0 |  9   36    0   23    0
Jul 28 00:22:19 ubuntu dstat.sh[110792]: 28-07 00:22:19| 83  13   2   0   0|1373M  441M  210M 5684M| 645k  638k|   0   856k|   0  85.0 |4715    11k|2.90 1.20 0.72|6.0   0 211|   0     0 |   0     0 |  9   35    0   23    0
Jul 28 00:22:20 ubuntu dstat.sh[110792]: 28-07 00:22:20| 85  11   2   0   0|1448M  366M  210M 5684M| 620k  609k|   0    39M|   0   157 |4221  9423 |2.90 1.20 0.72|7.0   0  84|   0     0 |   0     0 |  9   36    0   25    0
Jul 28 00:22:21 ubuntu dstat.sh[110792]: 28-07 00:22:21| 79   8  13   0   0|1507M  306M  210M 5684M|1522k 1512k|   0   588k|   0  57.0 |4751    19k|2.90 1.20 0.72|6.0   0 1.0|   0     0 |   0     0 |  9   38    0   30    0
Jul 28 00:22:22 ubuntu dstat.sh[110792]: 28-07 00:22:22| 72   7  19   0   0|1486M  326M  210M 5685M|1179k 1169k|   0   594k|   0  65.8 |7429    18k|2.90 1.20 0.72|4.0   0  34|   0     0 |   0     0 |  9   37    0   32    0
Jul 28 00:22:23 ubuntu dstat.sh[110792]: 28-07 00:22:23| 80  16   4   0   0|1332M  480M  210M 5685M| 778k  761k|   0   694k|   0  73.2 |5949    12k|2.90 1.20 0.72|6.0 1.0 156|   0     0 |   0     0 |  9   35    0   32    0
Jul 28 00:22:24 ubuntu dstat.sh[110792]: 28-07 00:22:24| 88  11   1   0   0|1477M  336M  210M 5685M| 842k  832k|   0   456k|   0  39.0 |4721  9941 |3.15 1.28 0.75|7.0   0 8.0|   0     0 |   0     0 |  9   36    0   32    0
Jul 28 00:22:25 ubuntu dstat.sh[110792]: 28-07 00:22:25| 76  10  13   0   0|1454M  358M  210M 5685M|1171k 1160k|   0  1287k|   0  44.0 |6510    15k|3.15 1.28 0.75|3.0   0  71|   0     0 |   0     0 |  9   38    0   35    0
Jul 28 00:22:26 ubuntu dstat.sh[110792]: 28-07 00:22:26| 67  10  24   0   0|1500M  312M  210M 5686M|1218k 1200k|   0   520k|   0  46.0 |6248    17k|3.15 1.28 0.75|4.0   0 1.0|   0     0 |   0     0 |  9   38    0   36    0
Jul 28 00:22:27 ubuntu dstat.sh[110792]: 28-07 00:22:27| 69  11  20   0   0|1473M  338M  210M 5686M|1180k 1158k|   0   457k|   0  40.1 |5818    14k|3.15 1.28 0.75|3.0   0 100|   0     0 |   0     0 |  9   38    0   38    0
Jul 28 00:22:28 ubuntu dstat.sh[110792]: 28-07 00:22:28| 79  10   9   0   0|1421M  389M  210M 5688M|1057k 1047k|   0   559k|   0  52.0 |6488    15k|3.15 1.28 0.75|6.0   0  88|   0     0 |   0     0 |  9   36    0   42    0
Jul 28 00:22:29 ubuntu dstat.sh[110792]: 28-07 00:22:29| 88  11   1   0   0|1421M  387M  210M 5689M| 709k  701k|   0   548k|   0  57.0 |4855    11k|3.37 1.36 0.78|6.0   0  62|   0     0 |   0     0 |  9   35    0   42    0
Jul 28 00:22:30 ubuntu dstat.sh[110792]: 28-07 00:22:30| 84  12   4   0   1|1417M  391M  210M 5689M| 948k  939k|   0  2536k|   0  48.0 |6101    12k|3.37 1.36 0.78|9.0   0 118|   0     0 |   0     0 |  9   36    0   43    0
Jul 28 00:22:31 ubuntu dstat.sh[110792]: 28-07 00:22:31| 86  11   2   0   0|1477M  331M  210M 5690M|1029k 1019k|   0   320k|   0  30.0 |5350    13k|3.37 1.36 0.78|6.0   0  50|   0     0 |   0     0 |  9   36    0   41    0
Jul 28 00:22:32 ubuntu dstat.sh[110792]: 28-07 00:22:32| 83  10   6   0   0|1431M  376M  210M 5690M|1304k 1296k|   0   508k|   0  56.0 |6928    16k|3.37 1.36 0.78|8.0   0  78|   0     0 |   0     0 |  9   36    0   44    0
Jul 28 00:22:33 ubuntu dstat.sh[110792]: 28-07 00:22:33| 82  16   2   0   0|1384M  423M  210M 5690M| 786k  779k|   0   576k|   0  62.0 |4589    11k|3.37 1.36 0.78|6.0   0 221|   0     0 |   0     0 |  9   35    0   44    0
Jul 28 00:22:34 ubuntu dstat.sh[110792]: 28-07 00:22:34| 87  11   1   0   0|1515M  291M  210M 5690M| 854k  847k|   0   379k|   0  30.9 |4077  9933 |3.51 1.42 0.80|5.0   0   0|   0     0 |   0     0 |  9   38    0   44    0
Jul 28 00:22:35 ubuntu dstat.sh[110792]: 28-07 00:22:35| 75  11  13   0   0|1382M  424M  210M 5691M|1199k 1189k|   0    10M|   0   259 |7014    15k|3.51 1.42 0.80| 10   0 104|   0     0 |   0     0 |  9   36    0   44    0
Jul 28 00:22:36 ubuntu dstat.sh[110792]: 28-07 00:22:36| 86  12   1   0   0|1441M  365M  210M 5691M| 795k  786k|   0   392k|   0  29.0 |3455    11k|3.51 1.42 0.80|6.0   0  53|   0     0 |   0     0 |  9   35    0   44    0
Jul 28 00:22:37 ubuntu dstat.sh[110792]: 28-07 00:22:37| 84  11   3   0   0|1424M  382M  210M 5691M|1068k 1058k|   0   648k|   0  66.0 |6036    15k|3.51 1.42 0.80|6.0   0  75|   0     0 |   0     0 |  9   35    0   43    0
Jul 28 00:22:38 ubuntu dstat.sh[110792]: 28-07 00:22:38| 84  14   3   0   0|1407M  399M  210M 5692M| 867k  857k|   0   472k|   0  38.0 |5145    12k|3.51 1.42 0.80|6.0   0 150|   0     0 |   0     0 |  9   36    0   43    0
Jul 28 00:22:39 ubuntu dstat.sh[110792]: 28-07 00:22:39| 79  14   6   0   0|1441M  364M  210M 5692M|1057k 1049k|   0   618k|   0  55.8 |5673    13k|3.63 1.48 0.82|7.0   0  98|   0     0 |   0     0 |  9   35    0   44    0
Jul 28 00:22:40 ubuntu dstat.sh[110792]: 28-07 00:22:40| 82  13   5   0   0|1317M  488M  210M 5692M| 781k  771k|   0   570k|   0  52.1 |4527    11k|3.63 1.48 0.82|5.0   0 131|   0     0 |   0     0 |  9   34    0   45    0
Jul 28 00:22:41 ubuntu dstat.sh[110792]: 28-07 00:22:41| 86  12   2   0   0|1401M  404M  210M 5692M| 418k  410k|   0   372k|   0  34.0 |3957  7079 |3.63 1.48 0.82|4.0   0  79|   0     0 |   0     0 |  9   35    0   44    0
Jul 28 00:22:42 ubuntu dstat.sh[110792]: 28-07 00:22:42| 79  12   8   0   0|1367M  437M  210M 5693M|1146k 1129k|   0   670k|   0  69.8 |6231    16k|3.63 1.48 0.82|5.0   0 133|   0     0 |   0     0 |  9   36    0   44    0
