-- Logs begin at Fri 2023-08-04 23:19:50 UTC, end at Sat 2023-08-05 00:53:53 UTC. --
Aug 05 00:17:57 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 05 00:17:57 ubuntu dstat.sh[113223]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 05 00:17:57 ubuntu dstat.sh[113223]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 05 00:17:57 ubuntu dstat.sh[113223]: 05-08 00:17:57|                   | 924M  996M  204M 5474M|           |           |           |           |0.87 0.57 0.47|3.0   0    |           |   0     0 |  8    4    0   10    2
Aug 05 00:17:58 ubuntu dstat.sh[113223]: 05-08 00:17:58| 17  18  64   1   0| 925M  994M  204M 5475M| 449k   14k|   0  1017k|   0  25.2 |2912  4522 |0.87 0.57 0.47|2.5   0 420|   0     0 |   0     0 |  8    4    0   10    2
Aug 05 00:17:59 ubuntu dstat.sh[113223]: 05-08 00:17:59| 23  21  55   0   0| 916M 1002M  204M 5476M| 244k 6975 |   0    11M|   0  55.1 |3043  4954 |0.88 0.58 0.47|2.0   0 366|   0     0 |   0     0 |  8    5    1    9    2
Aug 05 00:18:00 ubuntu dstat.sh[113223]: 05-08 00:18:00| 19  16  64   0   0| 916M 1000M  204M 5477M|1562k   28k|   0    16k|   0  4.00 |3635  5652 |0.88 0.58 0.47|1.0   0 205|   0     0 |   0     0 |  8    6    0    9    2
Aug 05 00:18:01 ubuntu dstat.sh[113223]: 05-08 00:18:01| 14  11  74   0   0|1052M  862M  204M 5601M| 221k 6980 |   0     0 |   0     0 |3214  6461 |0.88 0.58 0.47|  0   0  72|   0     0 |   0     0 |  9    6    0    8    2
Aug 05 00:18:02 ubuntu dstat.sh[113223]: 05-08 00:18:02| 20   8  71   0   0|1055M  855M  204M 5605M|2719k   35k|   0    24k|   0  6.01 |2826  2443 |0.88 0.58 0.47|1.0   0 105|   0     0 |   0     0 |  9    8    0    8    2
Aug 05 00:18:03 ubuntu dstat.sh[113223]: 05-08 00:18:03| 19  10  68   1   0|1073M  832M  204M 5610M|2480k   34k|   0  4214k|   0  27.0 |3120  3584 |0.88 0.58 0.47|1.0   0 182|   0     0 |   0     0 |  9    8    0   10    2
Aug 05 00:18:04 ubuntu dstat.sh[113223]: 05-08 00:18:04| 29   4  65   2   0|1089M  813M  204M 5613M|1084k   17k|  56k 5239k|6.01  31.0 |1729  1563 |0.89 0.58 0.48|2.0   0 4.0|   0     0 |   0     0 |  9    6    0   10    4
Aug 05 00:18:05 ubuntu dstat.sh[113223]: 05-08 00:18:05| 48   5  43   2   0|1123M  778M  204M 5614M| 202k 6819 | 152k 1319k|9.00  16.0 |1574  1564 |0.89 0.58 0.48|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Aug 05 00:18:06 ubuntu dstat.sh[113223]: 05-08 00:18:06| 26   6  48  20   0|1143M  756M  204M 5616M| 241k   17k|   0  9605k|   0   679 |5705  9279 |0.89 0.58 0.48|1.0 2.0  16|   0     0 |   0     0 |  9    8    1   10    2
Aug 05 00:18:07 ubuntu dstat.sh[113223]: 05-08 00:18:07|  7   2  65  24   0|1142M  753M  204M 5619M| 183k   12k|   0  8596k|   0   626 |5068  8756 |0.89 0.58 0.48|1.0   0 1.0|   0     0 |   0     0 |  9    9    0   10    2
Aug 05 00:18:08 ubuntu dstat.sh[113223]: 05-08 00:18:08| 11   3  60  25   0|1149M  745M  205M 5620M|  70k 9853 |   0    11M|   0   800 |5451  9746 |0.89 0.58 0.48|  0 1.0  12|   0     0 |   0     0 |  9   10    0   10    2
Aug 05 00:18:09 ubuntu dstat.sh[113223]: 05-08 00:18:09|  9   4  56  29   0|1150M  742M  205M 5622M| 173k   12k|   0    23M|   0  1012 |5586  9667 |1.06 0.62 0.49|1.0 1.0  10|   0     0 |   0     0 |  9   10    0   10    2
Aug 05 00:18:10 ubuntu dstat.sh[113223]: 05-08 00:18:10| 10   3  61  24   0|1151M  739M  205M 5623M| 185k   12k|   0    16M|   0  1093 |6836    11k|1.06 0.62 0.49|  0 1.0  15|   0     0 |   0     0 |  9   10    0   10    2
Aug 05 00:18:11 ubuntu dstat.sh[113223]: 05-08 00:18:11|  9   4  64  21   1|1154M  728M  205M 5630M|2059k   37k|   0  8885k|   0   579 |5347  8173 |1.06 0.62 0.49|  0 2.0  10|   0     0 |   0     0 |  9   10    0   10    2
Aug 05 00:18:12 ubuntu dstat.sh[113223]: 05-08 00:18:12| 15   4  55  24   0|1102M  781M  206M 5629M|  72k 9764 |   0    14M|   0   979 |5481    10k|1.06 0.62 0.49|  0 1.0 6.0|   0     0 |   0     0 |  9    8    0   10    2
Aug 05 00:18:13 ubuntu dstat.sh[113223]: 05-08 00:18:13| 21   4  61  14   0|1015M  867M  206M 5630M|  87k   13k|   0    13M|   0   933 |5401  9116 |1.06 0.62 0.49|1.0   0  21|   0     0 |   0     0 |  9    6    0   10    2
Aug 05 00:18:14 ubuntu dstat.sh[113223]: 05-08 00:18:14| 23   7  68   1   0|1058M  823M  206M 5630M| 112k 5698 |   0  3501k|   0   127 |1913  2333 |1.06 0.63 0.49|1.0   0  67|   0     0 |   0     0 |  9    6    0   10    2
