-- Logs begin at Sat 2023-08-05 00:30:40 UTC, end at Sat 2023-08-05 02:02:27 UTC. --
Aug 05 01:25:59 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 05 01:25:59 ubuntu dstat.sh[106609]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 05 01:25:59 ubuntu dstat.sh[106609]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 05 01:25:59 ubuntu dstat.sh[106609]: 05-08 01:25:59|                   | 983M  950M  200M 5467M|           |           |           |           |0.99 0.65 0.53|3.0   0    |           |   0     0 |  8    6    0   10    1
Aug 05 01:26:00 ubuntu dstat.sh[106609]: 05-08 01:26:00| 19  19  60   1   0| 966M  966M  200M 5467M| 176k 8094 |   0   473k|   0  10.1 |3480  5624 |0.99 0.65 0.53|2.0   0 359|   0     0 |   0     0 |  8    6    0   10    1
Aug 05 01:26:01 ubuntu dstat.sh[106609]: 05-08 01:26:01| 35  20  45   0   0| 972M  959M  200M 5468M| 136k 7554 |   0   192k|   0  10.1 |3189  5433 |0.99 0.65 0.53|8.0   0 356|   0     0 |   0     0 |  8    7    0    9    0
Aug 05 01:26:02 ubuntu dstat.sh[106609]: 05-08 01:26:02| 40  19  40   0   0| 968M  961M  200M 5469M| 741k   16k|   0    16k|   0  4.00 |2628  6694 |1.07 0.67 0.54|3.0   0 231|   0     0 |   0     0 |  8    8    0    9    0
Aug 05 01:26:03 ubuntu dstat.sh[106609]: 05-08 01:26:03| 30  13  55   0   0|1093M  833M  200M 5595M|2416k   33k|   0  2321k|   0  7.99 |4077  6388 |1.07 0.67 0.54|1.0   0  71|   0     0 |   0     0 |  9    6    0    8    2
Aug 05 01:26:04 ubuntu dstat.sh[106609]: 05-08 01:26:04| 13   6  81   1   0|1062M  864M  200M 5595M|  70k 7838 |   0   441k|   0  10.0 |1464  1937 |1.07 0.67 0.54|2.0   0  80|   0     0 |   0     0 |  9    9    0    8    1
Aug 05 01:26:05 ubuntu dstat.sh[106609]: 05-08 01:26:05| 24   7  67   0   0|1015M  911M  200M 5595M| 189k 5896 |   0    36k|   0  9.00 |1469  1693 |1.07 0.67 0.54|2.0   0  66|   0     0 |   0     0 |  9    7    0    8    1
Aug 05 01:26:06 ubuntu dstat.sh[106609]: 05-08 01:26:06| 40  11  47   1   0|1071M  854M  200M 5595M| 119k   16k|   0   648k|   0  21.0 |2071  2921 |1.07 0.67 0.54|2.0   0 143|   0     0 |   0     0 |  9    6    0   10    2
Aug 05 01:26:07 ubuntu dstat.sh[106609]: 05-08 01:26:07| 33   5  51   9   0|1093M  830M  200M 5596M| 236k   10k| 180k 6537k|12.0   253 |1970  1798 |1.15 0.69 0.55|  0 1.0 5.0|   0     0 |   0     0 |  9    7    0   10    2
Aug 05 01:26:08 ubuntu dstat.sh[106609]: 05-08 01:26:08| 24   2  72   2   0|1113M  809M  201M 5598M| 460k   11k|  16k 1188k|2.00  5.00 |1239  1249 |1.15 0.69 0.55|1.0 1.0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Aug 05 01:26:09 ubuntu dstat.sh[106609]: 05-08 01:26:09| 21   3  54  20   0|1135M  782M  201M 5602M|1273k   34k|  12k 9490k|1.00   682 |5813  8973 |1.15 0.69 0.55|  0 1.0  11|   0     0 |   0     0 |  9   10    0   10    2
Aug 05 01:26:10 ubuntu dstat.sh[106609]: 05-08 01:26:10|  9   4  64  21   0|1142M  768M  201M 5609M|2602k   27k|   0    14M|   0   892 |6866    11k|1.15 0.69 0.55|3.0   0 3.0|   0     0 |   0     0 |  9   10    0   10    2
Aug 05 01:26:11 ubuntu dstat.sh[106609]: 05-08 01:26:11| 10   5  61  23   0|1145M  758M  202M 5614M|2207k   20k|   0    18M|   0  1183 |7479    12k|1.15 0.69 0.55|1.0   0  19|   0     0 |   0     0 |  9   10    0   10    2
Aug 05 01:26:12 ubuntu dstat.sh[106609]: 05-08 01:26:12| 14   4  57  23   0|1146M  752M  202M 5619M|2004k   49k|   0    19M|   0  1193 |8454    13k|1.37 0.75 0.57|2.0   0  18|   0     0 |   0     0 |  9   10    0   10    2
Aug 05 01:26:13 ubuntu dstat.sh[106609]: 05-08 01:26:13| 31   5  43  21   0|1138M  758M  202M 5621M| 251k   13k|   0  9932k|   0   743 |5707  9547 |1.37 0.75 0.57|1.0 1.0  14|   0     0 |   0     0 |  9    8    0   10    2
Aug 05 01:26:14 ubuntu dstat.sh[106609]: 05-08 01:26:14| 32   6  41  21   0|1147M  746M  203M 5623M| 165k   14k|   0    20M|   0  1504 |7921    14k|1.37 0.75 0.57|1.0   0  21|   0     0 |   0     0 |  9    8    1   10    2
Aug 05 01:26:15 ubuntu dstat.sh[106609]: 05-08 01:26:15| 24   6  67   2   0|1085M  808M  203M 5623M| 186k 8318 |   0  1861k|   0  94.1 |1904  2495 |1.37 0.75 0.57|2.0   0  77|   0     0 |   0     0 |  9    7    0   10    2
Aug 05 01:26:16 ubuntu dstat.sh[106609]: 05-08 01:26:16| 30   2  67   1   0|1141M  751M  203M 5624M| 171k 8020 |   0  1087k|   0  30.0 |1257  1329 |1.37 0.75 0.57|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
