-- Logs begin at Thu 2023-08-03 11:47:38 UTC, end at Thu 2023-08-03 21:35:38 UTC. --
Aug 03 20:59:30 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 03 20:59:30 ubuntu dstat.sh[106831]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 03 20:59:30 ubuntu dstat.sh[106831]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 03 20:59:30 ubuntu dstat.sh[106831]: 03-08 20:59:30|                   | 922M  996M  203M 5478M|           |           |           |           |0.87 0.67 0.57|1.0   0    |           |   0     0 |  8    6    0   10    2
Aug 03 20:59:31 ubuntu dstat.sh[106831]: 03-08 20:59:31| 15  18  68   1   0| 923M  993M  203M 5480M|1961k   12k|   0  4188k|   0  25.4 |3190  4376 |0.87 0.67 0.57|1.5   0 382|   0     0 |   0     0 |  8    6    0   10    2
Aug 03 20:59:32 ubuntu dstat.sh[106831]: 03-08 20:59:32| 17  21  60   1   1| 914M  994M  203M 5487M|2848k   35k|   0    13M|   0   127 |3694  4730 |0.87 0.67 0.57|1.0   0 346|   0     0 |   0     0 |  8    6    0   10    2
Aug 03 20:59:33 ubuntu dstat.sh[106831]: 03-08 20:59:33| 30  16  53   1   0| 896M 1009M  203M 5490M|1485k   27k|   0  2788k|   0  18.0 |3956  5537 |0.87 0.67 0.57|2.0   0 210|   0     0 |   0     0 |  8    4    0   10    2
Aug 03 20:59:34 ubuntu dstat.sh[106831]: 03-08 20:59:34| 37  13  47   1   0|1050M  854M  203M 5612M| 118k 5807 |   0   488k|   0  9.00 |3873  6307 |0.87 0.67 0.57|1.0   0  71|   0     0 |   0     0 |  9    4    0    9    2
Aug 03 20:59:35 ubuntu dstat.sh[106831]: 03-08 20:59:35| 21   9  68   0   0|1059M  845M  204M 5613M| 210k 8568 |   0   684k|   0  14.0 |1863  2274 |0.88 0.68 0.58|1.0   0  92|   0     0 |   0     0 |  9    7    0    9    2
Aug 03 20:59:36 ubuntu dstat.sh[106831]: 03-08 20:59:36| 19  12  67   1   0|1057M  846M  204M 5614M| 183k   20k|   0   720k|   0  31.0 |2312  3187 |0.88 0.68 0.58|1.0   0 190|   0     0 |   0     0 |  9    7    0   10    2
Aug 03 20:59:37 ubuntu dstat.sh[106831]: 03-08 20:59:37| 32   8  58   2   0|1107M  794M  204M 5614M| 153k 7837 |  52k   10M|5.00  53.0 |2888  5962 |0.88 0.68 0.58|2.0   0  47|   0     0 |   0     0 |  9    8    0   11    2
Aug 03 20:59:38 ubuntu dstat.sh[106831]: 03-08 20:59:38| 26   3  68   3   0|1123M  778M  204M 5615M|  69k 7154 | 144k 2137k|9.01  20.0 |1236  1554 |0.88 0.68 0.58|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Aug 03 20:59:39 ubuntu dstat.sh[106831]: 03-08 20:59:39| 12   2  68  16   1|1140M  757M  204M 5618M| 124k   19k|  12k   12M|1.00   913 |5131    10k|0.88 0.68 0.58|  0 1.0  10|   0     0 |   0     0 |  9   10    0   10    2
