-- Logs begin at Wed 2023-08-09 07:44:45 UTC, end at Wed 2023-08-09 10:55:50 UTC. --
Aug 09 10:19:39 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 09 10:19:40 ubuntu dstat.sh[106728]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 09 10:19:40 ubuntu dstat.sh[106728]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 09 10:19:40 ubuntu dstat.sh[106728]: 09-08 10:19:40|                   | 957M  965M  203M 5474M|           |           |           |           |1.40 0.78 0.59|3.0   0    |           |   0     0 |  8    5    0   10    2
Aug 09 10:19:41 ubuntu dstat.sh[106728]: 09-08 10:19:41| 34  21  44   1   0| 965M  956M  203M 5475M| 387k   15k|   0   842k|   0  25.9 |2872  4330 |1.40 0.78 0.59|3.5   0 416|   0     0 |   0     0 |  8    5    0   10    2
Aug 09 10:19:42 ubuntu dstat.sh[106728]: 09-08 10:19:42| 24  20  54   0   0| 962M  958M  203M 5477M| 534k   17k|   0   396k|   0  18.0 |3027  5008 |1.40 0.78 0.59|1.0   0 357|   0     0 |   0     0 |  8    7    0    9    2
Aug 09 10:19:43 ubuntu dstat.sh[106728]: 09-08 10:19:43| 22  18  59   0   0| 909M 1005M  203M 5482M|3080k   58k|   0  8069k|   0  64.0 |4601  6967 |1.40 0.78 0.59|1.0   0 205|   0     0 |   0     0 |  8    6    0    9    3
Aug 09 10:19:44 ubuntu dstat.sh[106728]: 09-08 10:19:44| 18  14  67   0   0|1045M  865M  203M 5607M|1691k   32k|   0  3955k|   0  15.0 |3510    10k|1.37 0.78 0.59|  0   0  69|   0     0 |   0     0 |  9    6    0    9    2
Aug 09 10:19:45 ubuntu dstat.sh[106728]: 09-08 10:19:45| 17   9  72   1   0|1055M  848M  203M 5614M|2899k   57k|   0  4215k|   0  15.0 |3627  3558 |1.37 0.78 0.59|3.0   0 102|   0     0 |   0     0 |  9    8    0    8    2
Aug 09 10:19:46 ubuntu dstat.sh[106728]: 09-08 10:19:46| 41  13  44   1   0|1053M  851M  203M 5613M| 267k   21k|   0  1024k|   0  33.0 |2422  3188 |1.37 0.78 0.59|4.0   0 190|   0     0 |   0     0 |  9    6    0   10    2
Aug 09 10:19:47 ubuntu dstat.sh[106728]: 09-08 10:19:47| 43   8  46   2   0|1122M  780M  203M 5615M| 215k 8507 | 196k 1638k|14.0  22.0 |1528  1547 |1.37 0.78 0.59|3.0   0 6.0|   0     0 |   0     0 |  9    6    0   10    2
Aug 09 10:19:48 ubuntu dstat.sh[106728]: 09-08 10:19:48| 23   3  68   5   0|1138M  764M  203M 5615M|  95k   15k|  12k   12M|1.00   222 |2184  3793 |1.37 0.78 0.59|3.0   0 4.0|   0     0 |   0     0 |  9    9    0   10    2
Aug 09 10:19:49 ubuntu dstat.sh[106728]: 09-08 10:19:49| 11   4  59  25   0|1137M  760M  203M 5619M| 193k   14k|   0    16M|   0  1036 |5600    11k|1.42 0.80 0.60|1.0 1.0 7.0|   0     0 |   0     0 |  9    9    1   10    2
Aug 09 10:19:50 ubuntu dstat.sh[106728]: 09-08 10:19:50| 10   3  64  21   0|1143M  752M  204M 5621M| 158k   14k|   0    11M|   0   912 |5924    11k|1.42 0.80 0.60|2.0   0  19|   0     0 |   0     0 |  9   10    0   10    2
Aug 09 10:19:51 ubuntu dstat.sh[106728]: 09-08 10:19:51| 10   4  61  22   0|1145M  748M  204M 5623M|  78k   12k|   0    17M|   0  1258 |7592    13k|1.42 0.80 0.60|1.0 1.0  18|   0     0 |   0     0 |  9   10    0   10    2
Aug 09 10:19:52 ubuntu dstat.sh[106728]: 09-08 10:19:52|  9   6  61  24   0|1147M  743M  204M 5625M| 525k   20k|   0    17M|   0  1238 |7544    13k|1.42 0.80 0.60|  0 1.0  12|   0     0 |   0     0 |  9   10    0   10    2
Aug 09 10:19:53 ubuntu dstat.sh[106728]: 09-08 10:19:53| 16   4  59  21   0|1097M  788M  205M 5630M|1737k   33k|   0    18M|   0  1089 |6486  9633 |1.42 0.80 0.60|4.0 1.0  12|   0     0 |   0     0 |  9    8    0   10    3
Aug 09 10:19:54 ubuntu dstat.sh[106728]: 09-08 10:19:54| 23   6  61   9   0|1022M  863M  205M 5630M|  52k   12k|   0    11M|   0   847 |5137  8118 |1.47 0.82 0.61|2.0   0  79|   0     0 |   0     0 |  9    6    0   10    2
Aug 09 10:19:55 ubuntu dstat.sh[106728]: 09-08 10:19:55| 24   4  70   1   0|1084M  800M  205M 5630M|  80k 6333 |   0   652k|   0  12.0 |1116  1245 |1.47 0.82 0.61|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Aug 09 10:19:56 ubuntu dstat.sh[106728]: 09-08 10:19:56| 28   2  66   3   0|1026M  858M  205M 5630M| 135k 7348 |   0  3984k|   0   215 |1902  2439 |1.47 0.82 0.61|1.0   0  12|   0     0 |   0     0 |  9    6    0   10    2
Aug 09 10:19:57 ubuntu dstat.sh[106728]: 09-08 10:19:57| 25   3  70   1   0|1093M  790M  205M 5632M| 775k   16k|   0   939k|   0  16.0 |1694  1531 |1.47 0.82 0.61|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Aug 09 10:19:58 ubuntu dstat.sh[106728]: 09-08 10:19:58| 29   6  63   2   0|1013M  868M  205M 5633M| 935k   20k|   0    34M|   0   267 |2891  2485 |1.47 0.82 0.61|1.0   0 112|   0     0 |   0     0 |  9    6    0   10    2
Aug 09 10:19:59 ubuntu dstat.sh[106728]: 09-08 10:19:59| 15  18  65   1   0|1015M  865M  205M 5634M| 537k   13k|   0  1665k|   0  16.0 |3112  4662 |1.43 0.83 0.61|1.0   0 374|   0     0 |   0     0 |  9    6    0   10    2
Aug 09 10:20:00 ubuntu dstat.sh[106728]: 09-08 10:20:00| 19  18  62   1   0|1018M  861M  205M 5635M|  77k 5510 |   0   500k|   0  14.0 |3847  7007 |1.43 0.83 0.61| 15   0 252|   0     0 |   0     0 |  9    6    0   10    2
Aug 09 10:20:01 ubuntu dstat.sh[106728]: 09-08 10:20:01| 40  15  43   1   0|1115M  764M  205M 5635M|  72k 5197 | 323k  431k|3.99  8.98 |2458  3660 |1.43 0.83 0.61|3.0   0 153|   0     0 |   0     0 |  9    7    0   10    2
Aug 09 10:20:02 ubuntu dstat.sh[106728]: 09-08 10:20:02| 54   8  38   1   0|1213M  662M  205M 5638M| 318k 8851 | 373k  930k|8.01  20.0 |1753  1712 |1.43 0.83 0.61|4.0   0 7.0|   0     0 |   0     0 |  9    7    0   10    2
Aug 09 10:20:03 ubuntu dstat.sh[106728]: 09-08 10:20:03| 53   4  41   1   0|1225M  647M  205M 5642M| 893k   17k|   0  5045k|   0  20.0 |2172  2916 |1.43 0.83 0.61|5.0   0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Aug 09 10:20:04 ubuntu dstat.sh[106728]: 09-08 10:20:04| 38  13  47   0   0|1257M  608M  205M 5646M|  50k 5276 |   0  1987k|   0  48.0 |2559  6070 |1.48 0.85 0.62|1.0   0 143|   0     0 |   0     0 |  9    6    0   10    2
Aug 09 10:20:05 ubuntu dstat.sh[106728]: 09-08 10:20:05| 26   4  69   0   0|1311M  554M  206M 5647M| 485k   12k|   0   729k|   0  8.01 |1260  1342 |1.48 0.85 0.62|1.0 1.0 1.0|   0     0 |   0     0 |  9    6    0   10    2
