-- Logs begin at Thu 2023-09-28 15:29:55 UTC, end at Fri 2023-09-29 06:23:45 UTC. --
Sep 29 06:12:38 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 29 06:12:38 ubuntu dstat.sh[108377]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 29 06:12:38 ubuntu dstat.sh[108377]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 29 06:12:38 ubuntu dstat.sh[108377]: 29-09 06:12:38|                   | 805M  737M  201M 5844M|           |           |           |           |1.18 0.77 0.60|3.0   0    |           |   0     0 |  8    2    0   10    0
Sep 29 06:12:39 ubuntu dstat.sh[108377]: 29-09 06:12:39| 30  21  47   0   0| 821M  721M  201M 5844M|  12k 1618 |4091B  943k|1.00  18.0 |2765  4992 |1.18 0.77 0.60|3.0   0 483|   0     0 |   0     0 |  8    2    0   10    0
Sep 29 06:12:40 ubuntu dstat.sh[108377]: 29-09 06:12:40| 44  22  32   0   0| 863M  665M  201M 5858M|  14k 1621 |   0    28k|0.50  12.5 |5374    10k|1.18 0.77 0.60|7.0   0 393|   0     0 |   0     0 |  8    2    0    9    0
Sep 29 06:12:41 ubuntu dstat.sh[108377]: 29-09 06:12:41| 85  15   0   0   0| 943M  566M  201M 5873M|  13k 1620 |  80k 2621k|3.00   114 |2495  2673 |1.18 0.77 0.60|6.0   0  86|   0     0 |   0     0 |  8    2    0    8    0
Sep 29 06:12:42 ubuntu dstat.sh[108377]: 29-09 06:12:42| 78  18   2   0   0| 992M  513M  201M 5876M|  19k 2054 |   0    12k|   0  3.00 |4046  7406 |1.18 0.77 0.60|3.0   0 174|   0     0 |   0     0 |  8    3    1    8    0
Sep 29 06:12:43 ubuntu dstat.sh[108377]: 29-09 06:12:43| 16  10  73   0   0|1145M  360M  201M 5998M|  24k 5795 |   0     0 |   0     0 |2661  3966 |1.09 0.76 0.60|1.0   0  72|   0     0 |   0     0 |  9    8    0    8    0
Sep 29 06:12:44 ubuntu dstat.sh[108377]: 29-09 06:12:44| 35   9  54   1   0|1117M  385M  202M 6001M|  25k 7339 |   0  2417k|   0  24.0 |1749  1973 |1.09 0.76 0.60|3.0   0  87|   0     0 |   0     0 |  9    6    1    8    3
Sep 29 06:12:45 ubuntu dstat.sh[108377]: 29-09 06:12:45| 17  13  69   1   0|1072M  430M  202M 6001M|  70k   20k|   0   499k|   0  29.0 |2253  3137 |1.09 0.76 0.60|1.0   0 171|   0     0 |   0     0 |  9    9    0   10    0
Sep 29 06:12:46 ubuntu dstat.sh[108377]: 29-09 06:12:46| 39   4  55   2   0|1077M  423M  202M 6002M| 829k   15k| 196k 1157k|14.0  13.0 |1582  1411 |1.09 0.76 0.60|2.0   0   0|   0     0 |   0     0 |  9    8    0   10    0
Sep 29 06:12:47 ubuntu dstat.sh[108377]: 29-09 06:12:47| 38   5  52   4   0|1100M  400M  202M 6003M| 489k   15k|  12k 2208k|1.00   136 |2316  3082 |1.09 0.76 0.60|1.0 1.0 3.0|   0     0 |   0     0 |  9    9    0   10    0
