-- Logs begin at Fri 2023-09-29 06:25:33 UTC, end at Fri 2023-09-29 12:52:47 UTC. --
Sep 29 12:41:36 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 29 12:41:36 ubuntu dstat.sh[113996]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 29 12:41:36 ubuntu dstat.sh[113996]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 29 12:41:36 ubuntu dstat.sh[113996]: 29-09 12:41:36|                   | 822M 1032M  179M 5564M|           |           |           |           |0.42 0.29 0.31|3.0   0    |           |   0     0 |  8    3    0    4    1
Sep 29 12:41:37 ubuntu dstat.sh[113996]: 29-09 12:41:37| 13  19  69   0   0| 823M 1030M  179M 5565M|2121k   25k|   0   239k|   0  16.0 |4486  6446 |0.48 0.30 0.31|2.0   0 359|   0     0 |   0     0 |  8    3    0    4    1
Sep 29 12:41:38 ubuntu dstat.sh[113996]: 29-09 12:41:38| 15  18  65   0   0| 824M 1025M  179M 5569M|2344k   26k|   0    32k|   0  12.0 |4661  6669 |0.54 0.32 0.32|1.0   0 351|   0     0 |   0     0 |  8    3    0    4    1
Sep 29 12:41:39 ubuntu dstat.sh[113996]: 29-09 12:41:39| 20  19  59   2   0| 815M 1033M  179M 5571M|1882k   19k|   0  1808k|   0   159 |6158    11k|0.54 0.32 0.32|2.0 1.0 238|   0     0 |   0     0 |  8    3    0    4    1
Sep 29 12:41:40 ubuntu dstat.sh[113996]: 29-09 12:41:40| 23  15  58   2   0| 955M  889M  179M 5695M|2320k   27k|   0   435k|   0  34.0 |6256  9468 |0.54 0.32 0.32|  0   0  86|   0     0 |   0     0 |  9    3    0    4    1
Sep 29 12:41:41 ubuntu dstat.sh[113996]: 29-09 12:41:41| 12   8  80   0   0| 963M  881M  179M 5695M|  28k 2817 |   0    16k|   0  4.00 |1525  1926 |0.54 0.32 0.32|1.0   0  95|   0     0 |   0     0 |  9    5    0    4    1
Sep 29 12:41:42 ubuntu dstat.sh[113996]: 29-09 12:41:42| 16  10  72   0   0| 966M  879M  179M 5695M|  54k   14k|   0   300k|   0  21.0 |2136  3151 |0.58 0.33 0.32|1.0   0 191|   0     0 |   0     0 |  9    5    0    6    1
Sep 29 12:41:43 ubuntu dstat.sh[113996]: 29-09 12:41:43| 23   2  72   3   0|1016M  828M  179M 5695M|  85k 2213 | 152k  536k|8.00  13.0 |1163  1311 |0.58 0.33 0.32|1.0   0   0|   0     0 |   0     0 |  9    5    0    6    1
Sep 29 12:41:44 ubuntu dstat.sh[113996]: 29-09 12:41:44| 25   2  71   1   0|1025M  817M  179M 5696M| 373k 4208 |  44k 1237k|6.00  9.00 |1381  1959 |0.58 0.33 0.32|1.0   0   0|   0     0 |   0     0 |  9    5    0    6    1
Sep 29 12:41:45 ubuntu dstat.sh[113996]: 29-09 12:41:45|  8   3  68  19   0|1042M  797M  179M 5699M| 453k   16k|  16k 8587k|2.00   656 |4732  9569 |0.58 0.33 0.32|3.0   0  10|   0     0 |   0     0 |  9    7    0    6    1
Sep 29 12:41:46 ubuntu dstat.sh[113996]: 29-09 12:41:46|  8   3  66  21   0|1047M  789M  179M 5702M| 731k   13k|   0    30M|   0   799 |4955    10k|0.58 0.33 0.32|  0 1.0 3.0|   0     0 |   0     0 |  9    7    0    6    1
Sep 29 12:41:47 ubuntu dstat.sh[113996]: 29-09 12:41:47|  7   4  60  26   0|1049M  785M  180M 5704M| 819k   15k|   0    17M|   0  1269 |7729    13k|0.77 0.37 0.34|2.0   0  21|   0     0 |   0     0 |  9    7    0    6    1
Sep 29 12:41:48 ubuntu dstat.sh[113996]: 29-09 12:41:48| 64   7  17  10   0|1054M  775M  180M 5709M|  25k 8259 |   0    14M|   0  1057 |  15k   46k|0.77 0.37 0.34|  0 2.0  22|   0     0 |   0     0 |  9    7    0    6    1
Sep 29 12:41:49 ubuntu dstat.sh[113996]: 29-09 12:41:49|  9   9  55  27   0|1030M  797M  180M 5710M|  17k 7354 |   0    24M|   0  1489 |8084    15k|0.77 0.37 0.34|  0 1.0 121|   0     0 |   0     0 |  9    7    1    6    0
Sep 29 12:41:50 ubuntu dstat.sh[113996]: 29-09 12:41:50| 15   3  68  12   0|1036M  790M  181M 5711M|  22k   12k|   0  5068k|   0   533 |4342  8029 |0.77 0.37 0.34|1.0   0  17|   0     0 |   0     0 |  9    6    0    6    0
Sep 29 12:41:51 ubuntu dstat.sh[113996]: 29-09 12:41:51| 24  14  58   3   0| 981M  833M  181M 5720M|  28k 2446 |   0  9711k|   0   575 |3332  5325 |0.77 0.37 0.34|2.0   0 204|   0     0 |   0     0 |  9    4    0    7    0
Sep 29 12:41:52 ubuntu dstat.sh[113996]: 29-09 12:41:52| 40  11  49   0   0|1056M  758M  181M 5720M|9948  1622 |   0  4100B|   0  1.00 |1678  1893 |0.87 0.40 0.35|2.0   0 113|   0     0 |   0     0 |  9    4    0    7    0
Sep 29 12:41:53 ubuntu dstat.sh[113996]: 29-09 12:41:53| 37   3  58   1   0| 996M  818M  181M 5720M|  22k 1853 |   0  4898k|   0   207 |1697  2294 |0.87 0.40 0.35|1.0   0  12|   0     0 |   0     0 |  9    5    0    7    0
Sep 29 12:41:54 ubuntu dstat.sh[113996]: 29-09 12:41:54| 24   3  73   0   0|1054M  760M  181M 5720M|  17k 2615 |   0   128k|   0  10.0 |1111  1166 |0.87 0.40 0.35|1.0   0   0|   0     0 |   0     0 |  9    5    0    7    0
Sep 29 12:41:55 ubuntu dstat.sh[113996]: 29-09 12:41:55| 26   3  70   1   0| 978M  836M  181M 5720M|  15k 2771 |   0   100k|   0  3.00 |1320  1497 |0.87 0.40 0.35|1.0   0  49|   0     0 |   0     0 |  9    6    0    7    0
Sep 29 12:41:56 ubuntu dstat.sh[113996]: 29-09 12:41:56| 18  20  61   1   0| 980M  834M  181M 5720M|  18k 3864 |   0  3139k|   0   211 |3297    10k|0.87 0.40 0.35|1.0   0 411|   0     0 |   0     0 |  9    6    0    8    0
Sep 29 12:41:57 ubuntu dstat.sh[113996]: 29-09 12:41:57| 13  19  65   0   0| 983M  830M  181M 5720M|  38k 2892 |   0    32k|   0  7.99 |2984  5894 |0.88 0.41 0.35|1.0   0 328|   0     0 |   0     0 |  9    6    0    8    0
Sep 29 12:41:58 ubuntu dstat.sh[113996]: 29-09 12:41:58| 28  19  51   2   0|1026M  787M  181M 5721M|  86k 3444 | 196k  260k|3.00  3.00 |3240  6478 |0.88 0.41 0.35|3.0   0 169|   0     0 |   0     0 |  9    6    0    7    0
