"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","14 Jan 2026 18:49:42 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
14-01 18:49:42,,979148,1727544,160632,4953844,,,,,,,1.190,0.880,0.490,5,0,,,,10,4,0,17,1
14-01 18:49:43,13.491,20.736,63.956,0.749,0.250,993868,1712436,160760,4954048,39464.796,10425.813,0,2478.292,0,149.897,6835,5794,1.190,0.880,0.490,1,0,500.655,0,0,10,5,0,17,1
14-01 18:49:44,25.020,18.515,55.794,0.250,0,979704,1725772,160924,4954552,23913.903,12321.740,0,1805.427,0,62.049,6053,6186,1.190,0.880,0.490,2,0,353.279,0,0,10,5,0,17,1
14-01 18:49:45,30.233,15.741,51.970,0.500,0.250,992748,1712112,161056,4954884,38487.981,10517.983,0,1219.302,0,38.978,6911,7934,1.250,0.890,0.500,1,1,274.843,0,0,10,5,0,17,1
14-01 18:49:46,25.506,11.253,62.265,0.500,0,1142384,1561644,161192,5080220,25168.065,11726.826,16.004,1304.314,1.000,47.011,4347,3650,1.250,0.890,0.500,1,0,108.026,0,0,11,6,0,17,2
14-01 18:49:47,27.690,11.226,59.622,0.499,0,1159012,1527224,161408,5097172,198726.818,13793.350,15.966,7360.179,0.998,147.683,4665,3455,1.250,0.890,0.500,2,0,183.605,0,0,11,6,0,19,2
14-01 18:49:48,43.237,6.248,48.735,1.250,0,1229688,1435316,162856,5113148,6720.971,1619.511,15.995,2995.096,1.000,74.977,3062,1762,1.250,0.890,0.500,3,0,1.000,0,0,11,6,0,19,2
14-01 18:49:49,38.345,5.764,47.618,7.769,0,1255436,1388096,163720,5131592,9363.143,1624.014,0,18024.552,0,1242.070,8850,10929,1.250,0.890,0.500,4,0,10.025,0,0,11,8,0,19,2
14-01 18:49:50,30.683,7.234,45.401,14.967,0,1267164,1348152,165208,5156292,7374.969,1616.486,0,38264.822,0,2705.120,15542,22039,1.310,0.910,0.500,2,1,44.902,0,0,11,8,0,19,2
14-01 18:49:51,36.986,9.246,40.484,11.496,0.500,1237020,1360972,166496,5170004,9592.272,1619.371,0,39700.569,0,2587.994,12767,16433,1.310,0.910,0.500,4,0,102.960,0,0,11,6,0,19,2
14-01 18:49:52,42.751,6.750,48.002,2.000,0.250,1307268,1261064,167548,5196020,8367.262,1458.046,0,10332.324,0,587.018,3590,2275,1.310,0.910,0.500,2,0,0,0,0,11,6,0,19,2
14-01 18:49:53,41.830,4.008,51.097,1.753,0,1320356,1261772,167928,5181500,15731.945,4350.281,0,8311.821,0,432.824,3988,3020,1.310,0.910,0.500,4,0,10.019,0,0,11,4,0,19,0
14-01 18:49:54,43.419,6.238,49.159,0.250,0,1290300,1291760,167940,5181556,9083.134,2109.084,0,822.473,0,16.968,3197,1875,1.310,0.910,0.500,3,0,34.935,0,0,11,5,0,19,0
14-01 18:49:55,36.332,10.524,52.619,0.251,0,1223212,1351408,168048,5188100,11480.035,3413.742,0,1302.955,0,15.034,3886,2494,1.370,0.930,0.510,3,0,165.375,0,0,11,4,0,19,0
14-01 18:49:56,25.725,22.728,49.951,0.250,0,1202812,1363976,168536,5194048,16829.348,4546.501,0,1490.525,0,28.971,6527,5247,1.370,0.930,0.510,4,0,500.505,0,0,11,4,0,19,1
14-01 18:49:57,40.693,18.474,38.696,0,0.250,1152256,1413572,168636,5195032,10312.625,1725.595,0,199.722,0,4.993,14515,24505,1.370,0.930,0.510,4,0,252.648,0,0,11,4,0,19,0
