"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Sep 2024 03:47:04 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-09 03:47:04,,1072580,1855616,165296,4721264,,,,,,,1.950,1.120,0.560,6,0,,,,9,6,0,17,2
17-09 03:47:05,47.001,27.751,24.251,0,0.250,1079316,1848160,165300,4721688,5452.120,2062.045,324.007,1324.029,3.000,80.002,4045,7679,1.950,1.120,0.560,4,0,726.016,0,0,9,4,0,17,2
17-09 03:47:06,41.933,22.215,34.945,0.499,0,1071280,1840112,165352,4737012,930296.689,17023.966,1162.154,2703.707,13.978,80.872,4827,7778,1.950,1.120,0.560,6,0,351.442,0,0,9,6,0,17,2
17-09 03:47:07,55.072,15.771,26.535,1.001,0,1210368,1676920,166040,4881844,382782.445,4151.438,0,5118.706,0,157.206,5547,12863,1.950,1.130,0.570,5,0,148.194,0,0,10,6,0,17,2
17-09 03:47:08,48.759,13.252,36.256,0.750,0,1221260,1632872,167244,4910712,1199730.953,19472.408,80.014,3536.619,1.000,137.024,3361,4250,1.950,1.130,0.570,4,0,213.037,0,0,10,8,0,19,2
17-09 03:47:09,65.007,5.751,28.003,0.500,0.500,1190424,1673468,167532,4899908,119358.294,5627.580,0,3768.388,0,56.006,1643,1828,1.950,1.130,0.570,4,0,8.001,0,0,10,4,0,19,0
17-09 03:47:10,52.529,9.005,32.768,4.252,0,1262216,1596204,167652,4905120,777574.554,15517.612,0,12979.203,0,861.478,13693,25098,1.950,1.130,0.570,5,0,29.016,0,0,10,8,0,19,0
17-09 03:47:11,52.719,10.994,25.735,10.244,0,1274524,1575668,168128,4912760,575875.234,6200.342,0,38125.506,0,3069.189,19121,37268,1.950,1.130,0.570,4,0,66.960,0,0,10,6,0,19,0
17-09 03:47:12,53.252,10.000,32.001,3.750,0,1163368,1685848,168404,4913352,141600.947,7325.308,0,28173.183,0,1894.080,7037,12069,1.950,1.150,0.580,3,0,97.004,0,0,10,6,0,19,0
