"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","27 Nov 2024 13:37:49 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
27-11 13:37:49,,1003140,1971844,164304,4676788,,,,,,,1.610,0.980,0.530,5,0,,,,9,6,0,16,0
27-11 13:37:50,40.992,21.246,36.993,0.250,0.250,1041608,1932712,164332,4677416,43940.651,15080.135,0,1939.631,0,75.986,4122,6821,1.610,0.980,0.530,2,0,535.898,0,0,9,6,0,16,1
27-11 13:37:51,23.966,19.223,54.922,0.250,0,1022680,1941520,164396,4687384,5267342.769,61920.701,0,2412.560,0,51.926,5759,9807,1.610,0.980,0.530,3,0,359.487,0,0,9,4,0,16,2
27-11 13:37:52,26.522,17.014,54.546,0.751,0,1136412,1808924,164528,4828816,1021703.252,13539.387,0,7882.629,0,109.092,5512,10302,1.560,0.980,0.530,2,0,165.139,0,0,10,4,0,16,2
27-11 13:37:53,37.524,12.008,49.032,1.251,0,1156148,1757816,165324,4856924,4753.056,1641.055,80.051,3610.321,1.001,147.095,2331,3678,1.560,0.980,0.530,2,0,187.120,0,0,10,6,0,16,2
27-11 13:37:54,41.498,8.750,48.748,1.000,0.250,1208472,1671832,166816,4885184,5145.784,1693.929,0,5227.780,0,155.993,2029,3296,1.560,0.980,0.530,2,0,98.996,0,0,10,6,0,18,2
27-11 13:37:55,39.730,2.998,55.222,1.249,0,1182872,1707160,167200,4874740,11130.312,4430.736,0,7388.225,0,466.761,3105,5297,1.560,0.980,0.530,2,2,11.994,0,0,10,6,0,18,0
27-11 13:37:56,33.016,7.754,43.771,14.257,0,1219092,1661236,168012,4883416,4807.327,1694.820,0,36809.816,0,3096.499,21474,44127,1.560,0.980,0.530,2,0,61.030,0,0,10,6,0,18,0
27-11 13:37:57,41.663,10.478,39.916,6.985,0.249,1169868,1709532,168192,4884112,4676.185,1690.452,0,31158.598,0,1915.978,15522,29036,1.760,1.030,0.550,2,0,102.784,0,0,10,4,0,18,0
27-11 13:37:58,45.289,5.004,48.792,0,0,1187424,1691848,168200,4884160,7425.334,1695.446,0,1289.100,0,52.044,1414,1464,1.760,1.030,0.550,2,0,10.009,0,0,10,4,0,18,0
27-11 13:37:59,39.718,6.245,52.707,0.999,0,1137332,1741904,168228,4884144,5713.361,1734.592,0,7374.012,0,392.681,2441,3256,1.760,1.030,0.550,1,0,62.949,0,0,10,4,0,18,0
27-11 13:38:00,23.253,2.250,73.761,0,0.250,1084712,1794488,168228,4884180,5029.729,1586.230,0,2352.341,0,139.020,1250,1394,1.760,1.030,0.550,1,0,2.000,0,0,10,4,0,18,0
27-11 13:38:01,10.266,18.528,69.857,0.250,0.501,1079268,1799752,168232,4884344,5862.959,1642.510,0,977.494,0,147.225,3053,4371,1.760,1.030,0.550,1,0,382.585,0,0,10,4,0,18,0
27-11 13:38:02,13.500,17.500,67.501,0,0,1077256,1801572,168232,4884372,5293.074,1694.024,0,168.002,0,14.000,4265,7460,1.690,1.030,0.550,1,0,372.005,0,0,10,4,0,18,0
27-11 13:38:03,39.915,9.230,50.393,0,0,1158016,1720648,168232,4884932,5225.931,1690.420,0,0,0,0,3542,5574,1.690,1.030,0.550,2,0,158.664,0,0,10,5,0,18,0
27-11 13:38:04,47.500,3.500,49.250,0,0,1220348,1657696,168248,4885396,9239.917,1693.985,0,443.996,0,49.000,1259,1189,1.690,1.030,0.550,2,0,0,0,0,10,5,0,18,0
27-11 13:38:05,26.507,10.003,62.766,0,0,1249072,1626228,168304,4887816,5864.537,1694.444,0,728.191,0,92.024,1924,5837,1.690,1.030,0.550,0,0,118.031,0,0,10,4,0,19,0
27-11 13:38:06,0.500,0.500,98.960,0,0,1249072,1626228,168304,4887816,5413.829,1693.321,0,0,0,0,573,914,1.690,1.030,0.550,0,0,0,0,0,10,4,0,19,0
27-11 13:38:07,23.008,4.001,70.274,0.750,0.250,1322832,1552416,168344,4887816,5214.783,1586.543,0,21263.272,0,513.176,2433,2200,1.640,1.030,0.550,1,0,21.007,0,0,10,4,0,19,0
27-11 13:38:08,23.994,3.249,72.981,0.500,0,1354748,1520388,168352,4888036,5392.609,1639.577,0,1011.739,0,74.981,1742,2768,1.640,1.030,0.550,1,0,1.000,0,0,10,10,0,19,0
27-11 13:38:09,21.760,4.502,71.782,1.501,0.250,1270712,1604368,168396,4888048,5327.408,1694.766,0,3129.414,0,274.124,2783,4330,1.640,1.030,0.550,1,0,42.019,0,0,10,4,0,21,0
27-11 13:38:10,21.492,3.749,72.973,0.750,0.250,1305688,1568836,168396,4888492,4875.225,1693.384,231.916,1323.518,57.979,23.991,1703,2612,1.640,1.030,0.550,1,0,1.000,0,0,10,25,0,15,0
27-11 13:38:11,21.999,4.750,72.746,0.250,0,1313568,1560952,168396,4888496,5907.663,1693.903,0,903.948,0,16.999,1351,1874,1.640,1.030,0.550,1,0,45.997,0,0,10,28,0,15,0
27-11 13:38:12,25.028,10.262,64.823,0,0.250,1315836,1558644,168396,4888536,11383.841,1695.913,0,7472.429,0,19.021,2125,3262,1.590,1.030,0.560,4,0,156.176,0,0,10,28,0,15,0
27-11 13:38:13,45.555,6.258,48.058,0,0,1399288,1474620,168396,4888908,5881.098,1682.030,0,32399.106,0,92.111,3028,5623,1.590,1.030,0.560,5,0,0,0,0,10,29,0,15,0
27-11 13:38:14,61.994,19.498,16.748,0,0.250,1445660,1428180,168396,4888972,5642.470,1693.841,0,435.959,0,37.996,3016,5943,1.590,1.030,0.560,6,0,433.959,0,0,10,28,0,16,0
27-11 13:38:15,80.742,13.749,4.000,0.250,0,1600788,1272808,168396,4889204,5502.488,1735.839,0,199.981,0,17.998,5148,12637,1.590,1.030,0.560,6,0,143.987,0,0,10,29,0,16,0
27-11 13:38:16,53.138,13.472,32.432,0,0,1359784,1513588,168396,4889408,5476.477,1636.557,0,4358.829,0,166.649,3407,6716,1.590,1.030,0.560,1,0,249.475,0,0,10,28,0,16,0
27-11 13:38:17,21.043,5.261,73.148,0,0,1356164,1517204,168396,4889412,7008.163,1697.431,0,104.211,0,8.016,1479,2008,1.540,1.030,0.560,1,0,60.122,0,0,10,28,0,16,0
27-11 13:38:18,20.450,6.235,72.073,0.249,0.499,1323788,1549544,168404,4889428,6568.906,1689.860,0,6835.254,0,44.890,2128,3758,1.540,1.030,0.560,1,0,67.834,0,0,10,28,0,16,0
27-11 13:38:19,24.764,1.751,73.042,0,0,1358260,1515048,168404,4889452,6051.516,1694.985,0,164.095,0,21.012,1657,3127,1.540,1.030,0.560,1,0,0,0,0,10,28,0,16,0
27-11 13:38:20,10.022,21.297,68.902,0.251,0.501,1299032,1574260,168412,4889460,6230.714,1631.591,0,1042.294,0,60.132,2854,3983,1.540,1.030,0.560,1,0,392.865,0,0,10,28,0,16,0
27-11 13:38:21,60.254,21.251,18.001,0,0,1467540,1405708,168412,4889504,7149.436,1694.103,0,2392.146,0,30.002,3020,5183,1.540,1.030,0.560,5,0,647.039,0,0,10,28,0,16,0
27-11 13:38:22,80.811,9.977,7.732,0,0,1543364,1329680,168412,4889700,7252.023,1690.044,0,219.486,0,18.956,4495,11355,1.820,1.090,0.580,5,0,29.930,0,0,10,31,0,14,0
27-11 13:38:23,83.947,11.026,4.009,0,0,1457796,1415152,168412,4889900,5040.826,1697.983,0,15163.574,0,91.214,4697,9711,1.820,1.090,0.580,5,0,92.216,0,0,10,28,0,14,0
27-11 13:38:24,80.248,14.500,5.000,0,0.500,1539000,1333436,168412,4890408,8953.749,1639.954,0,227.994,0,14.000,5675,11565,1.820,1.090,0.580,5,0,237.993,0,0,10,30,0,14,0
27-11 13:38:25,66.736,11.248,21.245,0,0,1418056,1454160,168416,4890620,7034.509,1693.641,0,351.925,0,24.995,3827,10801,1.820,1.090,0.580,2,0,149.968,0,0,10,29,0,14,0
27-11 13:38:26,42.156,8.731,48.143,0.249,0,1407048,1465144,168424,4890636,5855.982,1690.243,0,259.423,0,20.953,2129,3484,1.820,1.090,0.580,3,0,97.783,0,0,10,28,0,15,0
27-11 13:38:27,44.503,17.251,37.253,0,0,1347700,1524288,168432,4890828,5287.381,1586.114,0,264.019,0,29.002,4217,8891,1.830,1.110,0.590,4,0,378.027,0,0,10,28,0,16,0
27-11 13:38:28,66.383,9.483,24.207,0,0.250,1480524,1391456,168436,4890988,5337.585,1691.017,0,53485.651,0,111.803,3165,5389,1.830,1.110,0.590,4,0,0,0,0,10,31,0,16,0
27-11 13:38:29,69.786,15.564,14.560,0,0.251,1458916,1412984,168448,4891040,7589.077,1700.965,0,473.941,0,45.185,4454,8299,1.830,1.110,0.590,5,0,259.061,0,0,10,28,0,18,0
27-11 13:38:30,69.362,8.234,21.956,0,0,1542608,1329068,168456,4891252,8555.001,1690.641,0,231.540,0,15.968,4854,12697,1.830,1.110,0.590,6,0,0,0,0,10,30,0,24,0
27-11 13:38:31,67.469,14.993,17.242,0.250,0.250,1466612,1405028,168456,4891288,7111.764,1693.230,0,295.865,0,24.989,2054,4371,1.830,1.110,0.590,4,0,324.852,0,0,10,28,0,25,0
27-11 13:38:32,61.137,13.029,25.056,0.251,0,1365136,1506292,168472,4891444,7342.454,1643.683,0,3327.457,0,134.301,4054,11269,1.850,1.120,0.600,4,0,299.672,0,0,10,28,0,28,0
27-11 13:38:33,64.599,5.986,28.184,0,0,1487796,1383344,168476,4891728,5661.785,1690.055,0,327.236,0,23.944,2514,6193,1.850,1.120,0.600,3,0,0,0,0,10,31,0,28,0
27-11 13:38:34,59.772,16.506,22.508,0,0,1427496,1443580,168484,4891780,5540.995,1586.571,0,352.127,0,28.010,2815,5966,1.850,1.120,0.600,3,0,287.103,0,0,10,28,0,28,0
27-11 13:38:35,57.877,11.024,30.317,0.251,0.501,1313852,1556620,168508,4892356,5938.028,1697.725,0,356.783,0,33.073,3549,8471,1.850,1.120,0.600,3,0,112.246,0,0,10,28,0,32,0
27-11 13:38:36,65.998,7.500,26.499,0,0.250,1482512,1387812,168508,4892504,6655.774,1693.942,0,191.993,0,9.000,1991,3174,1.850,1.120,0.600,2,0,0,0,0,10,30,0,32,0
27-11 13:38:37,67.003,16.251,16.251,0,0,1441356,1428712,168512,4892724,9275.482,1694.088,0,552.029,0,55.003,4484,9157,1.940,1.160,0.610,6,0,407.021,0,0,10,28,0,34,0
27-11 13:38:38,81.554,15.760,2.502,0,0.250,1542820,1327100,168524,4892960,6947.592,1695.120,0,6039.992,0,314.208,4044,7883,1.940,1.160,0.610,8,0,195.129,0,0,10,28,0,36,0
27-11 13:38:39,81.699,15.740,1.749,0,0,1477440,1392272,168536,4893156,5925.267,1692.933,0,723.544,0,37.976,3002,6218,1.940,1.160,0.610,7,0,335.788,0,0,10,28,0,33,0
27-11 13:38:40,79.203,16.990,2.499,0,0,1572896,1296600,168536,4893368,6010.406,1692.988,0,307.816,0,21.987,4131,9474,1.940,1.160,0.610,8,0,191.885,0,0,10,28,0,35,1
27-11 13:38:41,65.289,24.015,11.757,0,0,1376040,1493232,168544,4893576,7943.798,1532.926,0,500.302,0,26.016,5592,12896,1.940,1.160,0.610,3,0,554.335,0,0,10,29,0,35,0
27-11 13:38:42,13.747,23.994,60.485,0,0,1314500,1554724,168544,4893620,10116.572,1693.594,0,207.950,0,8.998,3454,5396,1.860,1.150,0.610,2,0,519.875,0,0,10,28,0,35,0
27-11 13:38:43,17.753,27.005,55.010,0.500,0.750,1326708,1542484,168544,4893652,5662.047,1764.326,0,416.077,0,18.003,4225,8708,1.860,1.150,0.610,3,0,789.146,0,0,10,28,0,35,0
27-11 13:38:44,73.255,22.502,3.000,0,0,1516260,1352884,168548,4893696,5791.388,1694.114,0,708.047,0,44.003,3208,6249,1.860,1.150,0.610,4,0,502.034,0,0,10,29,0,35,0
27-11 13:38:45,75.485,14.997,7.748,0,0.250,1386692,1482212,168560,4893916,5695.861,1693.661,0,2379.524,0,159.968,5626,11363,1.860,1.150,0.610,4,0,256.949,0,0,10,28,0,35,0
27-11 13:38:46,78.566,11.224,9.478,0,0,1534928,1333784,168560,4894104,7948.377,1731.942,0,295.308,0,15.963,5350,10579,1.860,1.150,0.610,4,0,10.974,0,0,10,30,0,35,0
27-11 13:38:47,53.074,8.011,38.053,0,0,1489504,1378948,168560,4894356,6136.591,1696.375,0,188.264,0,16.022,8642,18969,1.870,1.170,0.620,3,0,30.042,0,0,10,31,0,33,0
27-11 13:38:48,78.073,11.010,9.259,0,0.250,1442928,1425284,168580,4894564,5542.154,1533.426,0,4532.215,0,164.153,6229,12224,1.870,1.170,0.620,4,0,92.086,0,0,10,28,0,37,0
27-11 13:38:49,75.641,8.238,15.977,0,0,1539728,1328264,168580,4894776,8449.815,1691.561,0,171.752,0,6.990,5310,11536,1.870,1.170,0.620,3,0,0,0,0,10,32,0,41,0
27-11 13:38:50,67.097,7.761,22.783,0,0,1474224,1393476,168580,4895060,6238.984,1738.503,0,152.219,0,8.012,7269,16614,1.870,1.170,0.620,4,0,75.108,0,0,10,29,0,49,0
27-11 13:38:51,77.248,15.750,6.500,0,0.250,1507584,1359776,168588,4895384,5674.869,1619.963,0,131.997,0,7.000,6257,11643,1.870,1.170,0.620,4,0,200.995,0,0,10,29,0,49,0
27-11 13:38:52,73.254,13.501,11.251,0,0.250,1387360,1479788,168596,4895584,6400.358,1694.095,0,212.012,0,19.001,5436,10944,1.970,1.200,0.640,4,0,132.007,0,0,10,28,0,49,0
27-11 13:38:53,82.252,11.000,7.500,0,0,1540264,1326824,168600,4895636,4887.093,1694.032,0,1300.025,0,35.001,4427,8256,1.970,1.200,0.640,4,0,0,0,0,10,30,0,50,0
27-11 13:38:54,79.004,15.751,4.750,0,0.250,1477608,1389304,168600,4895808,5975.293,1694.083,0,268.013,0,22.001,3145,7326,1.970,1.200,0.640,4,0,239.012,0,0,10,28,0,51,0
27-11 13:38:55,69.500,11.250,17.250,0,0,1436652,1430028,168604,4896024,5807.977,1693.993,0,155.999,0,9.000,6410,14521,1.970,1.200,0.640,5,0,71.000,0,0,10,30,0,54,0
27-11 13:38:56,82.687,12.204,4.483,0,0.249,1528420,1338216,168608,4896060,6510.378,1526.228,0,155.412,0,9.962,2387,3601,1.970,1.200,0.640,4,0,91.653,0,0,10,29,0,54,0
27-11 13:38:57,72.527,12.799,14.556,0,0,1393044,1473344,168636,4896276,6756.831,1742.662,0,642.456,0,64.246,4359,11933,2.210,1.260,0.660,3,0,267.021,0,0,10,28,0,55,0
27-11 13:38:58,68.512,7.251,24.254,0.250,0.250,1430600,1435392,168648,4896640,6231.053,1694.286,0,308.052,0,21.004,2784,7823,2.210,1.260,0.660,3,0,36.006,0,0,10,29,0,58,0
27-11 13:38:59,59.112,16.461,24.193,0,0,1471420,1394464,168648,4896744,8493.109,1731.944,0,395.075,0,13.967,2526,3801,2.210,1.260,0.660,3,0,206.516,0,0,10,28,0,58,0
27-11 13:39:00,56.616,11.524,31.815,0,0.251,1349528,1515848,168664,4897228,5696.690,1697.483,0,460.946,0,43.088,5817,11838,2.210,1.260,0.660,2,0,158.325,0,0,10,28,0,63,0
