"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","10 Jun 2025 10:59:39 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
10-06 10:59:39,,1022728,1945488,164912,4680960,,,,,,,1.010,0.790,0.500,3,0,,,,9,7,3,16,0
10-06 10:59:40,25.221,18.229,54.188,0.499,0.250,1054604,1913044,164932,4681468,544374.780,20448.627,0,2365.296,0,92.894,4158,8049,1.010,0.790,0.510,1,0,540.382,0,0,9,8,3,16,0
10-06 10:59:41,21.743,17.744,58.981,0.500,0.250,1065524,1899776,164972,4683740,1080963.606,56357.627,0,1591.481,0,60.980,5524,7924,1.010,0.790,0.510,3,0,363.881,0,0,9,7,3,16,1
10-06 10:59:42,48.723,12.493,36.730,0.250,0,1180916,1774692,165040,4817816,179933.677,17157.529,0,3310.173,0,74.959,4928,6626,1.010,0.790,0.510,2,0,131.927,0,0,10,4,3,16,2
10-06 10:59:43,24.997,9.249,63.743,0.500,0,1204484,1749992,165064,4818784,276197.894,17320.112,0,2355.743,0,106.988,2210,2369,1.010,0.790,0.510,1,0,113.988,0,0,10,8,3,16,2
10-06 10:59:44,18.493,9.246,70.723,0.500,0,1238220,1713600,165104,4821384,1381753.170,40220.636,287.890,11291.687,12.995,374.857,4281,4278,1.010,0.790,0.510,2,0,174.933,0,0,10,8,3,18,2
10-06 10:59:45,59.384,7.016,31.320,1.002,0,1280652,1655252,165536,4834560,586293.160,14714.107,144.325,6779.253,4.009,96.216,2296,2464,1.170,0.830,0.520,3,0,3.007,0,0,10,6,3,18,2
10-06 10:59:46,48.401,8.483,30.687,12.724,0.499,1337756,1561468,166904,4867264,16927.434,5688.384,11.976,33527.537,0.998,2393.113,12571,21676,1.170,0.830,0.520,5,0,33.931,0,0,10,10,3,18,2
10-06 10:59:47,41.751,7.500,34.751,15.750,0,1286052,1575240,168720,4899844,1233239.665,15089.302,0,55909.118,0,3450.069,16630,30766,1.170,0.830,0.520,2,0,76.002,0,0,10,8,3,19,2
10-06 10:59:48,37.036,8.759,53.303,0.751,0.250,1145388,1726276,169052,4888628,12060.880,4371.306,388.383,6358.263,3.003,329.324,2380,3466,1.170,0.830,0.520,2,0,77.076,0,0,10,4,3,18,0
10-06 10:59:49,41.699,4.744,53.185,0,0,1238908,1632784,169064,4888692,10297.345,3545.642,0,1122.620,0,27.966,1255,1295,1.170,0.830,0.520,2,0,6.991,0,0,10,5,3,18,0
10-06 10:59:50,46.091,5.010,47.594,1.252,0.250,1197452,1666524,169436,4894904,8155.074,1797.543,0,6989.777,0,283.559,1858,2676,1.230,0.850,0.530,2,0,13.026,0,0,10,4,3,18,0
10-06 10:59:51,41.709,3.497,53.948,0,0,1218296,1637892,170016,4900752,19909.628,4690.436,3.996,1186.845,0.999,29.971,1475,1427,1.230,0.850,0.530,2,0,4.995,0,0,10,4,3,18,0
10-06 10:59:52,34.780,20.768,43.538,0,0,1139060,1716136,170116,4901472,11893.419,1459.278,0,112.098,0,8.007,10710,21036,1.230,0.850,0.530,2,0,552.484,0,0,10,4,3,18,0
10-06 10:59:53,36.368,20.426,40.852,0.498,0,1134756,1715348,170168,4906560,6817.219,1614.133,4256.528,187.319,47.826,6.975,12549,25495,1.230,0.850,0.530,5,0,275.997,0,0,10,4,3,18,0
10-06 10:59:54,66.133,12.275,21.042,0,0,1246120,1618416,170200,4893884,12535.146,1665.341,20.040,2032.076,4.008,17.034,1668,2180,1.230,0.850,0.530,3,0,130.261,0,0,10,5,3,12,0
10-06 10:59:55,58.861,5.009,35.316,0,0,1267924,1593932,170248,4896704,9480.814,1460.745,569.069,4.008,5.009,1.002,2009,4911,1.290,0.870,0.540,2,0,51.096,0,0,10,5,3,12,0
10-06 10:59:56,11.214,7.227,80.741,0,0,1274692,1586540,170248,4897284,5440.530,1730.444,0,11.962,0,1.994,1521,3067,1.290,0.870,0.540,0,0,117.622,0,0,10,4,3,12,0
10-06 10:59:57,18.998,3.750,76.242,0,0.500,1327248,1533976,170276,4897264,12868.687,1693.827,0,2591.736,0,112.988,1722,1900,1.290,0.870,0.540,1,0,20.998,0,0,10,4,3,12,0
10-06 10:59:58,23.799,1.754,74.152,0,0,1367804,1493180,170292,4897472,9519.534,1460.998,0,404.831,0,29.060,1091,1402,1.290,0.870,0.540,1,0,0,0,0,10,6,3,12,0
10-06 10:59:59,21.215,4.742,71.381,1.497,0,1304004,1556832,170368,4897544,6715.765,1691.171,0,3106.802,0,250.581,3179,5264,1.290,0.870,0.540,1,0,42.928,0,0,10,4,3,14,0
10-06 11:00:00,22.752,4.250,71.506,0.500,0,1350800,1509568,170384,4897912,8519.665,1620.126,276.022,22917.788,32.002,198.015,1846,2525,1.270,0.870,0.540,2,0,1.000,0,0,10,16,3,14,0
10-06 11:00:01,21.765,4.253,72.301,1.251,0,1339336,1520576,170400,4898304,5578.950,1459.033,160.113,4090.896,40.028,218.154,1954,2912,1.270,0.870,0.540,1,0,45.032,0,0,10,28,3,14,0
10-06 11:00:02,20.045,8.770,70.659,0,0,1312932,1546960,170404,4898316,5573.574,1623.663,0,20.045,0,5.011,1800,2680,1.270,0.870,0.540,5,0,140.317,0,0,10,28,3,14,0
10-06 11:00:03,44.895,5.238,48.885,0,0.249,1440368,1419504,170404,4898336,6302.202,1690.032,0,1113.386,0,151.644,1811,2374,1.270,0.870,0.540,2,0,15.963,0,0,10,29,3,15,0
10-06 11:00:04,51.870,14.784,32.575,0,0.251,1396316,1463184,170416,4898660,5945.705,1623.743,0,196.453,0,27.062,5146,9735,1.270,0.870,0.540,5,0,419.968,0,0,10,28,3,17,0
10-06 11:00:05,84.985,12.748,1.750,0,0.250,1608544,1250916,170416,4898700,6747.826,1619.718,0,33118.237,0,73.987,3273,5015,1.270,0.870,0.540,5,0,159.972,0,0,10,31,3,17,0
10-06 11:00:06,84.996,12.499,1.750,0.250,0.250,1452944,1406312,170428,4898920,5923.698,1457.926,0,2139.891,0,117.994,5382,11608,1.570,0.940,0.560,5,0,137.993,0,0,10,30,3,18,0
10-06 11:00:07,32.172,8.729,58.608,0,0,1358772,1500388,170432,4898976,8002.570,1616.076,0,215.477,0,27.932,3236,5236,1.570,0.940,0.560,3,0,171.583,0,0,10,28,3,18,0
