"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","09 Mar 2026 11:01:02 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
09-03 11:01:02,,958580,1454296,162464,5233868,,,,,,,1.340,0.970,0.560,3,0,,,,10,2,0,18,0
09-03 11:01:03,47.471,23.236,27.983,0,0,1032904,1374524,162696,5238316,9475.144,2073.718,0,3801.651,0,55.965,7205,6214,1.340,0.970,0.560,2,0,618.618,0,0,10,3,0,18,0
09-03 11:01:04,23.266,19.013,57.040,0,0,1019692,1387804,162712,5238196,228645.463,7637.360,0,580.407,0,24.017,6337,6207,2.040,1.120,0.610,1,0,385.270,0,0,10,3,0,17,0
09-03 11:01:05,18.468,14.725,65.138,0,0,1089556,1317700,162716,5305900,11298.653,3188.540,0,143.754,0,6.988,6146,7367,2.040,1.120,0.610,4,0,195.665,0,0,11,4,0,17,0
09-03 11:01:06,7.513,7.012,85.152,0,0.501,1149864,1257220,162720,5363276,12330.949,3178.658,0,4.007,0,1.002,2478,2186,2.040,1.120,0.610,1,0,82.146,0,0,11,6,0,17,0
09-03 11:01:07,25.757,12.003,60.266,0.500,0,1143612,1262976,162812,5363584,25990.983,7723.075,0,1016.273,0,37.010,4259,2812,2.040,1.120,0.610,2,0,181.049,0,0,11,7,0,18,0
09-03 11:01:08,30.926,5.237,62.849,0.499,0.249,1208292,1197008,162964,5364476,45037.892,14434.352,0,3156.423,0,72.825,3087,2240,2.040,1.120,0.610,1,0,30.926,0,0,11,8,0,19,0
09-03 11:01:09,37.268,4.252,56.777,0.750,0.250,1257380,1146196,163132,5365604,25412.963,12151.720,0,2993.409,0,96.045,3004,2093,2.030,1.140,0.620,3,0,1.000,0,0,11,10,0,19,0
09-03 11:01:10,21.027,5.257,55.821,15.770,0,1267124,1127548,164176,5373012,47565.672,13624.378,0,35156.844,0,2896.695,15580,23727,2.030,1.140,0.620,1,1,51.065,0,0,11,9,0,19,1
09-03 11:01:11,27.206,8.486,48.171,14.227,0,1194120,1179788,165320,5391796,189192.077,16579.927,0,39974.727,0,2786.450,14707,21187,2.030,1.140,0.620,3,0,104.829,0,0,11,7,0,19,1
09-03 11:01:12,43.075,7.263,48.585,1.002,0,1257388,1099944,166300,5404984,6093.599,1797.126,0,7056.274,0,132.230,3163,1961,2.030,1.140,0.620,2,0,1.002,0,0,11,6,0,19,2
09-03 11:01:13,44.999,4.750,45.749,3.250,0,1250616,1088144,166820,5420992,4961.903,1619.968,0,10047.804,0,515.990,4552,3699,2.030,1.140,0.620,1,1,10.000,0,0,11,6,0,19,2
09-03 11:01:14,42.728,6.497,48.725,1.749,0,1266456,1045088,167896,5444208,9434.152,1713.120,0,3582.159,0,213.890,3656,2574,2.030,1.150,0.630,2,0,0,0,0,11,6,0,19,2
09-03 11:01:15,41.741,7.998,48.239,1.000,0,1252336,1029140,168832,5470652,5187.835,1457.673,0,2531.431,0,140.968,3965,2734,2.030,1.150,0.630,5,0,100.977,0,0,11,6,0,19,2
09-03 11:01:16,26.286,20.778,49.317,1.502,0.501,1271804,1019248,169356,5459652,15962.760,4351.932,0,6316.611,0,473.646,6810,5399,2.030,1.150,0.630,3,0,488.666,0,0,11,4,0,19,0
09-03 11:01:17,37.997,17.748,43.496,0.250,0,1179204,1111648,169388,5459820,10760.012,2957.728,0,927.915,0,17.998,6510,8436,2.030,1.150,0.630,1,1,296.973,0,0,11,5,0,19,0
09-03 11:01:18,64.257,12.453,22.664,0,0.249,1266872,1017392,169568,5465984,10114.819,2621.106,0,1235.337,0,12.951,4384,2344,2.030,1.150,0.630,3,0,126.522,0,0,11,5,0,19,0
09-03 11:01:19,59.535,9.506,29.017,0.500,0,1330560,946424,170136,5471420,17539.245,4735.766,0,2101.227,0,100.058,3882,1737,2.110,1.180,0.640,4,0,18.011,0,0,11,5,0,19,0
09-03 11:01:20,57.937,15.049,26.084,0,0,1378544,894868,170216,5474460,5226.910,1625.258,0,971.142,0,70.227,17184,30666,2.110,1.180,0.640,2,0,135.438,0,0,11,4,0,19,0
09-03 11:01:21,31.929,10.477,55.875,0.998,0,1376748,909124,170252,5463312,5275.217,1616.389,0,4138.755,0,222.503,7272,10459,2.110,1.180,0.640,3,0,38.913,0,0,11,4,0,19,0
09-03 11:01:22,45.092,5.762,48.349,0.251,0,1410260,875556,170252,5463344,10088.592,1460.982,0,15992.642,0,160.327,3335,1581,2.110,1.180,0.640,2,0,25.051,0,0,11,4,0,19,0
09-03 11:01:23,24.183,4.238,67.813,1.745,0.249,1434216,851364,170320,5463576,6960.783,1615.540,0,4024.888,0,388.926,4548,5286,2.110,1.180,0.640,1,0,50.860,0,0,11,10,0,19,0
09-03 11:01:24,20.249,5.250,73.248,0,0,1372204,913092,170584,5463588,10159.661,1619.946,271.991,0,10.000,0,2212,1535,2.020,1.180,0.640,3,0,41.999,0,0,11,4,0,21,0
09-03 11:01:25,24.501,2.250,73.254,0,0.250,1392120,892944,170592,5463780,8712.438,1620.081,0,1208.061,0,67.003,2528,2274,2.020,1.180,0.640,1,0,1.000,0,0,11,16,0,21,0
09-03 11:01:26,20.998,5.000,72.745,0.500,0,1378400,906324,170632,5464032,8708.346,1619.878,267.980,7.999,65.995,2.000,2851,2311,2.020,1.180,0.640,1,0,44.997,0,0,11,28,0,21,0
09-03 11:01:27,23.004,3.001,72.763,0.500,0.250,1400808,883900,170632,5464044,11371.972,1458.253,0,7357.276,0,336.058,2835,1748,2.020,1.180,0.640,1,0,0,0,0,11,28,0,21,0
09-03 11:01:28,31.996,12.249,54.744,0,0.250,1472684,812004,170632,5464064,6325.303,1619.821,0,11.999,0,3.000,3678,2406,2.020,1.180,0.640,2,0,156.983,0,0,11,28,0,21,0
09-03 11:01:29,46.241,4.999,47.991,0.500,0,1510260,774352,170636,5464272,8509.372,1619.690,0,1223.766,0,22.996,5830,7867,2.020,1.190,0.650,3,0,0,0,0,11,28,0,17,0
09-03 11:01:30,64.437,26.828,8.776,0,0,1522504,762056,170636,5464316,7596.080,1624.723,0,48.140,0,12.035,5902,4910,2.020,1.190,0.650,6,0,579.685,0,0,11,28,0,17,0
09-03 11:01:31,86.467,11.995,1.000,0,0,1715316,569048,170640,5464504,5019.092,1619.384,0,2531.038,0,25.990,6505,5651,2.020,1.190,0.650,6,0,0,0,0,11,31,0,17,0
09-03 11:01:32,79.046,13.508,7.254,0.250,0,1602464,681812,170644,5464576,8894.231,1620.953,0,31806.706,0,282.166,8566,13144,2.020,1.190,0.650,3,0,208.122,0,0,11,28,0,17,0
09-03 11:01:33,19.926,7.472,71.237,0.249,0.249,1514784,769480,170644,5464588,7687.575,1614.032,0,255.057,0,14.945,2851,2194,2.020,1.190,0.650,2,0,101.624,0,0,11,28,0,17,0
09-03 11:01:34,21.059,5.265,72.453,0,0,1493372,790868,170648,5464608,11131.223,1462.101,0,958.689,0,25.070,3451,3715,2.020,1.210,0.660,2,0,68.191,0,0,11,28,0,17,0
09-03 11:01:35,22.244,3.999,73.480,0,0.250,1494212,789892,170652,5464740,7639.896,1619.554,0,151.958,0,9.997,2155,1790,2.020,1.210,0.660,1,0,0,0,0,11,28,0,17,0
09-03 11:01:36,15.265,12.762,70.067,0.500,0.250,1453960,830100,170672,5464764,5796.581,1621.561,0,1389.338,0,86.083,5094,4824,2.020,1.210,0.660,2,0,264.254,0,0,11,28,0,17,0
09-03 11:01:37,36.477,29.482,33.729,0,0,1456936,827096,170672,5464808,8484.688,1618.986,0,12720.036,0,65.959,6616,5762,2.020,1.210,0.660,6,0,773.516,0,0,11,28,0,15,0
09-03 11:01:38,88.326,11.009,0.250,0,0,1657396,626624,170672,5464820,9531.167,1621.389,0,992.851,0,8.007,5651,3721,2.020,1.210,0.660,5,0,1.001,0,0,11,28,0,15,0
