"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","10 Jul 2025 10:32:40 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
10-07 10:32:40,,978804,1912196,166520,4747264,,,,,,,0.940,0.710,0.400,3,0,,,,9,6,3,16,0
10-07 10:32:41,23.719,19.724,55.178,0.250,0.250,996640,1894044,166548,4747432,243718.703,16512.435,0,2664.520,0,105.862,4045,6689,0.950,0.710,0.410,2,0,560.268,0,0,9,6,3,16,0
10-07 10:32:42,27.000,17.000,54.250,0.500,0,1005032,1884816,166584,4748140,50413.151,14820.044,0,2044.006,0,79.000,4064,7964,0.950,0.710,0.410,2,0,406.001,0,0,9,5,3,16,1
10-07 10:32:43,22.194,13.217,61.843,0.249,0,1139368,1740256,166592,4882932,627689.064,19744.986,0,989.494,0,30.922,5865,10532,0.950,0.710,0.410,2,0,157.601,0,0,10,6,3,16,2
10-07 10:32:44,32.310,12.774,54.101,0.751,0,1142396,1721884,166948,4895956,419524.350,11052.691,80.150,7057.211,1.002,107.201,3185,3767,0.950,0.710,0.410,2,0,206.386,0,0,10,6,3,18,2
10-07 10:32:45,43.435,5.991,49.676,0.250,0,1217784,1625580,167608,4913680,9082.476,1583.642,0,3658.552,0,65.902,1608,1989,0.950,0.710,0.410,2,0,4.993,0,0,10,6,3,18,2
10-07 10:32:46,40.971,5.496,48.716,4.247,0,1257876,1551316,169104,4942920,8446.105,1564.908,0,16956.165,0,1041.273,6023,9679,1.030,0.740,0.420,5,0,9.993,0,0,10,8,3,18,2
10-07 10:32:47,32.532,8.008,45.545,13.764,0,1266152,1507968,170752,4973308,5710.699,1459.457,0,41857.774,0,3274.268,15551,25900,1.030,0.740,0.420,5,0,58.058,0,0,10,8,3,18,2
10-07 10:32:48,37.540,8.009,49.803,5.005,0.250,1139528,1648096,171108,4959248,12504.342,4297.586,0,25943.682,0,1711.827,6480,11773,1.030,0.740,0.420,2,0,83.089,0,0,10,4,3,18,0
10-07 10:32:49,41.451,3.746,53.936,0,0,1236632,1550984,171108,4959256,9551.700,2706.798,0,1158.629,0,36.956,1281,1325,1.030,0.740,0.420,1,0,6.992,0,0,10,5,3,18,0
10-07 10:32:50,41.244,5.749,52.742,1.250,0,1193260,1586552,171500,4965596,13575.950,2471.627,0,9562.556,0,461.930,2325,3210,1.030,0.740,0.420,2,0,11.998,0,0,10,4,3,18,0
10-07 10:32:51,39.747,2.000,57.246,0,0.250,1249864,1529920,171516,4965608,19071.798,4478.718,0,1071.932,0,61.996,1400,1520,1.110,0.760,0.430,2,0,4.000,0,0,10,5,3,18,0
10-07 10:32:52,31.068,23.551,44.597,0.251,0.251,1148116,1623872,172088,4971548,5755.564,1840.017,0,1547.378,0,72.158,11539,21752,1.110,0.760,0.430,2,0,522.140,0,0,10,4,3,18,0
10-07 10:32:53,35.004,22.003,41.755,0,0.250,1139432,1631480,172152,4972424,6342.787,1694.210,0,124.015,0,9.001,11666,23037,1.110,0.760,0.430,2,0,290.036,0,0,10,4,3,18,0
10-07 10:32:54,64.368,11.976,23.452,0.249,0,1218356,1566700,172204,4960204,8045.555,1616.695,0,2407.080,0,84.827,2604,3995,1.110,0.760,0.430,3,0,137.719,0,0,10,5,3,18,0
10-07 10:32:55,70.960,5.516,23.068,0,0,1277704,1505724,172236,4961840,5852.311,1462.326,0,702.077,0,54.160,2669,4395,1.110,0.760,0.430,3,0,12.036,0,0,10,5,3,18,0
10-07 10:32:56,19.956,8.232,70.845,0,0,1260576,1521628,172276,4962988,7987.507,1616.460,0,163.642,0,23.948,1843,4321,1.020,0.740,0.420,0,0,167.633,0,0,10,4,3,18,0
10-07 10:32:57,0.749,0.499,98.897,0,0,1260828,1521376,172276,4962988,8178.511,1618.320,0,0,0,0,605,936,1.020,0.740,0.420,0,0,0.999,0,0,10,4,3,18,0
