"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","12 Aug 2025 16:59:45 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
12-08 16:59:45,,1002268,1890188,166324,4748048,,,,,,,0.960,0.730,0.430,3,0,,,,9,4,3,16,0
12-08 16:59:46,27.974,21.231,49.205,0.500,0,974284,1917968,166432,4748048,55535.352,13948.279,0,2301.901,0,88.919,3779,5822,0.960,0.730,0.430,2,0,466.574,0,0,9,5,3,16,0
12-08 16:59:47,21.462,17.719,59.894,0.250,0,979712,1912092,166536,4748548,58177.201,16976.003,0,2739.160,0,75.866,3633,6459,0.960,0.730,0.430,2,0,366.353,0,0,9,6,3,16,0
12-08 16:59:48,31.827,16.039,49.620,0.501,0,1006184,1885104,166616,4749100,251307.924,13940.834,0,1403.406,0,43.105,5098,10555,2.090,0.960,0.500,2,0,239.581,0,0,9,6,3,16,0
12-08 16:59:49,26.245,10.498,60.738,0.750,0.250,1141892,1748608,166808,4874056,86747.477,16087.750,0,3931.206,0,159.968,3629,4661,2.090,0.960,0.500,2,0,118.976,0,0,10,7,3,16,1
12-08 16:59:50,25.695,10.478,63.364,0.249,0,1179052,1701328,166936,4883692,430898.876,17819.865,79.829,1516.754,0.998,56.878,2749,3516,2.090,0.960,0.500,1,0,179.616,0,0,10,6,3,18,2
12-08 16:59:51,36.775,3.753,57.789,0.751,0,1238184,1629436,167300,4894660,739328.611,23859.962,0,4583.066,0,75.050,2092,1962,2.090,0.960,0.500,2,0,2.001,0,0,10,6,3,18,2
12-08 16:59:52,36.044,7.457,47.230,8.700,1.243,1266132,1574172,168376,4917764,30523.406,1684.365,0,27816.887,0,1808.654,10403,16891,2.090,0.960,0.500,2,2,27.841,0,0,10,8,3,18,2
12-08 16:59:53,31.427,8.297,42.489,16.594,0,1274152,1534880,169632,4945044,18541.500,1629.182,0,46787.695,0,3134.667,15087,25850,2.240,1.010,0.520,2,0,45.255,0,0,10,8,3,18,2
12-08 16:59:54,39.468,10.491,45.962,3.497,0,1230236,1547492,170908,4971916,27577.387,1456.805,0,20327.332,0,1035.151,4314,7205,2.240,1.010,0.520,2,0,74.939,0,0,10,6,3,18,2
12-08 16:59:55,41.329,4.258,52.851,1.002,0,1174724,1613868,171228,4960192,23375.577,4367.328,0,2071.951,0,123.235,1629,1673,2.240,1.010,0.520,2,0,2.004,0,0,10,4,3,18,0
12-08 16:59:56,42.682,5.242,51.169,0.499,0,1197408,1591144,171252,4960208,18656.411,2961.303,0,6282.037,0,367.417,2213,3029,2.240,1.010,0.520,2,0,16.973,0,0,10,5,3,18,0
12-08 16:59:57,44.849,3.758,49.860,0.251,0.501,1206468,1574468,171572,4966532,26548.486,2639.816,0,1274.808,0,61.135,1560,1596,2.240,1.010,0.520,2,0,3.007,0,0,10,4,3,18,0
12-08 16:59:58,29.001,18.251,52.002,0.250,0,1152172,1620892,172024,4972852,25341.090,4479.193,0,684.029,0,32.001,3021,4750,2.220,1.030,0.530,2,0,403.017,0,0,10,5,3,18,0
12-08 16:59:59,37.475,19.987,41.472,0.250,0,1123568,1648500,172196,4973484,36425.558,1630.906,0,1091.268,0,54.963,13591,25013,2.220,1.030,0.530,3,0,401.730,0,0,10,4,3,18,0
12-08 17:00:00,64.159,13.481,21.969,0,0,1256108,1515516,172284,4973848,27673.842,1617.711,0,83.881,0,0.999,9569,22059,2.220,1.030,0.530,3,0,149.788,0,0,10,5,3,18,0
12-08 17:00:01,68.116,7.262,24.542,0,0,1256580,1528268,172344,4961924,6565.194,1622.767,0,2648.516,0,127.217,1804,1646,2.220,1.030,0.530,3,0,11.019,0,0,10,5,3,18,0
12-08 17:00:02,38.683,8.984,51.162,0,0,1260948,1521732,172380,4963928,15666.912,1455.483,0,195.662,0,24.957,2373,6861,2.220,1.030,0.530,0,0,170.705,0,0,10,4,3,18,0
12-08 17:00:03,0.250,1.001,97.563,0,0,1261396,1521284,172380,4963928,11011.135,1621.050,0,13272.601,0,118.077,1100,1530,2.040,1.010,0.530,1,0,0,0,0,10,4,3,18,0
12-08 17:00:04,21.238,4.248,73.210,0.250,0,1328176,1454532,172384,4963936,14335.216,1457.209,0,1459.208,0,174.905,1776,1809,2.040,1.010,0.530,1,0,21.988,0,0,10,4,3,18,0
12-08 17:00:05,24.015,1.751,73.547,0.500,0,1364512,1417992,172388,4964136,5662.647,1621.044,0,4106.645,0,223.144,1435,1814,2.040,1.010,0.530,1,0,3.002,0,0,10,8,3,18,0
12-08 17:00:06,21.234,4.996,71.447,1.499,0.250,1295756,1486624,172468,4964180,6669.018,1618.791,0,3545.352,0,333.751,3143,5366,2.040,1.010,0.530,1,0,41.969,0,0,10,4,3,20,0
12-08 17:00:07,22.955,2.495,72.607,1.248,0,1339080,1442804,172484,4964624,13090.304,1455.144,255.498,2658.781,63.875,175.655,1978,2862,2.040,1.010,0.530,2,0,1.996,0,0,10,27,3,20,0
12-08 17:00:08,22.577,4.766,72.497,0,0.251,1337740,1443984,172484,4964768,9462.200,1625.532,0,10860.960,0,96.328,1739,2395,1.960,1.010,0.530,1,0,44.150,0,0,10,28,3,14,0
12-08 17:00:09,26.015,6.254,67.538,0,0,1317112,1464448,172484,4964924,9214.160,1458.817,0,20.011,0,5.003,1849,2779,1.960,1.010,0.530,2,0,156.087,0,0,10,28,3,14,0
12-08 17:00:10,45.238,4.749,48.987,0,0,1421628,1359928,172484,4964928,13511.325,1845.498,0,819.777,0,101.972,2235,2910,1.960,1.010,0.530,3,0,0,0,0,10,30,4,15,0
12-08 17:00:11,48.018,16.256,34.763,0,0.250,1384596,1396716,172484,4965140,9469.523,1694.630,0,184.068,0,28.010,3799,8341,1.960,1.010,0.530,5,0,429.160,0,0,10,28,4,15,0
12-08 17:00:12,86.908,12.237,0.499,0,0,1612792,1168460,172488,4965192,13075.219,1618.294,0,107.886,0,11.987,2932,5770,1.960,1.010,0.530,6,0,149.842,0,0,10,30,4,17,0
12-08 17:00:13,77.906,12.735,8.490,0,0.250,1434480,1346792,172500,4965404,8705.536,1530.161,0,39912.026,0,547.342,4837,11086,2.280,1.100,0.560,2,0,199.760,0,0,10,28,4,17,0
12-08 17:00:14,32.997,6.999,59.745,0.250,0,1333828,1447272,172512,4965564,6828.454,1619.870,0,383.969,0,34.997,2726,5348,2.280,1.100,0.560,1,0,109.991,0,0,10,28,4,17,0
12-08 17:00:15,23.520,3.003,73.563,0,0,1380164,1400932,172512,4965568,14760.591,1663.419,0,1301.110,0,12.010,1685,2669,2.280,1.100,0.560,2,0,0,0,0,10,29,4,17,0
12-08 17:00:16,19.738,4.997,73.206,0,0,1359676,1421408,172512,4965580,11380.161,1619.027,0,339.796,0,21.987,1809,2728,2.280,1.100,0.560,2,0,67.959,0,0,10,28,4,16,0
12-08 17:00:17,22.044,5.762,72.145,0,0,1307160,1473900,172516,4965600,16086.221,1697.400,0,2505.018,0,37.074,2507,4161,2.280,1.100,0.560,3,0,83.167,0,0,10,28,4,17,0
12-08 17:00:18,17.752,26.503,55.257,0,0.250,1345112,1435928,172516,4965620,9234.164,1620.204,0,2472.312,0,26.003,3728,6122,2.180,1.090,0.560,4,0,799.101,0,0,10,28,4,16,0
12-08 17:00:19,86.247,12.250,1.500,0,0.250,1580104,1200896,172520,4965656,12852.499,1457.943,0,255.990,0,14.999,2662,4005,2.180,1.090,0.560,5,0,155.994,0,0,10,29,4,16,0
12-08 17:00:20,84.723,10.997,3.749,0.250,0,1471004,1309752,172528,4965892,8445.331,1619.488,0,3666.841,0,206.935,4909,14371,2.180,1.090,0.560,5,0,86.973,0,0,10,29,4,16,0
12-08 17:00:21,88.013,11.252,0.750,0,0,1547712,1232764,172536,4966164,6813.022,1662.249,0,288.043,0,24.004,2376,4421,2.180,1.090,0.560,5,0,76.011,0,0,10,28,4,16,0
12-08 17:00:22,82.503,12.000,4.000,0,0,1598876,1181280,172536,4966476,5759.207,1620.058,0,228.008,0,12.000,4831,13220,2.180,1.090,0.560,7,0,153.006,0,0,10,29,4,18,0
12-08 17:00:23,57.739,11.248,30.494,0,0,1443016,1336880,172540,4966732,13609.441,1619.695,0,39092.651,0,105.980,3457,7679,2.170,1.110,0.570,3,0,194.963,0,0,10,30,4,19,0
12-08 17:00:24,43.488,7.498,48.486,0.500,0,1418304,1361444,172540,4966880,6618.107,1619.537,0,1131.676,0,32.991,1972,3089,2.170,1.110,0.570,2,0,97.972,0,0,10,28,3,20,0
12-08 17:00:25,42.303,14.518,42.553,0,0,1330704,1448984,172544,4966936,12828.048,1587.987,0,256.321,0,28.035,5014,9197,2.170,1.110,0.570,3,0,366.458,0,0,10,28,3,21,0
12-08 17:00:26,67.834,7.232,25.687,0,0.249,1509572,1269948,172552,4967096,10148.228,1636.007,0,183.552,0,6.983,2377,3536,2.170,1.110,0.570,5,0,11.971,0,0,10,30,3,21,0
12-08 17:00:27,65.117,16.279,17.782,0.250,0.250,1432740,1346696,172560,4967172,12560.647,1622.926,0,500.903,0,47.085,4688,9893,2.170,1.110,0.570,4,0,258.466,0,0,10,28,3,24,0
12-08 17:00:28,78.499,9.250,11.250,0,0,1583900,1195356,172564,4967348,9007.937,1511.989,0,36339.746,0,102.999,2923,7763,2.310,1.160,0.590,2,0,0,0,0,10,32,3,26,0
12-08 17:00:29,65.998,14.000,19.999,0,0,1434712,1344336,172572,4967548,5567.822,1565.950,0,1115.964,0,39.999,4645,9160,2.310,1.160,0.590,4,0,323.990,0,0,10,28,3,30,0
12-08 17:00:30,65.001,7.250,27.751,0.250,0,1459044,1319824,172584,4967712,11584.266,1620.037,0,460.011,0,42.001,4839,10027,2.310,1.160,0.590,3,0,48.001,0,0,10,29,3,33,0
12-08 17:00:31,65.000,13.500,20.750,0,0,1488200,1290592,172600,4967772,8630.052,1458.009,0,1128.007,0,71.000,2249,3524,2.310,1.160,0.590,3,0,252.002,0,0,10,28,3,33,0
