"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","19 Feb 2026 00:18:41 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
19-02 00:18:41,,1002820,1406948,162388,5235948,,,,,,,1.480,0.980,0.540,3,0,,,,10,4,0,18,0
19-02 00:18:42,41.484,21.742,35.236,0.500,0,1041696,1367192,162484,5236620,30911.984,12196.259,0,2159.161,0,81.968,6729,5622,1.480,0.980,0.540,2,0,530.794,0,0,10,7,0,17,0
19-02 00:18:43,27.257,19.505,52.014,0.500,0,1006884,1397676,162684,5240488,1862806.331,35776.609,0,4093.099,0,88.024,7393,7070,1.480,0.980,0.540,2,0,408.110,0,0,10,6,0,17,0
19-02 00:18:44,32.653,15.454,50.101,0.249,0,1113836,1290004,162800,5365772,23884.884,12414.038,0,1659.060,0,46.860,6508,8697,1.480,0.980,0.540,2,0,221.341,0,0,11,6,0,17,0
19-02 00:18:45,24.010,8.003,66.529,0.500,0.750,1130864,1272212,162968,5366164,49811.497,14190.124,0,1672.722,0,54.023,3350,2371,1.360,0.960,0.540,1,0,90.039,0,0,11,7,0,17,1
19-02 00:18:46,33.242,11.997,53.237,0.750,0,1160772,1221608,163260,5385592,182377.471,10024.607,0,2635.371,0,90.978,4868,3547,1.360,0.960,0.540,2,0,195.953,0,0,11,6,0,19,2
19-02 00:18:47,43.473,6.996,48.220,0.750,0,1230040,1127604,164624,5405056,10041.752,1618.993,0,6467.976,0,242.849,3495,1864,1.360,0.960,0.540,2,0,0,0,0,11,6,0,19,2
19-02 00:18:48,41.636,5.267,47.405,4.515,0,1285548,1054648,165268,5419820,14755.328,1625.323,0,8190.827,0,635.080,6178,6674,1.360,0.960,0.540,2,0,10.033,0,0,11,8,0,19,2
19-02 00:18:49,29.246,6.999,43.993,17.497,0.250,1267848,1039456,166884,5448228,8629.725,1619.761,0,42113.776,0,2811.584,16174,22424,1.360,0.960,0.540,2,1,44.993,0,0,11,8,0,19,2
19-02 00:18:50,32.997,7.999,39.746,17.248,0,1217908,1058316,168160,5475448,13487.614,1619.834,0,49130.952,0,3342.657,16471,21780,1.420,0.980,0.550,3,0,39.996,0,0,11,6,0,19,2
19-02 00:18:51,37.968,7.993,51.706,1.499,0,1285820,978892,168884,5484404,13368.701,3618.941,0,7078.018,0,257.782,3925,2649,1.420,0.980,0.550,2,0,68.942,0,0,11,7,0,19,2
19-02 00:18:52,45.113,5.982,46.360,1.994,0,1262512,1020144,168932,5466832,6022.765,2332.937,0,9742.503,0,639.065,4673,3441,1.420,0.980,0.550,3,0,21.934,0,0,11,4,0,19,0
19-02 00:18:53,39.109,7.020,53.148,0.501,0,1314704,962900,168944,5471408,14050.116,3747.433,0,1905.304,0,103.288,2922,1852,1.420,0.980,0.550,2,0,24.067,0,0,11,4,0,19,0
19-02 00:18:54,40.035,6.005,52.546,0.500,0.500,1243748,1032476,168972,5472560,12219.713,4422.877,0,1032.906,0,76.067,3115,1733,1.420,0.980,0.550,1,0,52.046,0,0,11,5,0,19,0
19-02 00:18:55,30.432,25.194,42.904,0.249,0,1205208,1063944,169356,5477972,8121.822,1855.846,0,1085.570,0,56.873,14067,21186,1.540,1.010,0.560,2,0,530.812,0,0,11,4,0,19,0
19-02 00:18:56,42.849,21.801,33.578,0,0,1207864,1060552,169464,5478816,9897.929,1623.761,32.074,4053.390,3.007,210.488,13413,20788,1.540,1.010,0.560,3,0,328.762,0,0,11,4,0,19,0
19-02 00:18:57,63.605,14.966,20.204,0.249,0,1248680,1032520,169488,5467668,10560.005,1881.724,0,2107.212,0,22.948,4515,2881,1.540,1.010,0.560,3,0,147.664,0,0,11,5,1,19,0
19-02 00:18:58,62.015,8.002,30.507,0,0,1298360,982296,169492,5468208,11013.694,1694.414,0,484.118,0,43.011,3898,1728,1.540,1.010,0.560,3,0,66.016,0,0,11,5,1,19,0
19-02 00:18:59,38.293,9.511,51.308,0,0.250,1307960,970440,169536,5470388,7987.004,1695.912,0,1105.246,0,93.105,3620,3461,1.540,1.010,0.560,1,0,66.074,0,0,11,4,1,20,0
19-02 00:19:00,1.746,2.744,93.786,0.249,0,1308856,969532,169540,5470396,7832.120,1690.142,0,2226.916,0,37.913,1553,1862,1.500,1.010,0.560,0,0,51.882,0,0,11,4,1,20,0
19-02 00:19:01,21.330,5.019,73.274,0,0,1356700,921680,169544,5470400,12027.935,1537.745,0,14554.373,0,58.217,2316,1753,1.500,1.010,0.560,1,0,23.086,0,0,11,4,1,20,0
19-02 00:19:02,23.936,1.745,73.554,0,0,1388020,890180,169544,5470580,7515.925,1689.487,0,3.989,0,0.997,1737,1168,1.500,1.010,0.560,2,0,0,0,0,11,4,1,20,0
19-02 00:19:03,20.995,5.749,70.484,2.249,0.750,1349104,928932,169644,5470644,10917.558,1619.638,0,7078.417,0,451.899,4921,5584,1.500,1.010,0.560,2,0,42.990,0,0,11,4,1,22,0
19-02 00:19:04,21.504,4.001,73.764,0,0,1392280,885164,169916,5470916,8586.665,1694.328,372.072,508.098,20.004,9.002,1857,1361,1.500,1.010,0.560,1,0,0,0,0,11,4,1,22,0
19-02 00:19:05,22.250,3.000,72.499,1.000,0,1402272,874792,169964,5471168,12274.905,1619.987,267.998,1931.985,65.999,34.000,2882,2775,1.460,1.010,0.560,2,0,3.000,0,0,11,29,1,22,0
19-02 00:19:06,20.243,6.998,72.224,0,0.250,1373048,903936,169964,5471248,11619.889,1619.427,0,11351.984,0,29.989,2615,1953,1.460,1.010,0.560,1,0,42.985,0,0,11,28,1,22,0
19-02 00:19:07,21.030,6.009,72.605,0,0,1384588,892372,169964,5471268,66668.568,1664.411,0,4.006,0,1.001,2944,2248,1.460,1.010,0.560,1,0,75.109,0,0,11,28,1,17,0
19-02 00:19:08,38.474,11.418,48.403,0,0,1440048,836904,169964,5471276,4348.836,1681.947,0,631.475,0,6.950,3260,1937,1.460,1.010,0.560,3,0,80.424,0,0,11,29,1,17,0
19-02 00:19:09,44.136,11.602,43.380,0,0,1380856,895736,169984,5471616,9041.100,1470.869,0,460.025,0,40.353,6889,9247,1.460,1.010,0.560,5,0,271.374,0,0,11,28,1,18,0
