"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","03 Oct 2025 12:56:16 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
03-10 12:56:16,,1041396,1470952,166572,5116480,,,,,,,1.510,1.070,0.580,6,0,,,,9,2,3,16,0
03-10 12:56:17,31.941,18.965,46.664,0.499,0,995472,1513112,166652,5119768,2933055.980,39962.989,0,5246.284,0,72.865,5363,8448,1.510,1.070,0.580,2,0,533.013,0,0,9,4,3,16,0
03-10 12:56:18,13.512,19.018,66.061,0,0,977596,1530632,166680,5120096,220446.251,6003.535,0,608.561,0,32.030,3957,6538,1.510,1.070,0.580,2,0,355.328,0,0,9,4,3,16,0
03-10 12:56:19,31.435,16.217,50.396,0.249,0,993652,1514260,166732,5120476,21671.400,8462.584,0,4183.391,0,32.932,5057,9661,1.510,1.070,0.580,2,0,238.509,0,0,9,5,3,16,0
03-10 12:56:20,24.995,10.248,63.987,0.500,0,1119356,1387824,166864,5245388,50621.078,18019.468,0,2187.571,0,76.985,3732,5550,1.510,1.070,0.580,1,0,110.978,0,0,10,8,3,16,0
03-10 12:56:21,37.008,11.753,49.261,0.500,0.250,1181464,1325308,166948,5248704,23383.051,11313.444,80.017,1684.364,1.000,56.012,2768,4645,1.630,1.100,0.590,2,0,223.048,0,0,11,9,3,18,0
03-10 12:56:22,32.745,4.249,61.740,0.500,0,1227220,1277720,167248,5246856,60786.457,12115.098,0,3319.479,0,63.990,1510,2217,1.630,1.100,0.590,2,0,0,0,0,10,8,3,18,0
03-10 12:56:23,31.055,4.508,56.851,7.764,0,1252200,1234472,167716,5264020,263425.160,16774.876,0,17222.674,0,1465.610,9191,14478,1.630,1.100,0.590,2,1,22.039,0,0,10,8,3,18,2
03-10 12:56:24,33.763,9.003,44.267,15.756,0,1265988,1191748,169160,5288252,183849.576,4005.494,0,53984.136,0,3697.379,15334,27229,1.630,1.100,0.590,2,0,52.019,0,0,10,8,3,18,2
03-10 12:56:25,42.248,7.000,47.498,2.000,0,1248256,1185428,169872,5309264,8183.632,1619.927,0,20471.079,0,1099.951,4167,6866,1.630,1.100,0.590,2,0,74.997,0,0,10,6,3,18,2
03-10 12:56:26,45.392,3.741,49.133,1.496,0,1290500,1120000,171060,5328256,9209.101,1562.285,0,4198.017,0,214.490,1601,2463,1.660,1.120,0.600,3,0,0,0,0,10,6,3,18,2
03-10 12:56:27,40.591,5.512,51.366,2.005,0,1255028,1149144,171916,5331660,11908.807,4334.758,0,9212.738,0,509.146,2475,3610,1.660,1.120,0.600,2,0,10.023,0,0,10,4,3,18,0
03-10 12:56:28,47.218,2.998,49.467,0.250,0.250,1204172,1200256,171920,5331536,9068.933,1618.917,0,2318.449,0,70.953,1355,1329,1.660,1.120,0.600,2,0,5.996,0,0,10,4,3,14,0
03-10 12:56:29,28.527,19.518,50.548,0.250,0,1158212,1239952,172140,5336856,14807.964,3835.617,0,7943.491,0,410.387,3151,4860,1.660,1.120,0.600,2,0,398.376,0,0,10,4,3,14,0
03-10 12:56:30,31.963,20.976,46.447,0,0.250,1151032,1245556,172248,5338264,11134.285,2630.995,0,619.293,0,95.890,3992,6237,1.660,1.120,0.600,2,0,370.577,0,0,10,5,3,12,0
03-10 12:56:31,57.776,13.006,27.512,0,0.500,1243708,1144844,172840,5344644,9384.157,3532.565,0,1452.644,0,19.008,9861,21423,1.840,1.170,0.620,3,0,165.073,0,0,10,5,3,12,0
03-10 12:56:32,69.715,8.246,21.489,0,0,1305056,1082364,172964,5345396,9202.353,1565.210,0,279.859,0,2.998,10445,19782,1.840,1.170,0.620,4,0,12.993,0,0,10,5,3,12,0
03-10 12:56:33,42.518,14.506,42.267,0.500,0,1276920,1121468,173140,5335496,9239.816,1566.647,0,2813.162,0,24.010,4749,8184,1.840,1.170,0.620,1,0,134.055,0,0,10,4,3,12,0
03-10 12:56:34,33.777,6.755,59.547,0,0,1324488,1073952,173144,5335408,8575.749,1609.266,0,12425.779,0,50.039,1830,2013,1.840,1.170,0.620,3,0,34.027,0,0,10,4,3,12,0
03-10 12:56:35,31.678,4.490,62.856,0,0,1344896,1053520,173156,5335420,9134.110,1562.427,0,786.202,0,29.932,1447,1773,1.840,1.170,0.620,2,0,49.886,0,0,10,4,3,12,0
03-10 12:56:36,22.036,4.007,71.618,1.252,0,1269424,1128716,173200,5335652,10331.036,1584.613,0,1218.008,0,182.301,2860,4955,1.780,1.160,0.620,1,0,43.071,0,0,10,4,3,14,0
03-10 12:56:37,22.460,3.244,74.118,0,0,1337188,1060736,173212,5335856,9864.431,1617.120,19.964,0,4.991,0,883,1151,1.780,1.160,0.620,1,0,0,0,0,10,9,3,14,0
03-10 12:56:38,20.494,5.998,72.478,0.750,0,1300040,1097460,173216,5336240,5373.366,1619.508,235.928,1711.480,58.982,18.994,1951,3040,1.780,1.160,0.620,1,0,45.986,0,0,10,28,3,15,0
03-10 12:56:39,23.255,2.501,73.765,0,0,1351164,1046332,173216,5336244,5219.070,1620.332,0,0,0,0,1167,1695,1.780,1.160,0.620,2,0,0,0,0,10,28,3,15,0
03-10 12:56:40,35.512,10.004,54.769,0,0.250,1395860,1001604,173216,5336276,8270.895,1620.567,0,20.007,0,5.002,1811,2441,1.780,1.160,0.620,2,0,157.055,0,0,10,28,3,15,0
03-10 12:56:41,44.632,9.277,45.885,0,0.501,1306756,1090476,173224,5336468,8345.603,1570.630,0,786.318,0,36.106,3955,9193,1.870,1.190,0.640,3,0,163.482,0,0,10,28,3,16,0
03-10 12:56:42,81.680,15.237,1.998,0,0,1558736,838452,173224,5336512,8933.362,1618.616,0,35.969,0,8.992,2220,3344,1.870,1.190,0.640,7,0,334.714,0,0,10,30,3,16,0
03-10 12:56:43,86.744,10.249,2.500,0,0.250,1684980,711992,173224,5336724,8528.369,1585.883,0,251.981,0,25.998,5660,12412,1.870,1.190,0.640,6,0,79.994,0,0,10,28,3,16,0
03-10 12:56:44,48.632,10.225,41.150,0.499,0,1384432,1012360,173228,5336900,8298.826,1616.071,0,299.272,0,28.930,2756,5981,1.870,1.190,0.640,1,0,249.394,0,0,10,28,3,15,0
03-10 12:56:45,19.999,6.500,72.247,0,0,1369720,1026980,173228,5336912,6307.741,1619.934,0,16111.339,0,195.992,1760,2007,1.870,1.190,0.640,2,0,59.998,0,0,10,28,3,15,0
