"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Apr 2026 16:15:19 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-04 16:15:19,,981752,1171012,169088,5474752,,,,,,,1.100,0.990,0.550,2,0,,,,10,5,0,17,0
17-04 16:15:20,16.760,21.763,61.285,0.250,0,984780,1167644,169180,5474920,20857.052,10698.182,0,2137.235,0,51.029,6877,5938,1.100,0.990,0.550,2,0,554.320,0,0,10,5,0,17,0
17-04 16:15:21,18.242,18.742,60.973,0.500,0.500,985056,1166788,169292,5475316,42486.018,9764.637,0,1551.307,0,53.976,6485,6181,1.100,0.990,0.550,2,0,394.824,0,0,10,6,0,17,0
17-04 16:15:22,27.931,14.215,55.862,0.499,0,1137396,1013424,169440,5600800,25285.431,12328.493,0,1472.357,0,40.899,6219,6811,1.100,0.990,0.550,0,0,198.509,0,0,11,6,0,17,0
17-04 16:15:23,22.789,9.767,65.864,0.250,0,1146104,1004244,169572,5601040,40285.450,11422.692,0,1466.528,0,49.085,3634,2592,1.260,1.020,0.570,1,0,106.183,0,0,11,7,0,17,1
17-04 16:15:24,31.122,9.959,57.015,0.747,0,1185152,964436,169748,5601500,30365.896,12389.955,0,3613.114,0,184.241,4563,3753,1.260,1.020,0.570,2,0,175.278,0,0,11,6,0,19,2
17-04 16:15:25,40.587,6.013,51.611,1.253,0.251,1239860,878876,170804,5628448,174215.061,6374.651,0,7455.966,0,104.223,3241,1866,1.260,1.020,0.570,3,0,1.002,0,0,11,6,0,19,2
17-04 16:15:26,36.367,6.019,47.152,9.280,0.251,1271156,823088,171908,5649388,12278.634,1625.246,0,21401.080,0,1397.511,10299,13586,1.260,1.020,0.570,4,0,25.081,0,0,11,8,0,19,2
17-04 16:15:27,31.500,6.750,43.750,17.750,0,1294880,773316,173008,5672580,7293.938,1457.988,0,42827.637,0,3048.974,16141,22568,1.260,1.020,0.570,2,1,48.000,0,0,11,8,0,19,2
17-04 16:15:28,37.979,9.995,40.977,9.495,0,1224660,826924,174032,5685716,7947.631,1619.110,0,32694.029,0,2005.897,10411,12671,1.400,1.050,0.580,2,0,83.954,0,0,11,6,0,19,2
17-04 16:15:29,43.731,6.247,48.979,1.749,0,1284840,737140,175144,5711540,10496.451,1619.298,0,3826.342,0,261.887,3341,2344,1.400,1.050,0.580,2,0,0,0,0,11,6,0,19,2
17-04 16:15:30,41.184,4.992,50.170,2.246,0,1232684,803836,175392,5696484,14346.158,4273.196,0,9792.409,0,628.999,4476,3403,1.400,1.050,0.580,3,0,11.981,0,0,11,4,0,19,0
17-04 16:15:31,39.238,5.998,53.234,0.500,0.250,1292292,743356,175396,5697356,17337.863,3727.896,0,1067.684,0,83.975,3145,1881,1.400,1.050,0.580,2,0,32.990,0,0,11,5,0,19,0
17-04 16:15:32,39.853,10.527,49.378,0.251,0,1253220,776816,175484,5702240,12374.961,2064.332,0,1335.449,0,80.207,4341,2829,1.400,1.050,0.580,1,0,183.474,0,0,11,5,0,19,0
17-04 16:15:33,25.741,23.992,47.484,0.500,0.250,1224096,799184,175896,5707364,17655.095,4238.582,0,3658.776,0,183.938,13233,18985,1.440,1.070,0.590,2,0,474.841,0,0,11,4,0,19,0
17-04 16:15:34,41.164,20.956,36.175,0,0.249,1246880,775524,175984,5708308,11186.701,1616.633,0,95.800,0,3.992,15807,27224,1.440,1.070,0.590,4,0,294.387,0,0,11,4,0,19,0
17-04 16:15:35,63.875,13.025,21.793,0.250,0.250,1317732,717172,176032,5697284,5547.849,1623.174,0,2476.844,0,84.165,4094,2101,1.440,1.070,0.590,4,0,78.153,0,0,11,5,0,19,0
17-04 16:15:36,63.127,10.480,26.199,0,0,1348712,685616,176048,5697828,5053.134,1616.843,0,187.634,0,2.994,3840,1916,1.440,1.070,0.590,2,0,70.862,0,0,11,5,0,19,0
